CODE,Amper TH,Amper EN,Province TH,Province EN,Lat,Lon
12020000,บางกรวย,Bang Kruai,นนทบุรี,Nonthaburi,13.805217620471957,100.47279952905474
12030000,บางใหญ่,Bang Yai,นนทบุรี,Nonthaburi,13.876456787584264,100.40383102346901
12040000,บางบัวทอง,Bang Bua Thong,นนทบุรี,Nonthaburi,13.96850231791555,100.40548602927471
12050000,ไทรน้อย,Sai Noi,นนทบุรี,Nonthaburi,13.978765221040495,100.31363628435317
12060000,ปากเกร็ด,Pak Kret,นนทบุรี,Nonthaburi,13.912550629491674,100.498227776962
13010000,เมืองปทุมธานี,Mueang Pathum Thani,ปทุมธานี,Pathum Thani,14.01971346102307,100.53464238203622
13020000,คลองหลวง,khlong Luang,ปทุมธานี,Pathum Thani,14.064875279366609,100.6455153486471
13030000,ธัญบุรี,Thanyaburi,ปทุมธานี,Pathum Thani,14.016439495285093,100.72426654220803
13040000,หนองเสือ,Nong Suea,ปทุมธานี,Pathum Thani,14.134995139649039,100.82426094898689
13050000,ลาดหลุมแก้ว,Lat Lum Kaeo,ปทุมธานี,Pathum Thani,14.037061774571752,100.40464795662594
13060000,ลำลูกกา,Lam Luk Ka,ปทุมธานี,Pathum Thani,13.93253620994905,100.74966985778853
13070000,สามโคก,Sam Khok,ปทุมธานี,Pathum Thani,14.065316444683049,100.52270099085227
14010000,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.352179711620067,100.57660589089572
14020000,ท่าเรือ,Tha Ruea,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.551552907105012,100.72789148609174
14030000,นครหลวง,Nakhon Luang,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.464127084761909,100.60590525036477
14040000,บางไทร,Bang Sai,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.212852869977414,100.4982536483068
14050000,บางบาล,Bang Ban,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.373954355696018,100.48584195780442
14060000,บางปะอิน,Bang Pa-in,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.215326798036179,100.57784099344559
14070000,บางปะหัน,Bang Pahan,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.46266411077231,100.54478332523455
14080000,ผักไห่,Phak Hai,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.45879385399784,100.36915966940283
14090000,ภาชี,Phachi,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.449217685669334,100.72849577920667
14100000,ลาดบัวหลวง,Lat Bua Luang,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.16532534383839,100.3081781868699
14110000,วังน้อย,Wang Noi,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.226740594621697,100.71562321871535
14120000,เสนา,Sena,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.327310187841919,100.40447261339665
14130000,บางซ้าย,Bang Sai,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.319422074562294,100.30019212120297
14140000,อุทัย,Uthai,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.332250120701126,100.6628484275332
14150000,มหาราช,Maha Rat,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.53435782313567,100.52725873570465
14160000,บ้านแพรก,Ban Phraek,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.647894932452958,100.5824401170015
15010000,เมืองอ่างทอง,Mueang Ang Thong,อ่างทอง,Ang Thong,14.58924958690328,100.45353122262033
