,site1,site2,value
59,"('พญาไท', 'กรุงเทพมหานคร')","('ป้อมปราบศัตรูพ่าย', 'กรุงเทพมหานคร')",1
60,"('พญาไท', 'กรุงเทพมหานคร')","('สัมพันธวงศ์', 'กรุงเทพมหานคร')",1
61,"('พญาไท', 'กรุงเทพมหานคร')","('ห้วยขวาง', 'กรุงเทพมหานคร')",1
62,"('พญาไท', 'กรุงเทพมหานคร')","('บางพลัด', 'กรุงเทพมหานคร')",1
63,"('พญาไท', 'กรุงเทพมหานคร')","('ดินแดง', 'กรุงเทพมหานคร')",1
64,"('พญาไท', 'กรุงเทพมหานคร')","('บางซื่อ', 'กรุงเทพมหานคร')",1
65,"('พญาไท', 'กรุงเทพมหานคร')","('จตุจักร', 'กรุงเทพมหานคร')",1
66,"('พญาไท', 'กรุงเทพมหานคร')","('ราชเทวี', 'กรุงเทพมหานคร')",1
67,"('พญาไท', 'กรุงเทพมหานคร')","('วัฒนา', 'กรุงเทพมหานคร')",1
68,"('พญาไท', 'กรุงเทพมหานคร')","('เมืองนนทบุรี', 'นนทบุรี')",1
69,"('พญาไท', 'กรุงเทพมหานคร')","('บางกรวย', 'นนทบุรี')",1
70,"('บ้านนา', 'นครนายก')","('บ้านนา', 'นครนายก')",1
71,"('บ้านนา', 'นครนายก')","('องครักษ์', 'นครนายก')",1
72,"('บ้านนา', 'นครนายก')","('หนองเสือ', 'ปทุมธานี')",1
73,"('บ้านนา', 'นครนายก')","('เมืองสระบุรี', 'สระบุรี')",1
74,"('บ้านนา', 'นครนายก')","('แก่งคอย', 'สระบุรี')",1
75,"('บ้านนา', 'นครนายก')","('หนองแค', 'สระบุรี')",1
76,"('บ้านนา', 'นครนายก')","('วิหารแดง', 'สระบุรี')",1
77,"('บ้านนา', 'นครนายก')","('มวกเหล็ก', 'สระบุรี')",1
78,"('บ้านนา', 'นครนายก')","('เมืองนครนายก', 'นครนายก')",1
79,"('บ้านนา', 'นครนายก')","('ปากพลี', 'นครนายก')",1
80,"('บ้านนา', 'นครนายก')","('ปากช่อง', 'นครราชสีมา')",1
81,"('องครักษ์', 'นครนายก')","('บ้านนา', 'นครนายก')",1
