,ap_tn,pv_tn
705,วารินชำราบ,อุบลราชธานี
706,พระทองคำ,นครราชสีมา
707,ลำทะเมนชัย,นครราชสีมา
708,พิบูลมังสาหาร,อุบลราชธานี
709,ตาลสุม,อุบลราชธานี
710,โพธิ์ไทร,อุบลราชธานี
711,สำโรง,อุบลราชธานี
712,ดอนมดแดง,อุบลราชธานี
713,สิรินธร,อุบลราชธานี
714,ทุ่งศรีอุดม,อุบลราชธานี
715,นาเยีย,อุบลราชธานี
716,จตุรพักตรพิมาน,ร้อยเอ็ด
717,ธวัชบุรี,ร้อยเอ็ด
718,บัวลาย,นครราชสีมา
719,พนมไพร,ร้อยเอ็ด
720,โพนทอง,ร้อยเอ็ด
721,โพธิ์ชัย,ร้อยเอ็ด
722,หนองพอก,ร้อยเอ็ด
723,เสลภูมิ,ร้อยเอ็ด
724,สุวรรณภูมิ,ร้อยเอ็ด
725,สีดา,นครราชสีมา
726,กุฉินารายณ์,กาฬสินธุ์
727,เขาวง,กาฬสินธุ์
728,ยางตลาด,กาฬสินธุ์
729,ห้วยเม็ก,กาฬสินธุ์
730,สหัสขันธ์,กาฬสินธุ์
731,คำม่วง,กาฬสินธุ์
732,ท่าคันโท,กาฬสินธุ์
733,หนองกุงศรี,กาฬสินธุ์
734,เฉลิมพระเกียรติ,นครราชสีมา
735,สมเด็จ,กาฬสินธุ์
736,เมืองบุรีรัมย์,บุรีรัมย์
737,คูเมือง,บุรีรัมย์
738,กระสัง,บุรีรัมย์
739,หนองกี่,บุรีรัมย์
740,ห้วยผึ้ง,กาฬสินธุ์
741,สามชัย,กาฬสินธุ์
742,นาคู,กาฬสินธุ์
743,ดอนจาน,กาฬสินธุ์
744,ฆ้องชัย,กาฬสินธุ์
745,เมืองสกลนคร,สกลนคร
746,กุสุมาลย์,สกลนคร
747,กุดบาก,สกลนคร
748,ละหานทราย,บุรีรัมย์
749,ประโคนชัย,บุรีรัมย์
750,ปะคำ,บุรีรัมย์
751,นาโพธิ์,บุรีรัมย์
752,พรรณานิคม,สกลนคร
753,พังโคน,สกลนคร
754,วาริชภูมิ,สกลนคร
755,นิคมน้ำอูน,สกลนคร
756,วานรนิวาส,สกลนคร
757,คำตากล้า,สกลนคร
758,บ้านม่วง,สกลนคร
759,อากาศอำนวย,สกลนคร
760,สว่างแดนดิน,สกลนคร
761,ส่องดาว,สกลนคร
762,เต่างอย,สกลนคร
763,โคกศรีสุพรรณ,สกลนคร
764,เจริญศิลป์,สกลนคร
765,พลับพลาชัย,บุรีรัมย์
766,โพนนาแก้ว,สกลนคร
767,ภูพาน,สกลนคร
768,เมืองนครพนม,นครพนม
769,ปลาปาก,นครพนม
770,ท่าอุเทน,นครพนม
771,บ้านแพง,นครพนม
772,ธาตุพนม,นครพนม
773,เรณูนคร,นครพนม
774,นาแก,นครพนม
775,ศรีสงคราม,นครพนม
776,นาหว้า,นครพนม
777,ห้วยราช,บุรีรัมย์
778,โนนสุวรรณ,บุรีรัมย์
779,โพนสวรรค์,นครพนม
780,นาทม,นครพนม
781,วังยาง,นครพนม
782,เมืองมุกดาหาร,มุกดาหาร
783,นิคมคำสร้อย,มุกดาหาร
784,ดอนตาล,มุกดาหาร
785,ดงหลวง,มุกดาหาร
786,ชำนิ,บุรีรัมย์
787,บ้านใหม่ไชยพจน์,บุรีรัมย์
788,คำชะอี,มุกดาหาร
789,โนนดินแดง,บุรีรัมย์
790,บ้านด่าน,บุรีรัมย์
791,แคนดง,บุรีรัมย์
792,สว่างวีระวงศ์,อุบลราชธานี
793,น้ำขุ่น,อุบลราชธานี
794,เฉลิมพระเกียรติ,บุรีรัมย์
795,เมืองสุรินทร์,สุรินทร์
796,ชุมพลบุรี,สุรินทร์
797,ท่าตูม,สุรินทร์
798,จอมพระ,สุรินทร์
799,ปราสาท,สุรินทร์
800,กาบเชิง,สุรินทร์
801,รัตนบุรี,สุรินทร์
802,สนม,สุรินทร์
803,ศีขรภูมิ,สุรินทร์
804,สังขะ,สุรินทร์
805,ลำดวน,สุรินทร์
806,ยางชุมน้อย,ศรีสะเกษ
807,กันทรารมย์,ศรีสะเกษ
808,กันทรลักษ์,ศรีสะเกษ
809,ขุขันธ์,ศรีสะเกษ
810,ไพรบึง,ศรีสะเกษ
811,ปรางค์กู่,ศรีสะเกษ
812,ขุนหาญ,ศรีสะเกษ
813,ราษีไศล,ศรีสะเกษ
814,อุทุมพรพิสัย,ศรีสะเกษ
815,บึงบูรพ์,ศรีสะเกษ
816,ห้วยทับทัน,ศรีสะเกษ
817,โนนคูณ,ศรีสะเกษ
818,ศรีรัตนะ,ศรีสะเกษ
819,นาตาล,อุบลราชธานี
820,เหล่าเสือโก้ก,อุบลราชธานี
821,เมืองยโสธร,ยโสธร
822,ทรายมูล,ยโสธร
823,กุดชุม,ยโสธร
824,คำเขื่อนแก้ว,ยโสธร
825,ป่าติ้ว,ยโสธร
826,มหาชนะชัย,ยโสธร
827,ค้อวัง,ยโสธร
828,เลิงนกทา,ยโสธร
829,ไทยเจริญ,ยโสธร
830,แก้งคร้อ,ชัยภูมิ
831,คอนสาร,ชัยภูมิ
832,เนินสง่า,ชัยภูมิ
833,ซับใหญ่,ชัยภูมิ
834,เมืองอำนาจเจริญ,อำนาจเจริญ
835,ชานุมาน,อำนาจเจริญ
836,ปทุมราชวงศา,อำนาจเจริญ
837,พนา,อำนาจเจริญ
838,เสนางคนิคม,อำนาจเจริญ
839,หัวตะพาน,อำนาจเจริญ
840,ลืออำนาจ,อำนาจเจริญ
841,บึงกาฬ,บึงกาฬ
842,เวียงเก่า,ขอนแก่น
843,กู่แก้ว,อุดรธานี
844,ประจักษ์ศิลปาคม,อุดรธานี
845,เมืองเลย,เลย
846,นาด้วง,เลย
847,เชียงคาน,เลย
848,ปากชม,เลย
849,ด่านซ้าย,เลย
850,แกดำ,มหาสารคาม
851,โกสุมพิสัย,มหาสารคาม
852,กันทรวิชัย,มหาสารคาม
853,เชียงยืน,มหาสารคาม
854,บรบือ,มหาสารคาม
855,นาเชือก,มหาสารคาม
856,พยัคฆภูมิพิสัย,มหาสารคาม
857,วาปีปทุม,มหาสารคาม
858,นาดูน,มหาสารคาม
859,ยางสีสุราช,มหาสารคาม
860,กุดรัง,มหาสารคาม
861,ชื่นชม,มหาสารคาม
862,เมืองร้อยเอ็ด,ร้อยเอ็ด
863,เกษตรวิสัย,ร้อยเอ็ด
864,ปทุมรัตต์,ร้อยเอ็ด
865,เมืองสรวง,ร้อยเอ็ด
866,โพนทราย,ร้อยเอ็ด
867,อาจสามารถ,ร้อยเอ็ด
868,เมยวดี,ร้อยเอ็ด
869,อาจสามารถ,ร้อยเอ็ด
870,ศรีสมเด็จ,ร้อยเอ็ด
871,จังหาร,ร้อยเอ็ด
872,เชียงขวัญ,ร้อยเอ็ด
873,หนองฮี,ร้อยเอ็ด
874,ทุ่งเขาหลวง,ร้อยเอ็ด
875,เมืองกาฬสินธุ์,กาฬสินธุ์
876,นามน,กาฬสินธุ์
877,กมลาไสย,กาฬสินธุ์
878,ร่องคำ,กาฬสินธุ์
879,ว่านใหญ่,มุกดาหาร
880,หนองสูง,มุกดาหาร
881,เมืองตาก,ตาก
882,บ้านตาก,ตาก
883,สามเงา,ตาก
884,แม่ระมาด,ตาก
885,ท่าสองยาง,ตาก
886,แม่สอด,ตาก
887,พบพระ,ตาก
888,อุ้มผาง,ตาก
889,วังเจ้า,ตาก
890,เมืองราชบุรี,ราชบุรี
891,จอมบึง,ราชบุรี
892,สวนผึ้ง,ราชบุรี
893,ดำเนินสะดวก,ราชบุรี
894,บ้านโป่ง,ราชบุรี
895,บางแพ,ราชบุรี
896,โพธาราม,ราชบุรี
897,ปากท่อ,ราชบุรี
898,วัดเพลง,ราชบุรี
899,บ้านคา,ราชบุรี
900,เมืองกาญจนบุรี,กาญจนบุรี
901,ไทรโยค,กาญจนบุรี
902,บ่อพลอย,กาญจนบุรี
903,ศรีสวัสดิ์,กาญจนบุรี
904,ท่ามะกา,กาญจนบุรี
905,ท่าม่วง,กาญจนบุรี
906,ทองผาภูมิ,กาญจนบุรี
907,สังขละบุรี,กาญจนบุรี
908,พนมทวน,กาญจนบุรี
909,เลาขวัญ,กาญจนบุรี
910,ด่านมะขามเตี้ย,กาญจนบุรี
911,หนองปรือ,กาญจนบุรี
912,ห้วยกระเจา,กาญจนบุรี
913,เมืองเพชรบุรี,เพชรบุรี
914,เขาย้อย,เพชรบุรี
915,หนองหญ้าปล้อง,เพชรบุรี
916,ท่ายาง,เพชรบุรี
917,หัวหิน,ประจวบคีรีขันธ์
918,ชะอำ,เพชรบุรี
919,บ้านลาด,เพชรบุรี
920,บ้านแหลม,เพชรบุรี
921,แก่งกระจาน,เพชรบุรี
922,เมืองประจวบคีรีขันธ์,ประจวบคีรีขันธ์
923,กุยบุรี,ประจวบคีรีขันธ์
924,ทับสะแก,ประจวบคีรีขันธ์
925,บางสะพาน,ประจวบคีรีขันธ์
926,บางสะพานน้อย,ประจวบคีรีขันธ์
927,ปราณบุรี,ประจวบคีรีขันธ์
928,สามร้อยยอด,ประจวบคีรีขันธ์
