,original,destination,original address,destination address,distance,time
0,เมืองกระบี่,อ่าวลึก,"['7 Khongkha Rd, Tambon Pak Nam, Amphoe Mueang Krabi, Chang Wat Krabi 81000, Thailand']","['4/17, Moo 2, Tambon Aowluktai, Amphoe Aoeluk, Krabi, 81110, ตำบล อ่าวลึกใต้ อำเภอ อ่าวลึก กระบี่ 81110, Thailand']",44.9 km,43 mins
1,เขาพนม,คลองท่อม,"['728X+2XV Khao Phanom Exercise Park, Tambon Khao Phanom, Amphoe Khao Phanom, Chang Wat Krabi 81140, Thailand']","['3, Tambon Khlong Thom Tai, Amphoe Khlong Thom, Krabi, 81120, ตำบล คลองท่อมใต้ อำเภอคลองท่อม กระบี่ 81120, Thailand']",45.9 km,40 mins
