,pair,value
115,"('สระแก้ว', 'สระแก้ว')",1
116,"('สระแก้ว', 'นครราชสีมา')",1
117,"('สระแก้ว', 'บุรีรัมย์')",1
118,"('นครราชสีมา', 'ลพบุรี')",1
119,"('นครราชสีมา', 'สระบุรี')",1
120,"('นครราชสีมา', 'ปราจีนบุรี')",1
121,"('นครราชสีมา', 'นครนายก')",1
122,"('นครราชสีมา', 'สระแก้ว')",1
123,"('นครราชสีมา', 'นครราชสีมา')",1
124,"('นครราชสีมา', 'บุรีรัมย์')",1
125,"('นครราชสีมา', 'ชัยภูมิ')",1
126,"('นครราชสีมา', 'ขอนแก่น')",1
127,"('นครราชสีมา', 'มหาสารคาม')",1
128,"('นครราชสีมา', 'เพชรบูรณ์')",1
129,"('บุรีรัมย์', 'สระแก้ว')",1
130,"('บุรีรัมย์', 'นครราชสีมา')",1
131,"('บุรีรัมย์', 'บุรีรัมย์')",1
132,"('บุรีรัมย์', 'สุรินทร์')",1
133,"('บุรีรัมย์', 'ชัยภูมิ')",1
134,"('บุรีรัมย์', 'ขอนแก่น')",1
135,"('บุรีรัมย์', 'มหาสารคาม')",1
136,"('บุรีรัมย์', 'ร้อยเอ็ด')",1
137,"('สุรินทร์', 'บุรีรัมย์')",1
138,"('สุรินทร์', 'สุรินทร์')",1
139,"('สุรินทร์', 'ศรีสะเกษ')",1
140,"('สุรินทร์', 'ยโสธร')",1
141,"('สุรินทร์', 'มหาสารคาม')",1
142,"('สุรินทร์', 'ร้อยเอ็ด')",1
143,"('ศรีสะเกษ', 'สุรินทร์')",1
144,"('ศรีสะเกษ', 'ศรีสะเกษ')",1
145,"('ศรีสะเกษ', 'อุบลราชธานี')",1
146,"('ศรีสะเกษ', 'ยโสธร')",1
147,"('ศรีสะเกษ', 'อำนาจเจริญ')",1
148,"('ศรีสะเกษ', 'ร้อยเอ็ด')",1
149,"('อุบลราชธานี', 'ศรีสะเกษ')",1
150,"('อุบลราชธานี', 'อุบลราชธานี')",1
151,"('อุบลราชธานี', 'ยโสธร')",1
152,"('อุบลราชธานี', 'อำนาจเจริญ')",1
153,"('ยโสธร', 'สุรินทร์')",1
154,"('ยโสธร', 'ศรีสะเกษ')",1
155,"('ยโสธร', 'อุบลราชธานี')",1
156,"('ยโสธร', 'ยโสธร')",1
157,"('ยโสธร', 'อำนาจเจริญ')",1
158,"('ยโสธร', 'ร้อยเอ็ด')",1
159,"('ยโสธร', 'กาฬสินธุ์')",1
160,"('ยโสธร', 'มุกดาหาร')",1
161,"('ชัยภูมิ', 'ลพบุรี')",1
162,"('ชัยภูมิ', 'นครราชสีมา')",1
163,"('ชัยภูมิ', 'บุรีรัมย์')",1
164,"('ชัยภูมิ', 'ชัยภูมิ')",1
165,"('ชัยภูมิ', 'ขอนแก่น')",1
166,"('ชัยภูมิ', 'เพชรบูรณ์')",1
167,"('อำนาจเจริญ', 'ศรีสะเกษ')",1
168,"('อำนาจเจริญ', 'อุบลราชธานี')",1
169,"('อำนาจเจริญ', 'ยโสธร')",1
170,"('อำนาจเจริญ', 'อำนาจเจริญ')",1
171,"('อำนาจเจริญ', 'มุกดาหาร')",1
172,"('บึงกาฬ', 'บึงกาฬ')",1
173,"('บึงกาฬ', 'อุดรธานี')",1
174,"('บึงกาฬ', 'หนองคาย')",1
175,"('บึงกาฬ', 'สกลนคร')",1
176,"('บึงกาฬ', 'นครพนม')",1
