,site1,site2,value
57,"('พญาไท', 'กรุงเทพมหานคร')","('พญาไท', 'กรุงเทพมหานคร')",1
58,"('พญาไท', 'กรุงเทพมหานคร')","('ปทุมวัน', 'กรุงเทพมหานคร')",1
59,"('พญาไท', 'กรุงเทพมหานคร')","('ป้อมปราบศัตรูพ่าย', 'กรุงเทพมหานคร')",1
60,"('พญาไท', 'กรุงเทพมหานคร')","('สัมพันธวงศ์', 'กรุงเทพมหานคร')",1
61,"('พญาไท', 'กรุงเทพมหานคร')","('ห้วยขวาง', 'กรุงเทพมหานคร')",1
62,"('พญาไท', 'กรุงเทพมหานคร')","('บางพลัด', 'กรุงเทพมหานคร')",1
63,"('พญาไท', 'กรุงเทพมหานคร')","('ดินแดง', 'กรุงเทพมหานคร')",1
64,"('พญาไท', 'กรุงเทพมหานคร')","('บางซื่อ', 'กรุงเทพมหานคร')",1
65,"('พญาไท', 'กรุงเทพมหานคร')","('จตุจักร', 'กรุงเทพมหานคร')",1
66,"('พญาไท', 'กรุงเทพมหานคร')","('ราชเทวี', 'กรุงเทพมหานคร')",1
67,"('พญาไท', 'กรุงเทพมหานคร')","('วัฒนา', 'กรุงเทพมหานคร')",1
68,"('พญาไท', 'กรุงเทพมหานคร')","('เมืองนนทบุรี', 'นนทบุรี')",1
69,"('พญาไท', 'กรุงเทพมหานคร')","('บางกรวย', 'นนทบุรี')",1
70,"('บ้านนา', 'นครนายก')","('บ้านนา', 'นครนายก')",1
71,"('บ้านนา', 'นครนายก')","('องครักษ์', 'นครนายก')",1
72,"('บ้านนา', 'นครนายก')","('หนองเสือ', 'ปทุมธานี')",1
73,"('บ้านนา', 'นครนายก')","('เมืองสระบุรี', 'สระบุรี')",1
74,"('บ้านนา', 'นครนายก')","('แก่งคอย', 'สระบุรี')",1
75,"('บ้านนา', 'นครนายก')","('หนองแค', 'สระบุรี')",1
76,"('บ้านนา', 'นครนายก')","('วิหารแดง', 'สระบุรี')",1
77,"('บ้านนา', 'นครนายก')","('มวกเหล็ก', 'สระบุรี')",1
78,"('บ้านนา', 'นครนายก')","('เมืองนครนายก', 'นครนายก')",1
79,"('บ้านนา', 'นครนายก')","('ปากพลี', 'นครนายก')",1
80,"('องครักษ์', 'นครนายก')","('บ้านนา', 'นครนายก')",1
81,"('องครักษ์', 'นครนายก')","('องครักษ์', 'นครนายก')",1
82,"('องครักษ์', 'นครนายก')","('หนองจอก', 'กรุงเทพมหานคร')",1
83,"('องครักษ์', 'นครนายก')","('หนองเสือ', 'ปทุมธานี')",1
84,"('องครักษ์', 'นครนายก')","('หนองแค', 'สระบุรี')",1
85,"('องครักษ์', 'นครนายก')","('ธัญบุรี', 'ปทุมธานี')",1
86,"('องครักษ์', 'นครนายก')","('ลำลูกกา', 'ปทุมธานี')",1
87,"('องครักษ์', 'นครนายก')","('วิหารแดง', 'สระบุรี')",1
88,"('องครักษ์', 'นครนายก')","('เมืองนครนายก', 'นครนายก')",1
89,"('องครักษ์', 'นครนายก')","('ปากพลี', 'นครนายก')",1
90,"('หนองจอก', 'กรุงเทพมหานคร')","('องครักษ์', 'นครนายก')",1
91,"('หนองจอก', 'กรุงเทพมหานคร')","('หนองจอก', 'กรุงเทพมหานคร')",1
92,"('หนองจอก', 'กรุงเทพมหานคร')","('มีนบุรี', 'กรุงเทพมหานคร')",1
93,"('หนองจอก', 'กรุงเทพมหานคร')","('ลาดกระบัง', 'กรุงเทพมหานคร')",1
94,"('หนองจอก', 'กรุงเทพมหานคร')","('คลองสามวา', 'กรุงเทพมหานคร')",1
95,"('หนองจอก', 'กรุงเทพมหานคร')","('บางพลี', 'สมุทรปราการ')",1
96,"('หนองจอก', 'กรุงเทพมหานคร')","('ธัญบุรี', 'ปทุมธานี')",1
97,"('หนองจอก', 'กรุงเทพมหานคร')","('ลำลูกกา', 'ปทุมธานี')",1
98,"('คลองเตย', 'กรุงเทพมหานคร')","('ดุสิต', 'กรุงเทพมหานคร')",1
99,"('คลองเตย', 'กรุงเทพมหานคร')","('บางรัก', 'กรุงเทพมหานคร')",1
100,"('คลองเตย', 'กรุงเทพมหานคร')","('คลองเตย', 'กรุงเทพมหานคร')",1
101,"('คลองเตย', 'กรุงเทพมหานคร')","('พระโขนง', 'กรุงเทพมหานคร')",1
102,"('คลองเตย', 'กรุงเทพมหานคร')","('บางกะปิ', 'กรุงเทพมหานคร')",1
103,"('คลองเตย', 'กรุงเทพมหานคร')","('ปทุมวัน', 'กรุงเทพมหานคร')",1
104,"('คลองเตย', 'กรุงเทพมหานคร')","('ยานนาวา', 'กรุงเทพมหานคร')",1
105,"('คลองเตย', 'กรุงเทพมหานคร')","('ห้วยขวาง', 'กรุงเทพมหานคร')",1
106,"('คลองเตย', 'กรุงเทพมหานคร')","('ดินแดง', 'กรุงเทพมหานคร')",1
107,"('คลองเตย', 'กรุงเทพมหานคร')","('สาทร', 'กรุงเทพมหานคร')",1
108,"('คลองเตย', 'กรุงเทพมหานคร')","('บางคอแหลม', 'กรุงเทพมหานคร')",1
109,"('คลองเตย', 'กรุงเทพมหานคร')","('สวนหลวง', 'กรุงเทพมหานคร')",1
110,"('คลองเตย', 'กรุงเทพมหานคร')","('ราชเทวี', 'กรุงเทพมหานคร')",1
111,"('คลองเตย', 'กรุงเทพมหานคร')","('วัฒนา', 'กรุงเทพมหานคร')",1
112,"('คลองเตย', 'กรุงเทพมหานคร')","('วังทองหลาง', 'กรุงเทพมหานคร')",1
113,"('คลองเตย', 'กรุงเทพมหานคร')","('บางนา', 'กรุงเทพมหานคร')",1
114,"('คลองเตย', 'กรุงเทพมหานคร')","('พระประแดง', 'สมุทรปราการ')",1
115,"('บางเขน', 'กรุงเทพมหานคร')","('บางเขน', 'กรุงเทพมหานคร')",1
116,"('บางเขน', 'กรุงเทพมหานคร')","('มีนบุรี', 'กรุงเทพมหานคร')",1
117,"('บางเขน', 'กรุงเทพมหานคร')","('ดอนเมือง', 'กรุงเทพมหานคร')",1
118,"('บางเขน', 'กรุงเทพมหานคร')","('บึงกุ่ม', 'กรุงเทพมหานคร')",1
119,"('บางเขน', 'กรุงเทพมหานคร')","('จตุจักร', 'กรุงเทพมหานคร')",1
120,"('บางเขน', 'กรุงเทพมหานคร')","('ลาดพร้าว', 'กรุงเทพมหานคร')",1
121,"('บางเขน', 'กรุงเทพมหานคร')","('หลักสี่', 'กรุงเทพมหานคร')",1
122,"('บางเขน', 'กรุงเทพมหานคร')","('สายไหม', 'กรุงเทพมหานคร')",1
123,"('บางเขน', 'กรุงเทพมหานคร')","('คันนายาว', 'กรุงเทพมหานคร')",1
124,"('บางเขน', 'กรุงเทพมหานคร')","('คลองสามวา', 'กรุงเทพมหานคร')",1
125,"('บางเขน', 'กรุงเทพมหานคร')","('ปากเกร็ด', 'นนทบุรี')",1
126,"('บางเขน', 'กรุงเทพมหานคร')","('ลำลูกกา', 'ปทุมธานี')",1
127,"('พระโขนง', 'กรุงเทพมหานคร')","('คลองเตย', 'กรุงเทพมหานคร')",1
128,"('พระโขนง', 'กรุงเทพมหานคร')","('พระโขนง', 'กรุงเทพมหานคร')",1
129,"('พระโขนง', 'กรุงเทพมหานคร')","('ประเวศ', 'กรุงเทพมหานคร')",1
130,"('พระโขนง', 'กรุงเทพมหานคร')","('สวนหลวง', 'กรุงเทพมหานคร')",1
131,"('พระโขนง', 'กรุงเทพมหานคร')","('วัฒนา', 'กรุงเทพมหานคร')",1
132,"('พระโขนง', 'กรุงเทพมหานคร')","('บางนา', 'กรุงเทพมหานคร')",1
133,"('พระโขนง', 'กรุงเทพมหานคร')","('เมืองสมุทรปราการ', 'สมุทรปราการ')",1
134,"('พระโขนง', 'กรุงเทพมหานคร')","('บางพลี', 'สมุทรปราการ')",1
135,"('พระโขนง', 'กรุงเทพมหานคร')","('พระประแดง', 'สมุทรปราการ')",1
136,"('บางกะปิ', 'กรุงเทพมหานคร')","('คลองเตย', 'กรุงเทพมหานคร')",1
137,"('บางกะปิ', 'กรุงเทพมหานคร')","('บางกะปิ', 'กรุงเทพมหานคร')",1
138,"('บางกะปิ', 'กรุงเทพมหานคร')","('มีนบุรี', 'กรุงเทพมหานคร')",1
139,"('บางกะปิ', 'กรุงเทพมหานคร')","('ห้วยขวาง', 'กรุงเทพมหานคร')",1
140,"('บางกะปิ', 'กรุงเทพมหานคร')","('บึงกุ่ม', 'กรุงเทพมหานคร')",1
141,"('บางกะปิ', 'กรุงเทพมหานคร')","('จตุจักร', 'กรุงเทพมหานคร')",1
142,"('บางกะปิ', 'กรุงเทพมหานคร')","('ประเวศ', 'กรุงเทพมหานคร')",1
143,"('บางกะปิ', 'กรุงเทพมหานคร')","('สวนหลวง', 'กรุงเทพมหานคร')",1
144,"('บางกะปิ', 'กรุงเทพมหานคร')","('ลาดพร้าว', 'กรุงเทพมหานคร')",1
145,"('บางกะปิ', 'กรุงเทพมหานคร')","('วัฒนา', 'กรุงเทพมหานคร')",1
146,"('บางกะปิ', 'กรุงเทพมหานคร')","('คันนายาว', 'กรุงเทพมหานคร')",1
147,"('บางกะปิ', 'กรุงเทพมหานคร')","('สะพานสูง', 'กรุงเทพมหานคร')",1
148,"('บางกะปิ', 'กรุงเทพมหานคร')","('วังทองหลาง', 'กรุงเทพมหานคร')",1
149,"('บางกะปิ', 'กรุงเทพมหานคร')","('คลองสามวา', 'กรุงเทพมหานคร')",1
150,"('บางกะปิ', 'กรุงเทพมหานคร')","('บางพลี', 'สมุทรปราการ')",1
151,"('ปทุมวัน', 'กรุงเทพมหานคร')","('พระนคร', 'กรุงเทพมหานคร')",1
152,"('ปทุมวัน', 'กรุงเทพมหานคร')","('ดุสิต', 'กรุงเทพมหานคร')",1
153,"('ปทุมวัน', 'กรุงเทพมหานคร')","('บางรัก', 'กรุงเทพมหานคร')",1
154,"('ปทุมวัน', 'กรุงเทพมหานคร')","('พญาไท', 'กรุงเทพมหานคร')",1
155,"('ปทุมวัน', 'กรุงเทพมหานคร')","('คลองเตย', 'กรุงเทพมหานคร')",1
156,"('ปทุมวัน', 'กรุงเทพมหานคร')","('ปทุมวัน', 'กรุงเทพมหานคร')",1
157,"('ปทุมวัน', 'กรุงเทพมหานคร')","('ป้อมปราบศัตรูพ่าย', 'กรุงเทพมหานคร')",1
158,"('ปทุมวัน', 'กรุงเทพมหานคร')","('สัมพันธวงศ์', 'กรุงเทพมหานคร')",1
159,"('ปทุมวัน', 'กรุงเทพมหานคร')","('ยานนาวา', 'กรุงเทพมหานคร')",1
160,"('ปทุมวัน', 'กรุงเทพมหานคร')","('ธนบุรี', 'กรุงเทพมหานคร')",1
161,"('ปทุมวัน', 'กรุงเทพมหานคร')","('ห้วยขวาง', 'กรุงเทพมหานคร')",1
162,"('ปทุมวัน', 'กรุงเทพมหานคร')","('คลองสาน', 'กรุงเทพมหานคร')",1
163,"('ปทุมวัน', 'กรุงเทพมหานคร')","('บางพลัด', 'กรุงเทพมหานคร')",1
164,"('ปทุมวัน', 'กรุงเทพมหานคร')","('ดินแดง', 'กรุงเทพมหานคร')",1
165,"('ปทุมวัน', 'กรุงเทพมหานคร')","('สาทร', 'กรุงเทพมหานคร')",1
166,"('ปทุมวัน', 'กรุงเทพมหานคร')","('บางคอแหลม', 'กรุงเทพมหานคร')",1
167,"('ปทุมวัน', 'กรุงเทพมหานคร')","('ราชเทวี', 'กรุงเทพมหานคร')",1
168,"('ปทุมวัน', 'กรุงเทพมหานคร')","('วัฒนา', 'กรุงเทพมหานคร')",1
169,"('ปทุมวัน', 'กรุงเทพมหานคร')","('พระประแดง', 'สมุทรปราการ')",1
170,"('ป้อมปราบศัตรูพ่าย', 'กรุงเทพมหานคร')","('พระนคร', 'กรุงเทพมหานคร')",1
171,"('ป้อมปราบศัตรูพ่าย', 'กรุงเทพมหานคร')","('ดุสิต', 'กรุงเทพมหานคร')",1
172,"('ป้อมปราบศัตรูพ่าย', 'กรุงเทพมหานคร')","('บางรัก', 'กรุงเทพมหานคร')",1
173,"('ป้อมปราบศัตรูพ่าย', 'กรุงเทพมหานคร')","('พญาไท', 'กรุงเทพมหานคร')",1
174,"('ป้อมปราบศัตรูพ่าย', 'กรุงเทพมหานคร')","('ปทุมวัน', 'กรุงเทพมหานคร')",1
175,"('ป้อมปราบศัตรูพ่าย', 'กรุงเทพมหานคร')","('ป้อมปราบศัตรูพ่าย', 'กรุงเทพมหานคร')",1
176,"('ป้อมปราบศัตรูพ่าย', 'กรุงเทพมหานคร')","('สัมพันธวงศ์', 'กรุงเทพมหานคร')",1
177,"('ป้อมปราบศัตรูพ่าย', 'กรุงเทพมหานคร')","('ยานนาวา', 'กรุงเทพมหานคร')",1
178,"('ป้อมปราบศัตรูพ่าย', 'กรุงเทพมหานคร')","('ธนบุรี', 'กรุงเทพมหานคร')",1
179,"('ป้อมปราบศัตรูพ่าย', 'กรุงเทพมหานคร')","('บางกอกใหญ่', 'กรุงเทพมหานคร')",1
180,"('ป้อมปราบศัตรูพ่าย', 'กรุงเทพมหานคร')","('คลองสาน', 'กรุงเทพมหานคร')",1
181,"('ป้อมปราบศัตรูพ่าย', 'กรุงเทพมหานคร')","('บางกอกน้อย', 'กรุงเทพมหานคร')",1
182,"('ป้อมปราบศัตรูพ่าย', 'กรุงเทพมหานคร')","('บางพลัด', 'กรุงเทพมหานคร')",1
183,"('ป้อมปราบศัตรูพ่าย', 'กรุงเทพมหานคร')","('สาทร', 'กรุงเทพมหานคร')",1
184,"('ป้อมปราบศัตรูพ่าย', 'กรุงเทพมหานคร')","('ราชเทวี', 'กรุงเทพมหานคร')",1
185,"('มีนบุรี', 'กรุงเทพมหานคร')","('หนองจอก', 'กรุงเทพมหานคร')",1
186,"('มีนบุรี', 'กรุงเทพมหานคร')","('บางเขน', 'กรุงเทพมหานคร')",1
187,"('มีนบุรี', 'กรุงเทพมหานคร')","('บางกะปิ', 'กรุงเทพมหานคร')",1
188,"('มีนบุรี', 'กรุงเทพมหานคร')","('มีนบุรี', 'กรุงเทพมหานคร')",1
189,"('มีนบุรี', 'กรุงเทพมหานคร')","('ลาดกระบัง', 'กรุงเทพมหานคร')",1
190,"('มีนบุรี', 'กรุงเทพมหานคร')","('คันนายาว', 'กรุงเทพมหานคร')",1
191,"('มีนบุรี', 'กรุงเทพมหานคร')","('สะพานสูง', 'กรุงเทพมหานคร')",1
192,"('มีนบุรี', 'กรุงเทพมหานคร')","('คลองสามวา', 'กรุงเทพมหานคร')",1
193,"('สัมพันธวงศ์', 'กรุงเทพมหานคร')","('พระนคร', 'กรุงเทพมหานคร')",1
194,"('สัมพันธวงศ์', 'กรุงเทพมหานคร')","('ดุสิต', 'กรุงเทพมหานคร')",1
195,"('สัมพันธวงศ์', 'กรุงเทพมหานคร')","('บางรัก', 'กรุงเทพมหานคร')",1
196,"('สัมพันธวงศ์', 'กรุงเทพมหานคร')","('พญาไท', 'กรุงเทพมหานคร')",1
197,"('สัมพันธวงศ์', 'กรุงเทพมหานคร')","('ปทุมวัน', 'กรุงเทพมหานคร')",1
198,"('สัมพันธวงศ์', 'กรุงเทพมหานคร')","('ป้อมปราบศัตรูพ่าย', 'กรุงเทพมหานคร')",1
199,"('สัมพันธวงศ์', 'กรุงเทพมหานคร')","('สัมพันธวงศ์', 'กรุงเทพมหานคร')",1
200,"('สัมพันธวงศ์', 'กรุงเทพมหานคร')","('ยานนาวา', 'กรุงเทพมหานคร')",1
201,"('สัมพันธวงศ์', 'กรุงเทพมหานคร')","('ธนบุรี', 'กรุงเทพมหานคร')",1
202,"('สัมพันธวงศ์', 'กรุงเทพมหานคร')","('บางกอกใหญ่', 'กรุงเทพมหานคร')",1
203,"('สัมพันธวงศ์', 'กรุงเทพมหานคร')","('คลองสาน', 'กรุงเทพมหานคร')",1
204,"('สัมพันธวงศ์', 'กรุงเทพมหานคร')","('บางกอกน้อย', 'กรุงเทพมหานคร')",1
205,"('สัมพันธวงศ์', 'กรุงเทพมหานคร')","('บางพลัด', 'กรุงเทพมหานคร')",1
206,"('สัมพันธวงศ์', 'กรุงเทพมหานคร')","('สาทร', 'กรุงเทพมหานคร')",1
207,"('สัมพันธวงศ์', 'กรุงเทพมหานคร')","('บางคอแหลม', 'กรุงเทพมหานคร')",1
208,"('สัมพันธวงศ์', 'กรุงเทพมหานคร')","('จอมทอง', 'กรุงเทพมหานคร')",1
209,"('สัมพันธวงศ์', 'กรุงเทพมหานคร')","('ราชเทวี', 'กรุงเทพมหานคร')",1
210,"('ลาดกระบัง', 'กรุงเทพมหานคร')","('หนองจอก', 'กรุงเทพมหานคร')",1
211,"('ลาดกระบัง', 'กรุงเทพมหานคร')","('มีนบุรี', 'กรุงเทพมหานคร')",1
212,"('ลาดกระบัง', 'กรุงเทพมหานคร')","('ลาดกระบัง', 'กรุงเทพมหานคร')",1
213,"('ลาดกระบัง', 'กรุงเทพมหานคร')","('ประเวศ', 'กรุงเทพมหานคร')",1
214,"('ลาดกระบัง', 'กรุงเทพมหานคร')","('คันนายาว', 'กรุงเทพมหานคร')",1
215,"('ลาดกระบัง', 'กรุงเทพมหานคร')","('สะพานสูง', 'กรุงเทพมหานคร')",1
216,"('ลาดกระบัง', 'กรุงเทพมหานคร')","('คลองสามวา', 'กรุงเทพมหานคร')",1
217,"('ลาดกระบัง', 'กรุงเทพมหานคร')","('บางบ่อ', 'สมุทรปราการ')",1
218,"('ลาดกระบัง', 'กรุงเทพมหานคร')","('บางพลี', 'สมุทรปราการ')",1
219,"('ลาดกระบัง', 'กรุงเทพมหานคร')","('บางเสาธง', 'สมุทรปราการ')",1
220,"('ยานนาวา', 'กรุงเทพมหานคร')","('พระนคร', 'กรุงเทพมหานคร')",1
221,"('ยานนาวา', 'กรุงเทพมหานคร')","('บางรัก', 'กรุงเทพมหานคร')",1
222,"('ยานนาวา', 'กรุงเทพมหานคร')","('คลองเตย', 'กรุงเทพมหานคร')",1
223,"('ยานนาวา', 'กรุงเทพมหานคร')","('ปทุมวัน', 'กรุงเทพมหานคร')",1
224,"('ยานนาวา', 'กรุงเทพมหานคร')","('ป้อมปราบศัตรูพ่าย', 'กรุงเทพมหานคร')",1
225,"('ยานนาวา', 'กรุงเทพมหานคร')","('สัมพันธวงศ์', 'กรุงเทพมหานคร')",1
226,"('ยานนาวา', 'กรุงเทพมหานคร')","('ยานนาวา', 'กรุงเทพมหานคร')",1
227,"('ยานนาวา', 'กรุงเทพมหานคร')","('ธนบุรี', 'กรุงเทพมหานคร')",1
228,"('ยานนาวา', 'กรุงเทพมหานคร')","('คลองสาน', 'กรุงเทพมหานคร')",1
229,"('ยานนาวา', 'กรุงเทพมหานคร')","('ราษฎร์บูรณะ', 'กรุงเทพมหานคร')",1
230,"('ยานนาวา', 'กรุงเทพมหานคร')","('สาทร', 'กรุงเทพมหานคร')",1
231,"('ยานนาวา', 'กรุงเทพมหานคร')","('บางคอแหลม', 'กรุงเทพมหานคร')",1
232,"('ยานนาวา', 'กรุงเทพมหานคร')","('วัฒนา', 'กรุงเทพมหานคร')",1
233,"('ยานนาวา', 'กรุงเทพมหานคร')","('ทุ่งครุ', 'กรุงเทพมหานคร')",1
234,"('ยานนาวา', 'กรุงเทพมหานคร')","('เมืองสมุทรปราการ', 'สมุทรปราการ')",1
235,"('ยานนาวา', 'กรุงเทพมหานคร')","('พระประแดง', 'สมุทรปราการ')",1
236,"('ธนบุรี', 'กรุงเทพมหานคร')","('พระนคร', 'กรุงเทพมหานคร')",1
237,"('ธนบุรี', 'กรุงเทพมหานคร')","('ดุสิต', 'กรุงเทพมหานคร')",1
238,"('ธนบุรี', 'กรุงเทพมหานคร')","('บางรัก', 'กรุงเทพมหานคร')",1
239,"('ธนบุรี', 'กรุงเทพมหานคร')","('ปทุมวัน', 'กรุงเทพมหานคร')",1
240,"('ธนบุรี', 'กรุงเทพมหานคร')","('ป้อมปราบศัตรูพ่าย', 'กรุงเทพมหานคร')",1
241,"('ธนบุรี', 'กรุงเทพมหานคร')","('สัมพันธวงศ์', 'กรุงเทพมหานคร')",1
242,"('ธนบุรี', 'กรุงเทพมหานคร')","('ยานนาวา', 'กรุงเทพมหานคร')",1
243,"('ธนบุรี', 'กรุงเทพมหานคร')","('ธนบุรี', 'กรุงเทพมหานคร')",1
244,"('ธนบุรี', 'กรุงเทพมหานคร')","('บางกอกใหญ่', 'กรุงเทพมหานคร')",1
245,"('ธนบุรี', 'กรุงเทพมหานคร')","('คลองสาน', 'กรุงเทพมหานคร')",1
246,"('ธนบุรี', 'กรุงเทพมหานคร')","('ตลิ่งชัน', 'กรุงเทพมหานคร')",1
247,"('ธนบุรี', 'กรุงเทพมหานคร')","('บางกอกน้อย', 'กรุงเทพมหานคร')",1
248,"('ธนบุรี', 'กรุงเทพมหานคร')","('บางขุนเทียน', 'กรุงเทพมหานคร')",1
249,"('ธนบุรี', 'กรุงเทพมหานคร')","('ภาษีเจริญ', 'กรุงเทพมหานคร')",1
250,"('ธนบุรี', 'กรุงเทพมหานคร')","('ราษฎร์บูรณะ', 'กรุงเทพมหานคร')",1
251,"('ธนบุรี', 'กรุงเทพมหานคร')","('บางพลัด', 'กรุงเทพมหานคร')",1
252,"('ธนบุรี', 'กรุงเทพมหานคร')","('สาทร', 'กรุงเทพมหานคร')",1
253,"('ธนบุรี', 'กรุงเทพมหานคร')","('บางคอแหลม', 'กรุงเทพมหานคร')",1
254,"('ธนบุรี', 'กรุงเทพมหานคร')","('จอมทอง', 'กรุงเทพมหานคร')",1
255,"('ธนบุรี', 'กรุงเทพมหานคร')","('บางบอน', 'กรุงเทพมหานคร')",1
256,"('ธนบุรี', 'กรุงเทพมหานคร')","('พระประแดง', 'สมุทรปราการ')",1
