,ap,pv,rg,geomtype
505,สิงหนคร,สงขลา,South,Polygon
506,นาหม่อม,สงขลา,South,Polygon
507,ควนเนียง,สงขลา,South,Polygon
508,บางกล่ำ,สงขลา,South,Polygon
509,คลองหอยโข่ง,สงขลา,South,Polygon
510,เมืองสตูล,สตูล,South,MultiPolygon
511,ควนโดน,สตูล,South,Polygon
512,ควนกาหลง,สตูล,South,Polygon
513,ท่าแพ,สตูล,South,Polygon
514,นาโยง,ตรัง,South,Polygon
515,รัษฎา,ตรัง,South,Polygon
516,หาดสำราญ,ตรัง,South,MultiPolygon
517,เมืองพัทลุง,พัทลุง,South,Polygon
518,กงหรา,พัทลุง,South,Polygon
519,เขาชัยสน,พัทลุง,South,Polygon
520,ปากพะยูน,พัทลุง,South,Polygon
521,ศรีบรรพต,พัทลุง,South,Polygon
522,ป่าบอน,พัทลุง,South,Polygon
523,บางแก้ว,พัทลุง,South,Polygon
524,ป่าพยอม,พัทลุง,South,Polygon
525,ศรีนครินทร์,พัทลุง,South,Polygon
526,เมืองปัตตานี,ปัตตานี,South,Polygon
527,โคกโพธิ์,ปัตตานี,South,Polygon
528,หนองจิก,ปัตตานี,South,Polygon
529,ระแงะ,นราธิวาส,South,Polygon
530,รือเสาะ,นราธิวาส,South,Polygon
531,ศรีสาคร,นราธิวาส,South,Polygon
532,แว้ง,นราธิวาส,South,Polygon
533,สุคิริน,นราธิวาส,South,Polygon
534,สุไหงโก-ลก,นราธิวาส,South,Polygon
535,สุไหงปาดี,นราธิวาส,South,Polygon
536,ปะนาเระ,ปัตตานี,South,Polygon
537,จะแนะ,นราธิวาส,South,Polygon
538,มายอ,ปัตตานี,South,Polygon
539,ทุ่งยางแดง,ปัตตานี,South,Polygon
540,สายบุรี,ปัตตานี,South,Polygon
541,ไม้แก่น,ปัตตานี,South,Polygon
542,ยะหริ่ง,ปัตตานี,South,Polygon
543,ยะรัง,ปัตตานี,South,Polygon
544,กะพ้อ,ปัตตานี,South,Polygon
545,แม่ลาน,ปัตตานี,South,Polygon
546,เมืองยะลา,ยะลา,South,Polygon
547,เบตง,ยะลา,South,Polygon
548,บันนังสตา,ยะลา,South,Polygon
549,ธารโต,ยะลา,South,Polygon
550,ยะหา,ยะลา,South,Polygon
551,รามัน,ยะลา,South,Polygon
552,กาบัง,ยะลา,South,Polygon
553,กรงปีนัง,ยะลา,South,Polygon
554,เมืองนราธิวาส,นราธิวาส,South,Polygon
555,ตากใบ,นราธิวาส,South,Polygon
556,บาเจาะ,นราธิวาส,South,Polygon
557,เจาะไอร้อง,นราธิวาส,South,Polygon
558,เมืองนครราชสีมา,นครราชสีมา,Northeast,Polygon
559,ครบุรี,นครราชสีมา,Northeast,Polygon
560,ปักธงชัย,นครราชสีมา,Northeast,Polygon
561,พิมาย,นครราชสีมา,Northeast,Polygon
562,ห้วยแถลง,นครราชสีมา,Northeast,Polygon
563,ชุมพวง,นครราชสีมา,Northeast,Polygon
564,สูงเนิน,นครราชสีมา,Northeast,Polygon
565,นางรอง,บุรีรัมย์,Northeast,Polygon
566,บ้านกรวด,บุรีรัมย์,Northeast,Polygon
567,พุทไธสง,บุรีรัมย์,Northeast,Polygon
568,ลำปลายมาศ,บุรีรัมย์,Northeast,Polygon
569,สตึก,บุรีรัมย์,Northeast,Polygon
570,เมืองชัยภูมิ,ชัยภูมิ,Northeast,Polygon
571,บ้านเขว้า,ชัยภูมิ,Northeast,Polygon
572,คอนสวรรค์,ชัยภูมิ,Northeast,Polygon
573,เกษตรสมบูรณ์,ชัยภูมิ,Northeast,Polygon
574,หนองบัวแดง,ชัยภูมิ,Northeast,Polygon
575,จัตุรัส,ชัยภูมิ,Northeast,Polygon
576,บำเหน็จณรงค์,ชัยภูมิ,Northeast,Polygon
577,หนองบัวระเหว,ชัยภูมิ,Northeast,Polygon
578,เทพสถิต,ชัยภูมิ,Northeast,Polygon
579,ภูเขียว,ชัยภูมิ,Northeast,Polygon
580,บ้านแท่น,ชัยภูมิ,Northeast,Polygon
581,ภักดีชุมพล,ชัยภูมิ,Northeast,Polygon
582,พรเจริญ,บึงกาฬ,Northeast,Polygon
583,โซ่พิสัย,บึงกาฬ,Northeast,Polygon
584,เซกา,บึงกาฬ,Northeast,Polygon
585,ปากคาด,บึงกาฬ,Northeast,Polygon
586,บึงโขงหลง,บึงกาฬ,Northeast,Polygon
587,ศรีวิไล,บึงกาฬ,Northeast,Polygon
588,บุ่งคล้า,บึงกาฬ,Northeast,Polygon
589,เมืองหนองบัวลำภู,หนองบัวลำภู,Northeast,Polygon
590,นากลาง,หนองบัวลำภู,Northeast,Polygon
591,โนนสัง,หนองบัวลำภู,Northeast,Polygon
592,ศรีบุญเรือง,หนองบัวลำภู,Northeast,Polygon
593,สุวรรณคูหา,หนองบัวลำภู,Northeast,Polygon
594,นาวัง,หนองบัวลำภู,Northeast,Polygon
595,เมืองขอนแก่น,ขอนแก่น,Northeast,Polygon
596,บ้านฝาง,ขอนแก่น,Northeast,Polygon
597,พระยืน,ขอนแก่น,Northeast,Polygon
598,หนองเรือ,ขอนแก่น,Northeast,Polygon
599,ชุมแพ,ขอนแก่น,Northeast,Polygon
600,สีชมพู,ขอนแก่น,Northeast,Polygon
601,น้ำพอง,ขอนแก่น,Northeast,Polygon
602,อุบลรัตน์,ขอนแก่น,Northeast,Polygon
603,กระนวน,ขอนแก่น,Northeast,Polygon
604,บ้านไผ่,ขอนแก่น,Northeast,Polygon
605,เปือยน้อย,ขอนแก่น,Northeast,Polygon
606,พล,ขอนแก่น,Northeast,Polygon
607,แวงใหญ่,ขอนแก่น,Northeast,Polygon
608,แวงน้อย,ขอนแก่น,Northeast,Polygon
609,หนองสองห้อง,ขอนแก่น,Northeast,Polygon
610,ภูเวียง,ขอนแก่น,Northeast,Polygon
611,มัญจาคีรี,ขอนแก่น,Northeast,Polygon
612,ชนบท,ขอนแก่น,Northeast,Polygon
613,เขาสวนกวาง,ขอนแก่น,Northeast,Polygon
614,ภูผาม่าน,ขอนแก่น,Northeast,Polygon
615,ซำสูง,ขอนแก่น,Northeast,Polygon
616,โคกโพธิ์ไชย,ขอนแก่น,Northeast,Polygon
617,หนองนาคำ,ขอนแก่น,Northeast,Polygon
618,บ้านแฮด,ขอนแก่น,Northeast,Polygon
619,โนนศิลา,ขอนแก่น,Northeast,Polygon
620,เมืองอุดรธานี,อุดรธานี,Northeast,Polygon
621,กุดจับ,อุดรธานี,Northeast,Polygon
622,หนองวัวซอ,อุดรธานี,Northeast,Polygon
623,กุมภวาปี,อุดรธานี,Northeast,Polygon
624,โนนสะอาด,อุดรธานี,Northeast,Polygon
625,หนองหาน,อุดรธานี,Northeast,Polygon
626,ทุ่งฝน,อุดรธานี,Northeast,Polygon
627,ไชยวาน,อุดรธานี,Northeast,Polygon
628,ศรีธาตุ,อุดรธานี,Northeast,Polygon
629,วังสามหมอ,อุดรธานี,Northeast,Polygon
630,บ้านดุง,อุดรธานี,Northeast,Polygon
631,บ้านผือ,อุดรธานี,Northeast,Polygon
632,น้ำโสม,อุดรธานี,Northeast,Polygon
633,เพ็ญ,อุดรธานี,Northeast,Polygon
634,สร้างคอม,อุดรธานี,Northeast,Polygon
635,หนองแสง,อุดรธานี,Northeast,Polygon
636,นายูง,อุดรธานี,Northeast,Polygon
637,พิบูลย์รักษ์,อุดรธานี,Northeast,Polygon
638,เสิงสาง,นครราชสีมา,Northeast,Polygon
639,คง,นครราชสีมา,Northeast,Polygon
640,นาแห้ว,เลย,Northeast,Polygon
641,บ้านเหลื่อม,นครราชสีมา,Northeast,Polygon
642,จักราช,นครราชสีมา,Northeast,Polygon
643,ภูเรือ,เลย,Northeast,Polygon
644,ท่าลี่,เลย,Northeast,Polygon
645,วังสะพุง,เลย,Northeast,Polygon
646,ภูกระดึง,เลย,Northeast,Polygon
647,ภูหลวง,เลย,Northeast,Polygon
648,ผาขาว,เลย,Northeast,Polygon
649,เอราวัณ,เลย,Northeast,Polygon
650,โชคชัย,นครราชสีมา,Northeast,Polygon
651,ด่านขุนทด,นครราชสีมา,Northeast,Polygon
652,หนองหิน,เลย,Northeast,Polygon
653,เมืองหนองคาย,หนองคาย,Northeast,Polygon
654,ท่าบ่อ,หนองคาย,Northeast,Polygon
655,โพนพิสัย,หนองคาย,Northeast,Polygon
656,ศรีเชียงใหม่,หนองคาย,Northeast,Polygon
657,สังคม,หนองคาย,Northeast,Polygon
658,สระใคร,หนองคาย,Northeast,Polygon
659,เฝ้าไร่,หนองคาย,Northeast,Polygon
660,รัตนวาปี,หนองคาย,Northeast,Polygon
661,โพธิ์ตาก,หนองคาย,Northeast,Polygon
662,โนนไทย,นครราชสีมา,Northeast,Polygon
663,โนนสูง,นครราชสีมา,Northeast,Polygon
664,ขามสะแกแสง,นครราชสีมา,Northeast,Polygon
665,หนองหงส์,บุรีรัมย์,Northeast,Polygon
666,บัวใหญ่,นครราชสีมา,Northeast,Polygon
667,ประทาย,นครราชสีมา,Northeast,Polygon
668,ขามทะเลสอ,นครราชสีมา,Northeast,Polygon
669,สีคิ้ว,นครราชสีมา,Northeast,Polygon
670,ปากช่อง,นครราชสีมา,Northeast,Polygon
671,สำโรงทาบ,สุรินทร์,Northeast,Polygon
672,บัวเชด,สุรินทร์,Northeast,Polygon
673,พนมดงรัก,สุรินทร์,Northeast,Polygon
674,ศรีณรงค์,สุรินทร์,Northeast,Polygon
675,เขวาสินรินทร์,สุรินทร์,Northeast,Polygon
676,โนนนารายณ์,สุรินทร์,Northeast,Polygon
677,หนองบุญมาก,นครราชสีมา,Northeast,Polygon
678,แก้งสนามนาง,นครราชสีมา,Northeast,Polygon
679,เมืองศรีสะเกษ,ศรีสะเกษ,Northeast,Polygon
680,เมืองมหาสารคาม,มหาสารคาม,Northeast,Polygon
681,โนนแดง,นครราชสีมา,Northeast,Polygon
682,วังน้ำเขียว,นครราชสีมา,Northeast,Polygon
683,น้ำเกลี้ยง,ศรีสะเกษ,Northeast,Polygon
684,วังหิน,ศรีสะเกษ,Northeast,Polygon
685,ภูสิงห์,ศรีสะเกษ,Northeast,Polygon
686,เมืองจันทร์,ศรีสะเกษ,Northeast,Polygon
687,เบญจลักษ์,ศรีสะเกษ,Northeast,Polygon
688,พยุห์,ศรีสะเกษ,Northeast,Polygon
689,โพธิ์ศรีสุวรรณ,ศรีสะเกษ,Northeast,Polygon
690,ศิลาลาด,ศรีสะเกษ,Northeast,Polygon
691,เมืองอุบลราชธานี,อุบลราชธานี,Northeast,Polygon
692,ศรีเมืองใหม่,อุบลราชธานี,Northeast,Polygon
693,เทพารักษ์,นครราชสีมา,Northeast,Polygon
694,เมืองยาง,นครราชสีมา,Northeast,Polygon
695,โขงเจียม,อุบลราชธานี,Northeast,Polygon
696,เขื่องใน,อุบลราชธานี,Northeast,Polygon
697,เขมราฐ,อุบลราชธานี,Northeast,Polygon
698,เดชอุดม,อุบลราชธานี,Northeast,Polygon
699,นาจะหลวย,อุบลราชธานี,Northeast,Polygon
700,น้ำยืน,อุบลราชธานี,Northeast,Polygon
701,บุณฑริก,อุบลราชธานี,Northeast,Polygon
702,ตระการพืชผล,อุบลราชธานี,Northeast,Polygon
703,กุดข้าวปุ้น,อุบลราชธานี,Northeast,Polygon
704,ม่วงสามสิบ,อุบลราชธานี,Northeast,Polygon
705,วารินชำราบ,อุบลราชธานี,Northeast,Polygon
706,พระทองคำ,นครราชสีมา,Northeast,Polygon
707,ลำทะเมนชัย,นครราชสีมา,Northeast,Polygon
708,พิบูลมังสาหาร,อุบลราชธานี,Northeast,Polygon
709,ตาลสุม,อุบลราชธานี,Northeast,Polygon
710,โพธิ์ไทร,อุบลราชธานี,Northeast,Polygon
711,สำโรง,อุบลราชธานี,Northeast,Polygon
712,ดอนมดแดง,อุบลราชธานี,Northeast,Polygon
713,สิรินธร,อุบลราชธานี,Northeast,Polygon
714,ทุ่งศรีอุดม,อุบลราชธานี,Northeast,Polygon
715,นาเยีย,อุบลราชธานี,Northeast,Polygon
716,จตุรพักตรพิมาน,ร้อยเอ็ด,Northeast,Polygon
717,ธวัชบุรี,ร้อยเอ็ด,Northeast,Polygon
718,บัวลาย,นครราชสีมา,Northeast,Polygon
719,พนมไพร,ร้อยเอ็ด,Northeast,Polygon
720,โพนทอง,ร้อยเอ็ด,Northeast,Polygon
721,โพธิ์ชัย,ร้อยเอ็ด,Northeast,Polygon
722,หนองพอก,ร้อยเอ็ด,Northeast,Polygon
723,เสลภูมิ,ร้อยเอ็ด,Northeast,Polygon
724,สุวรรณภูมิ,ร้อยเอ็ด,Northeast,Polygon
725,สีดา,นครราชสีมา,Northeast,Polygon
726,กุฉินารายณ์,กาฬสินธุ์,Northeast,Polygon
727,เขาวง,กาฬสินธุ์,Northeast,Polygon
728,ยางตลาด,กาฬสินธุ์,Northeast,Polygon
729,ห้วยเม็ก,กาฬสินธุ์,Northeast,Polygon
730,สหัสขันธ์,กาฬสินธุ์,Northeast,Polygon
731,คำม่วง,กาฬสินธุ์,Northeast,Polygon
732,ท่าคันโท,กาฬสินธุ์,Northeast,Polygon
733,หนองกุงศรี,กาฬสินธุ์,Northeast,Polygon
734,เฉลิมพระเกียรติ,นครราชสีมา,Northeast,Polygon
735,สมเด็จ,กาฬสินธุ์,Northeast,Polygon
736,เมืองบุรีรัมย์,บุรีรัมย์,Northeast,Polygon
737,คูเมือง,บุรีรัมย์,Northeast,Polygon
738,กระสัง,บุรีรัมย์,Northeast,Polygon
739,หนองกี่,บุรีรัมย์,Northeast,Polygon
740,ห้วยผึ้ง,กาฬสินธุ์,Northeast,Polygon
741,สามชัย,กาฬสินธุ์,Northeast,Polygon
742,นาคู,กาฬสินธุ์,Northeast,Polygon
743,ดอนจาน,กาฬสินธุ์,Northeast,Polygon
744,ฆ้องชัย,กาฬสินธุ์,Northeast,Polygon
745,เมืองสกลนคร,สกลนคร,Northeast,Polygon
746,กุสุมาลย์,สกลนคร,Northeast,Polygon
747,กุดบาก,สกลนคร,Northeast,Polygon
748,ละหานทราย,บุรีรัมย์,Northeast,Polygon
749,ประโคนชัย,บุรีรัมย์,Northeast,Polygon
750,ปะคำ,บุรีรัมย์,Northeast,Polygon
751,นาโพธิ์,บุรีรัมย์,Northeast,Polygon
752,พรรณานิคม,สกลนคร,Northeast,Polygon
753,พังโคน,สกลนคร,Northeast,Polygon
754,วาริชภูมิ,สกลนคร,Northeast,Polygon
755,นิคมน้ำอูน,สกลนคร,Northeast,Polygon
756,วานรนิวาส,สกลนคร,Northeast,Polygon
757,คำตากล้า,สกลนคร,Northeast,Polygon
758,บ้านม่วง,สกลนคร,Northeast,Polygon
759,อากาศอำนวย,สกลนคร,Northeast,Polygon
760,สว่างแดนดิน,สกลนคร,Northeast,Polygon
761,ส่องดาว,สกลนคร,Northeast,Polygon
762,เต่างอย,สกลนคร,Northeast,Polygon
763,โคกศรีสุพรรณ,สกลนคร,Northeast,Polygon
764,เจริญศิลป์,สกลนคร,Northeast,Polygon
765,พลับพลาชัย,บุรีรัมย์,Northeast,Polygon
766,โพนนาแก้ว,สกลนคร,Northeast,Polygon
767,ภูพาน,สกลนคร,Northeast,Polygon
768,เมืองนครพนม,นครพนม,Northeast,Polygon
769,ปลาปาก,นครพนม,Northeast,Polygon
770,ท่าอุเทน,นครพนม,Northeast,Polygon
771,บ้านแพง,นครพนม,Northeast,Polygon
772,ธาตุพนม,นครพนม,Northeast,Polygon
773,เรณูนคร,นครพนม,Northeast,Polygon
774,นาแก,นครพนม,Northeast,Polygon
775,ศรีสงคราม,นครพนม,Northeast,Polygon
776,นาหว้า,นครพนม,Northeast,Polygon
777,ห้วยราช,บุรีรัมย์,Northeast,Polygon
778,โนนสุวรรณ,บุรีรัมย์,Northeast,Polygon
779,โพนสวรรค์,นครพนม,Northeast,Polygon
780,นาทม,นครพนม,Northeast,Polygon
781,วังยาง,นครพนม,Northeast,Polygon
782,เมืองมุกดาหาร,มุกดาหาร,Northeast,Polygon
783,นิคมคำสร้อย,มุกดาหาร,Northeast,Polygon
784,ดอนตาล,มุกดาหาร,Northeast,Polygon
785,ดงหลวง,มุกดาหาร,Northeast,Polygon
786,ชำนิ,บุรีรัมย์,Northeast,Polygon
787,บ้านใหม่ไชยพจน์,บุรีรัมย์,Northeast,Polygon
788,คำชะอี,มุกดาหาร,Northeast,Polygon
789,โนนดินแดง,บุรีรัมย์,Northeast,Polygon
790,บ้านด่าน,บุรีรัมย์,Northeast,Polygon
791,แคนดง,บุรีรัมย์,Northeast,Polygon
792,สว่างวีระวงศ์,อุบลราชธานี,Northeast,Polygon
793,น้ำขุ่น,อุบลราชธานี,Northeast,Polygon
794,เฉลิมพระเกียรติ,บุรีรัมย์,Northeast,Polygon
795,เมืองสุรินทร์,สุรินทร์,Northeast,Polygon
796,ชุมพลบุรี,สุรินทร์,Northeast,Polygon
797,ท่าตูม,สุรินทร์,Northeast,Polygon
798,จอมพระ,สุรินทร์,Northeast,Polygon
799,ปราสาท,สุรินทร์,Northeast,Polygon
800,กาบเชิง,สุรินทร์,Northeast,Polygon
801,รัตนบุรี,สุรินทร์,Northeast,Polygon
802,สนม,สุรินทร์,Northeast,Polygon
803,ศีขรภูมิ,สุรินทร์,Northeast,Polygon
804,สังขะ,สุรินทร์,Northeast,Polygon
805,ลำดวน,สุรินทร์,Northeast,Polygon
806,ยางชุมน้อย,ศรีสะเกษ,Northeast,Polygon
807,กันทรารมย์,ศรีสะเกษ,Northeast,Polygon
808,กันทรลักษ์,ศรีสะเกษ,Northeast,Polygon
809,ขุขันธ์,ศรีสะเกษ,Northeast,Polygon
810,ไพรบึง,ศรีสะเกษ,Northeast,Polygon
811,ปรางค์กู่,ศรีสะเกษ,Northeast,Polygon
812,ขุนหาญ,ศรีสะเกษ,Northeast,Polygon
813,ราษีไศล,ศรีสะเกษ,Northeast,Polygon
814,อุทุมพรพิสัย,ศรีสะเกษ,Northeast,Polygon
815,บึงบูรพ์,ศรีสะเกษ,Northeast,Polygon
816,ห้วยทับทัน,ศรีสะเกษ,Northeast,Polygon
817,โนนคูณ,ศรีสะเกษ,Northeast,Polygon
818,ศรีรัตนะ,ศรีสะเกษ,Northeast,Polygon
819,นาตาล,อุบลราชธานี,Northeast,Polygon
820,เหล่าเสือโก้ก,อุบลราชธานี,Northeast,Polygon
821,เมืองยโสธร,ยโสธร,Northeast,Polygon
822,ทรายมูล,ยโสธร,Northeast,Polygon
823,กุดชุม,ยโสธร,Northeast,Polygon
824,คำเขื่อนแก้ว,ยโสธร,Northeast,Polygon
825,ป่าติ้ว,ยโสธร,Northeast,Polygon
826,มหาชนะชัย,ยโสธร,Northeast,Polygon
827,ค้อวัง,ยโสธร,Northeast,Polygon
828,เลิงนกทา,ยโสธร,Northeast,Polygon
829,ไทยเจริญ,ยโสธร,Northeast,Polygon
830,แก้งคร้อ,ชัยภูมิ,Northeast,Polygon
831,คอนสาร,ชัยภูมิ,Northeast,Polygon
832,เนินสง่า,ชัยภูมิ,Northeast,Polygon
833,ซับใหญ่,ชัยภูมิ,Northeast,Polygon
834,เมืองอำนาจเจริญ,อำนาจเจริญ,Northeast,Polygon
835,ชานุมาน,อำนาจเจริญ,Northeast,Polygon
836,ปทุมราชวงศา,อำนาจเจริญ,Northeast,Polygon
837,พนา,อำนาจเจริญ,Northeast,Polygon
838,เสนางคนิคม,อำนาจเจริญ,Northeast,Polygon
839,หัวตะพาน,อำนาจเจริญ,Northeast,Polygon
840,ลืออำนาจ,อำนาจเจริญ,Northeast,Polygon
841,บึงกาฬ,บึงกาฬ,Northeast,Polygon
842,เวียงเก่า,ขอนแก่น,Northeast,Polygon
843,กู่แก้ว,อุดรธานี,Northeast,Polygon
844,ประจักษ์ศิลปาคม,อุดรธานี,Northeast,Polygon
845,เมืองเลย,เลย,Northeast,Polygon
846,นาด้วง,เลย,Northeast,Polygon
847,เชียงคาน,เลย,Northeast,Polygon
848,ปากชม,เลย,Northeast,Polygon
849,ด่านซ้าย,เลย,Northeast,Polygon
850,แกดำ,มหาสารคาม,Northeast,Polygon
851,โกสุมพิสัย,มหาสารคาม,Northeast,Polygon
852,กันทรวิชัย,มหาสารคาม,Northeast,Polygon
853,เชียงยืน,มหาสารคาม,Northeast,Polygon
854,บรบือ,มหาสารคาม,Northeast,Polygon
855,นาเชือก,มหาสารคาม,Northeast,Polygon
856,พยัคฆภูมิพิสัย,มหาสารคาม,Northeast,Polygon
857,วาปีปทุม,มหาสารคาม,Northeast,Polygon
858,นาดูน,มหาสารคาม,Northeast,Polygon
859,ยางสีสุราช,มหาสารคาม,Northeast,Polygon
860,กุดรัง,มหาสารคาม,Northeast,Polygon
861,ชื่นชม,มหาสารคาม,Northeast,Polygon
862,เมืองร้อยเอ็ด,ร้อยเอ็ด,Northeast,Polygon
863,เกษตรวิสัย,ร้อยเอ็ด,Northeast,Polygon
864,ปทุมรัตต์,ร้อยเอ็ด,Northeast,Polygon
865,เมืองสรวง,ร้อยเอ็ด,Northeast,Polygon
866,โพนทราย,ร้อยเอ็ด,Northeast,Polygon
867,อาจสามารถ,ร้อยเอ็ด,Northeast,Polygon
868,เมยวดี,ร้อยเอ็ด,Northeast,Polygon
869,อาจสามารถ,ร้อยเอ็ด,Northeast,Polygon
870,ศรีสมเด็จ,ร้อยเอ็ด,Northeast,Polygon
871,จังหาร,ร้อยเอ็ด,Northeast,Polygon
872,เชียงขวัญ,ร้อยเอ็ด,Northeast,Polygon
873,หนองฮี,ร้อยเอ็ด,Northeast,Polygon
874,ทุ่งเขาหลวง,ร้อยเอ็ด,Northeast,Polygon
875,เมืองกาฬสินธุ์,กาฬสินธุ์,Northeast,Polygon
876,นามน,กาฬสินธุ์,Northeast,Polygon
877,กมลาไสย,กาฬสินธุ์,Northeast,Polygon
878,ร่องคำ,กาฬสินธุ์,Northeast,Polygon
879,ว่านใหญ่,มุกดาหาร,Northeast,Polygon
880,หนองสูง,มุกดาหาร,Northeast,Polygon
881,เมืองตาก,ตาก,West,Polygon
882,บ้านตาก,ตาก,West,Polygon
883,สามเงา,ตาก,West,Polygon
884,แม่ระมาด,ตาก,West,Polygon
885,ท่าสองยาง,ตาก,West,Polygon
886,แม่สอด,ตาก,West,Polygon
887,พบพระ,ตาก,West,Polygon
888,อุ้มผาง,ตาก,West,Polygon
889,วังเจ้า,ตาก,West,Polygon
890,เมืองราชบุรี,ราชบุรี,West,Polygon
891,จอมบึง,ราชบุรี,West,Polygon
892,สวนผึ้ง,ราชบุรี,West,Polygon
893,ดำเนินสะดวก,ราชบุรี,West,Polygon
894,บ้านโป่ง,ราชบุรี,West,Polygon
895,บางแพ,ราชบุรี,West,Polygon
896,โพธาราม,ราชบุรี,West,Polygon
897,ปากท่อ,ราชบุรี,West,Polygon
898,วัดเพลง,ราชบุรี,West,Polygon
899,บ้านคา,ราชบุรี,West,Polygon
900,เมืองกาญจนบุรี,กาญจนบุรี,West,Polygon
901,ไทรโยค,กาญจนบุรี,West,Polygon
902,บ่อพลอย,กาญจนบุรี,West,Polygon
903,ศรีสวัสดิ์,กาญจนบุรี,West,Polygon
904,ท่ามะกา,กาญจนบุรี,West,Polygon
905,ท่าม่วง,กาญจนบุรี,West,Polygon
906,ทองผาภูมิ,กาญจนบุรี,West,Polygon
907,สังขละบุรี,กาญจนบุรี,West,Polygon
908,พนมทวน,กาญจนบุรี,West,Polygon
909,เลาขวัญ,กาญจนบุรี,West,Polygon
910,ด่านมะขามเตี้ย,กาญจนบุรี,West,Polygon
911,หนองปรือ,กาญจนบุรี,West,Polygon
912,ห้วยกระเจา,กาญจนบุรี,West,Polygon
913,เมืองเพชรบุรี,เพชรบุรี,West,Polygon
914,เขาย้อย,เพชรบุรี,West,Polygon
915,หนองหญ้าปล้อง,เพชรบุรี,West,Polygon
916,ท่ายาง,เพชรบุรี,West,Polygon
917,หัวหิน,ประจวบคีรีขันธ์,West,Polygon
918,ชะอำ,เพชรบุรี,West,Polygon
919,บ้านลาด,เพชรบุรี,West,Polygon
920,บ้านแหลม,เพชรบุรี,West,Polygon
921,แก่งกระจาน,เพชรบุรี,West,Polygon
922,เมืองประจวบคีรีขันธ์,ประจวบคีรีขันธ์,West,Polygon
923,กุยบุรี,ประจวบคีรีขันธ์,West,Polygon
924,ทับสะแก,ประจวบคีรีขันธ์,West,Polygon
925,บางสะพาน,ประจวบคีรีขันธ์,West,Polygon
926,บางสะพานน้อย,ประจวบคีรีขันธ์,West,Polygon
927,ปราณบุรี,ประจวบคีรีขันธ์,West,Polygon
928,สามร้อยยอด,ประจวบคีรีขันธ์,West,Polygon
