,Origin,Destination
1588,"('Wang Thong', 'Phitsanulok')","('Noen Maprang', 'Phitsanulok')"
1589,"('Wang Thong', 'Phitsanulok')","('Sak Lek', 'Phichit')"
1590,"('Wang Thong', 'Phitsanulok')","('Khao kho', 'Phetchabun')"
1591,"('Noen Maprang', 'Phitsanulok')","('Wang Thong', 'Phitsanulok')"
1592,"('Noen Maprang', 'Phitsanulok')","('Wang Sai Phun', 'Phichit')"
1593,"('Noen Maprang', 'Phitsanulok')","('Tap Khlo', 'Phichit')"
1594,"('Noen Maprang', 'Phitsanulok')","('Sak Lek', 'Phichit')"
1595,"('Noen Maprang', 'Phitsanulok')","('Mueang Phetchabun', 'Phetchabun')"
1596,"('Noen Maprang', 'Phitsanulok')","('Wang Pong', 'Phetchabun')"
1597,"('Noen Maprang', 'Phitsanulok')","('Khao kho', 'Phetchabun')"
1598,"('Mueang Nong Khai', 'Nong Khai')","('Ban Phue', 'Udon Thani')"
1599,"('Mueang Nong Khai', 'Nong Khai')","('Phen', 'Udon Thani')"
1600,"('Mueang Nong Khai', 'Nong Khai')","('Tha Bo', 'Nong Khai')"
1601,"('Mueang Nong Khai', 'Nong Khai')","('Phon Phisai', 'Nong Khai')"
1602,"('Mueang Nong Khai', 'Nong Khai')","('Sakhrai', 'Nong Khai')"
1603,"('Tha Bo', 'Nong Khai')","('Ban Phue', 'Udon Thani')"
1604,"('Tha Bo', 'Nong Khai')","('Mueang Nong Khai', 'Nong Khai')"
1605,"('Tha Bo', 'Nong Khai')","('Si Chiang Mai', 'Nong Khai')"
1606,"('Tha Bo', 'Nong Khai')","('Sakhrai', 'Nong Khai')"
1607,"('Tha Bo', 'Nong Khai')","('Pho Tak', 'Nong Khai')"
1608,"('Phon Phisai', 'Nong Khai')","('Ban Dung', 'Udon Thani')"
1609,"('Phon Phisai', 'Nong Khai')","('Phen', 'Udon Thani')"
1610,"('Phon Phisai', 'Nong Khai')","('Sang Khom', 'Udon Thani')"
1611,"('Phon Phisai', 'Nong Khai')","('Mueang Nong Khai', 'Nong Khai')"
1612,"('Phon Phisai', 'Nong Khai')","('Fao Rai', 'Nong Khai')"
1613,"('Phon Phisai', 'Nong Khai')","('Rattanawapi', 'Nong Khai')"
1614,"('Phon Phisai', 'Nong Khai')","('Ban Muang', 'Sakon Nakhon')"
1615,"('Si Chiang Mai', 'Nong Khai')","('Ban Phue', 'Udon Thani')"
1616,"('Si Chiang Mai', 'Nong Khai')","('Tha Bo', 'Nong Khai')"
1617,"('Si Chiang Mai', 'Nong Khai')","('Sangkhom', 'Nong Khai')"
1618,"('Si Chiang Mai', 'Nong Khai')","('Pho Tak', 'Nong Khai')"
1619,"('Sangkhom', 'Nong Khai')","('Ban Phue', 'Udon Thani')"
1620,"('Sangkhom', 'Nong Khai')","('Na Yung', 'Udon Thani')"
1621,"('Sangkhom', 'Nong Khai')","('Si Chiang Mai', 'Nong Khai')"
1622,"('Sangkhom', 'Nong Khai')","('Pho Tak', 'Nong Khai')"
1623,"('Sangkhom', 'Nong Khai')","('Pak Chom', 'Loei')"
1624,"('Sakhrai', 'Nong Khai')","('Mueang Udon Thani', 'Udon Thani')"
1625,"('Sakhrai', 'Nong Khai')","('Ban Phue', 'Udon Thani')"
1626,"('Sakhrai', 'Nong Khai')","('Phen', 'Udon Thani')"
1627,"('Sakhrai', 'Nong Khai')","('Mueang Nong Khai', 'Nong Khai')"
1628,"('Sakhrai', 'Nong Khai')","('Tha Bo', 'Nong Khai')"
1629,"('Fao Rai', 'Nong Khai')","('So Phisai', 'Bueng Kan')"
1630,"('Fao Rai', 'Nong Khai')","('Ban Dung', 'Udon Thani')"
1631,"('Fao Rai', 'Nong Khai')","('Phon Phisai', 'Nong Khai')"
1632,"('Fao Rai', 'Nong Khai')","('Rattanawapi', 'Nong Khai')"
1633,"('Fao Rai', 'Nong Khai')","('Ban Muang', 'Sakon Nakhon')"
1634,"('Rattanawapi', 'Nong Khai')","('So Phisai', 'Bueng Kan')"
1635,"('Rattanawapi', 'Nong Khai')","('Pak Khat', 'Bueng Kan')"
1636,"('Rattanawapi', 'Nong Khai')","('Phon Phisai', 'Nong Khai')"
1637,"('Rattanawapi', 'Nong Khai')","('Fao Rai', 'Nong Khai')"
1638,"('Pho Tak', 'Nong Khai')","('Ban Phue', 'Udon Thani')"
1639,"('Pho Tak', 'Nong Khai')","('Tha Bo', 'Nong Khai')"
1640,"('Pho Tak', 'Nong Khai')","('Si Chiang Mai', 'Nong Khai')"
1641,"('Pho Tak', 'Nong Khai')","('Sangkhom', 'Nong Khai')"
1642,"('Mueang Amnat Charoen', 'Amnat Charoen')","('Kham Khuean Kaeo', 'Yasothon')"
1643,"('Mueang Amnat Charoen', 'Amnat Charoen')","('Pa Tio', 'Yasothon')"
1644,"('Mueang Amnat Charoen', 'Amnat Charoen')","('Thai Charoen', 'Yasothon')"
1645,"('Mueang Amnat Charoen', 'Amnat Charoen')","('Chanuman', 'Amnat Charoen')"
1646,"('Mueang Amnat Charoen', 'Amnat Charoen')","('Pathum Ratchawongsa', 'Amnat Charoen')"
1647,"('Mueang Amnat Charoen', 'Amnat Charoen')","('Phana', 'Amnat Charoen')"
1648,"('Mueang Amnat Charoen', 'Amnat Charoen')","('Senangkhanikhom', 'Amnat Charoen')"
1649,"('Mueang Amnat Charoen', 'Amnat Charoen')","('Hua Taphan', 'Amnat Charoen')"
1650,"('Mueang Amnat Charoen', 'Amnat Charoen')","('Lue Amnat', 'Amnat Charoen')"
1651,"('Chanuman', 'Amnat Charoen')","('Khemarat', 'Ubon Ratchathani')"
1652,"('Chanuman', 'Amnat Charoen')","('Don Tan', 'Mukdahan')"
1653,"('Chanuman', 'Amnat Charoen')","('Loeng Nok Tha', 'Yasothon')"
1654,"('Chanuman', 'Amnat Charoen')","('Mueang Amnat Charoen', 'Amnat Charoen')"
1655,"('Chanuman', 'Amnat Charoen')","('Pathum Ratchawongsa', 'Amnat Charoen')"
1656,"('Chanuman', 'Amnat Charoen')","('Senangkhanikhom', 'Amnat Charoen')"
1657,"('Pathum Ratchawongsa', 'Amnat Charoen')","('Khemarat', 'Ubon Ratchathani')"
1658,"('Pathum Ratchawongsa', 'Amnat Charoen')","('Trakan Phuet Phon', 'Ubon Ratchathani')"
1659,"('Pathum Ratchawongsa', 'Amnat Charoen')","('Kut Khaopun', 'Ubon Ratchathani')"
1660,"('Pathum Ratchawongsa', 'Amnat Charoen')","('Mueang Amnat Charoen', 'Amnat Charoen')"
1661,"('Pathum Ratchawongsa', 'Amnat Charoen')","('Chanuman', 'Amnat Charoen')"
1662,"('Pathum Ratchawongsa', 'Amnat Charoen')","('Phana', 'Amnat Charoen')"
1663,"('Pathum Ratchawongsa', 'Amnat Charoen')","('Senangkhanikhom', 'Amnat Charoen')"
1664,"('Phana', 'Amnat Charoen')","('Trakan Phuet Phon', 'Ubon Ratchathani')"
1665,"('Phana', 'Amnat Charoen')","('Kut Khaopun', 'Ubon Ratchathani')"
1666,"('Phana', 'Amnat Charoen')","('Muang Sam Sip', 'Ubon Ratchathani')"
1667,"('Phana', 'Amnat Charoen')","('Lao Suea Kok', 'Ubon Ratchathani')"
1668,"('Phana', 'Amnat Charoen')","('Mueang Amnat Charoen', 'Amnat Charoen')"
1669,"('Phana', 'Amnat Charoen')","('Pathum Ratchawongsa', 'Amnat Charoen')"
1670,"('Phana', 'Amnat Charoen')","('Lue Amnat', 'Amnat Charoen')"
1671,"('Senangkhanikhom', 'Amnat Charoen')","('Pa Tio', 'Yasothon')"
1672,"('Senangkhanikhom', 'Amnat Charoen')","('Loeng Nok Tha', 'Yasothon')"
1673,"('Senangkhanikhom', 'Amnat Charoen')","('Thai Charoen', 'Yasothon')"
1674,"('Senangkhanikhom', 'Amnat Charoen')","('Mueang Amnat Charoen', 'Amnat Charoen')"
1675,"('Senangkhanikhom', 'Amnat Charoen')","('Chanuman', 'Amnat Charoen')"
1676,"('Senangkhanikhom', 'Amnat Charoen')","('Pathum Ratchawongsa', 'Amnat Charoen')"
1677,"('Hua Taphan', 'Amnat Charoen')","('Khueang Nai', 'Ubon Ratchathani')"
1678,"('Hua Taphan', 'Amnat Charoen')","('Muang Sam Sip', 'Ubon Ratchathani')"
1679,"('Hua Taphan', 'Amnat Charoen')","('Kham Khuean Kaeo', 'Yasothon')"
1680,"('Hua Taphan', 'Amnat Charoen')","('Pa Tio', 'Yasothon')"
1681,"('Hua Taphan', 'Amnat Charoen')","('Mueang Amnat Charoen', 'Amnat Charoen')"
1682,"('Hua Taphan', 'Amnat Charoen')","('Lue Amnat', 'Amnat Charoen')"
1683,"('Lue Amnat', 'Amnat Charoen')","('Muang Sam Sip', 'Ubon Ratchathani')"
1684,"('Lue Amnat', 'Amnat Charoen')","('Mueang Amnat Charoen', 'Amnat Charoen')"
1685,"('Lue Amnat', 'Amnat Charoen')","('Phana', 'Amnat Charoen')"
1686,"('Lue Amnat', 'Amnat Charoen')","('Hua Taphan', 'Amnat Charoen')"
1687,"('Mueang Ratchaburi', 'Ratchaburi')","('Bang Khonthi', 'Samut Songkhram')"
1688,"('Mueang Ratchaburi', 'Ratchaburi')","('Amphawa', 'Samut Songkhram')"
1689,"('Mueang Ratchaburi', 'Ratchaburi')","('Chom Bueng', 'Ratchaburi')"
1690,"('Mueang Ratchaburi', 'Ratchaburi')","('Damnoen Saduak', 'Ratchaburi')"
1691,"('Mueang Ratchaburi', 'Ratchaburi')","('Bang Phae', 'Ratchaburi')"
1692,"('Mueang Ratchaburi', 'Ratchaburi')","('Photharam', 'Ratchaburi')"
1693,"('Mueang Ratchaburi', 'Ratchaburi')","('Pak Tho', 'Ratchaburi')"
1694,"('Mueang Ratchaburi', 'Ratchaburi')","('Wat Phleng', 'Ratchaburi')"
1695,"('Chom Bueng', 'Ratchaburi')","('Mueang Ratchaburi', 'Ratchaburi')"
1696,"('Chom Bueng', 'Ratchaburi')","('Suan Phueng', 'Ratchaburi')"
1697,"('Chom Bueng', 'Ratchaburi')","('Photharam', 'Ratchaburi')"
1698,"('Chom Bueng', 'Ratchaburi')","('Pak Tho', 'Ratchaburi')"
1699,"('Chom Bueng', 'Ratchaburi')","('Ban Kha', 'Ratchaburi')"
1700,"('Chom Bueng', 'Ratchaburi')","('Tha Muang', 'Kanchanaburi')"
1701,"('Chom Bueng', 'Ratchaburi')","('Dan Makham Tia', 'Kanchanaburi')"
1702,"('Suan Phueng', 'Ratchaburi')","('Chom Bueng', 'Ratchaburi')"
1703,"('Suan Phueng', 'Ratchaburi')","('Ban Kha', 'Ratchaburi')"
1704,"('Suan Phueng', 'Ratchaburi')","('Mueang Kanchanaburi', 'Kanchanaburi')"
1705,"('Suan Phueng', 'Ratchaburi')","('Dan Makham Tia', 'Kanchanaburi')"
1706,"('Damnoen Saduak', 'Ratchaburi')","('Ban Phaeo', 'Samut Sakhon')"
1707,"('Damnoen Saduak', 'Ratchaburi')","('Mueang Samut Songkhram', 'Samut Songkhram')"
1708,"('Damnoen Saduak', 'Ratchaburi')","('Bang Khonthi', 'Samut Songkhram')"
1709,"('Damnoen Saduak', 'Ratchaburi')","('Amphawa', 'Samut Songkhram')"
1710,"('Damnoen Saduak', 'Ratchaburi')","('Mueang Samut Sakhon', 'Samut Sakhon')"
1711,"('Damnoen Saduak', 'Ratchaburi')","('Mueang Ratchaburi', 'Ratchaburi')"
1712,"('Damnoen Saduak', 'Ratchaburi')","('Bang Phae', 'Ratchaburi')"
1713,"('Damnoen Saduak', 'Ratchaburi')","('Photharam', 'Ratchaburi')"
1714,"('Damnoen Saduak', 'Ratchaburi')","('Wat Phleng', 'Ratchaburi')"
1715,"('Ban Pong', 'Ratchaburi')","('mueang Nakhon Pathom', 'Nakhon Pathom')"
1716,"('Ban Pong', 'Ratchaburi')","('Kamphaeng Saen', 'Nakhon Pathom')"
1717,"('Ban Pong', 'Ratchaburi')","('Bang Phae', 'Ratchaburi')"
1718,"('Ban Pong', 'Ratchaburi')","('Photharam', 'Ratchaburi')"
1719,"('Ban Pong', 'Ratchaburi')","('Tha Maka', 'Kanchanaburi')"
1720,"('Ban Pong', 'Ratchaburi')","('Tha Muang', 'Kanchanaburi')"
1721,"('Bang Phae', 'Ratchaburi')","('mueang Nakhon Pathom', 'Nakhon Pathom')"
1722,"('Bang Phae', 'Ratchaburi')","('Ban Phaeo', 'Samut Sakhon')"
1723,"('Bang Phae', 'Ratchaburi')","('Sam Phran', 'Nakhon Pathom')"
1724,"('Bang Phae', 'Ratchaburi')","('Mueang Ratchaburi', 'Ratchaburi')"
1725,"('Bang Phae', 'Ratchaburi')","('Damnoen Saduak', 'Ratchaburi')"
1726,"('Bang Phae', 'Ratchaburi')","('Ban Pong', 'Ratchaburi')"
1727,"('Bang Phae', 'Ratchaburi')","('Photharam', 'Ratchaburi')"
1728,"('Photharam', 'Ratchaburi')","('mueang Nakhon Pathom', 'Nakhon Pathom')"
1729,"('Photharam', 'Ratchaburi')","('Mueang Ratchaburi', 'Ratchaburi')"
1730,"('Photharam', 'Ratchaburi')","('Chom Bueng', 'Ratchaburi')"
1731,"('Photharam', 'Ratchaburi')","('Damnoen Saduak', 'Ratchaburi')"
1732,"('Photharam', 'Ratchaburi')","('Ban Pong', 'Ratchaburi')"
1733,"('Photharam', 'Ratchaburi')","('Bang Phae', 'Ratchaburi')"
1734,"('Photharam', 'Ratchaburi')","('Tha Maka', 'Kanchanaburi')"
1735,"('Photharam', 'Ratchaburi')","('Tha Muang', 'Kanchanaburi')"
1736,"('Pak Tho', 'Ratchaburi')","('Bang Khonthi', 'Samut Songkhram')"
1737,"('Pak Tho', 'Ratchaburi')","('Amphawa', 'Samut Songkhram')"
1738,"('Pak Tho', 'Ratchaburi')","('Mueang Ratchaburi', 'Ratchaburi')"
1739,"('Pak Tho', 'Ratchaburi')","('Chom Bueng', 'Ratchaburi')"
1740,"('Pak Tho', 'Ratchaburi')","('Wat Phleng', 'Ratchaburi')"
1741,"('Pak Tho', 'Ratchaburi')","('Ban Kha', 'Ratchaburi')"
1742,"('Pak Tho', 'Ratchaburi')","('Khao Yoi', 'Phetchaburi')"
1743,"('Pak Tho', 'Ratchaburi')","('Nong Ya Plong', 'Phetchaburi')"
1744,"('Wat Phleng', 'Ratchaburi')","('Bang Khonthi', 'Samut Songkhram')"
1745,"('Wat Phleng', 'Ratchaburi')","('Amphawa', 'Samut Songkhram')"
1746,"('Wat Phleng', 'Ratchaburi')","('Mueang Ratchaburi', 'Ratchaburi')"
1747,"('Wat Phleng', 'Ratchaburi')","('Damnoen Saduak', 'Ratchaburi')"
1748,"('Wat Phleng', 'Ratchaburi')","('Pak Tho', 'Ratchaburi')"
1749,"('Ban Kha', 'Ratchaburi')","('Chom Bueng', 'Ratchaburi')"
1750,"('Ban Kha', 'Ratchaburi')","('Suan Phueng', 'Ratchaburi')"
1751,"('Ban Kha', 'Ratchaburi')","('Pak Tho', 'Ratchaburi')"
1752,"('Ban Kha', 'Ratchaburi')","('Nong Ya Plong', 'Phetchaburi')"
1753,"('Ban Kha', 'Ratchaburi')","('Kaeng Krachan', 'Phetchaburi')"
1754,"('Pa Mok', 'Ang Thong')","('Bang Pahan', 'Phra Nakhon Si Ayutthaya')"
1755,"('Pa Mok', 'Ang Thong')","('Phak Hai', 'Phra Nakhon Si Ayutthaya')"
1756,"('Pa Mok', 'Ang Thong')","('Wiset Chai Chan', 'Ang Thong')"
1757,"('Pa Mok', 'Ang Thong')","('Bang Ban', 'Phra Nakhon Si Ayutthaya')"
1758,"('Pa Mok', 'Ang Thong')","('Maha Rat', 'Phra Nakhon Si Ayutthaya')"
1759,"('Pa Mok', 'Ang Thong')","('Mueang Ang Thong', 'Ang Thong')"
1760,"('Pho Thong', 'Ang Thong')","('Sawaeng Ha', 'Ang Thong')"
1761,"('Pho Thong', 'Ang Thong')","('Wiset Chai Chan', 'Ang Thong')"
1762,"('Pho Thong', 'Ang Thong')","('Samko', 'Ang Thong')"
1763,"('Pho Thong', 'Ang Thong')","('Tha Wung', 'Lopburi')"
1764,"('Pho Thong', 'Ang Thong')","('Phrom Buri', 'Sing Buri')"
1765,"('Pho Thong', 'Ang Thong')","('Mueang Ang Thong', 'Ang Thong')"
1766,"('Pho Thong', 'Ang Thong')","('Chaiyo', 'Ang Thong')"
1767,"('Pho Thong', 'Ang Thong')","('Tha Chang', 'Sing Buri')"
1768,"('Pho Thong', 'Ang Thong')","('Doem Bang Nang Buat', 'Suphan Buri')"
1769,"('Pho Thong', 'Ang Thong')","('Si Prachan', 'Suphan Buri')"
1770,"('Pho Thong', 'Ang Thong')","('Sam Chuk', 'Suphan Buri')"
1771,"('Sawaeng Ha', 'Ang Thong')","('Pho Thong', 'Ang Thong')"
1772,"('Sawaeng Ha', 'Ang Thong')","('Khai Bang Rachan', 'Sing Buri')"
1773,"('Sawaeng Ha', 'Ang Thong')","('Tha Chang', 'Sing Buri')"
1774,"('Sawaeng Ha', 'Ang Thong')","('Doem Bang Nang Buat', 'Suphan Buri')"
1775,"('Sawaeng Ha', 'Ang Thong')","('Si Prachan', 'Suphan Buri')"
1776,"('Sawaeng Ha', 'Ang Thong')","('Sam Chuk', 'Suphan Buri')"
1777,"('Wiset Chai Chan', 'Ang Thong')","('Phak Hai', 'Phra Nakhon Si Ayutthaya')"
1778,"('Wiset Chai Chan', 'Ang Thong')","('Pa Mok', 'Ang Thong')"
1779,"('Wiset Chai Chan', 'Ang Thong')","('Pho Thong', 'Ang Thong')"
1780,"('Wiset Chai Chan', 'Ang Thong')","('Samko', 'Ang Thong')"
1781,"('Wiset Chai Chan', 'Ang Thong')","('Mueang Ang Thong', 'Ang Thong')"
1782,"('Wiset Chai Chan', 'Ang Thong')","('Chaiyo', 'Ang Thong')"
1783,"('Wiset Chai Chan', 'Ang Thong')","('Mueang Saphan Buri', 'Suphan Buri')"
1784,"('Wiset Chai Chan', 'Ang Thong')","('Si Prachan', 'Suphan Buri')"
1785,"('Samko', 'Ang Thong')","('Pho Thong', 'Ang Thong')"
1786,"('Samko', 'Ang Thong')","('Wiset Chai Chan', 'Ang Thong')"
1787,"('Samko', 'Ang Thong')","('Mueang Saphan Buri', 'Suphan Buri')"
1788,"('Samko', 'Ang Thong')","('Si Prachan', 'Suphan Buri')"
1789,"('Mueang Ang Thong', 'Ang Thong')","('Bang Pahan', 'Phra Nakhon Si Ayutthaya')"
1790,"('Mueang Ang Thong', 'Ang Thong')","('Phak Hai', 'Phra Nakhon Si Ayutthaya')"
1791,"('Mueang Ang Thong', 'Ang Thong')","('Pa Mok', 'Ang Thong')"
1792,"('Mueang Ang Thong', 'Ang Thong')","('Pho Thong', 'Ang Thong')"
1793,"('Mueang Ang Thong', 'Ang Thong')","('Wiset Chai Chan', 'Ang Thong')"
1794,"('Mueang Ang Thong', 'Ang Thong')","('Mueang Lop Buri', 'Lopburi')"
1795,"('Mueang Ang Thong', 'Ang Thong')","('Maha Rat', 'Phra Nakhon Si Ayutthaya')"
1796,"('Mueang Ang Thong', 'Ang Thong')","('Ban Phraek', 'Phra Nakhon Si Ayutthaya')"
1797,"('Mueang Ang Thong', 'Ang Thong')","('Chaiyo', 'Ang Thong')"
1798,"('Chaiyo', 'Ang Thong')","('Pho Thong', 'Ang Thong')"
1799,"('Chaiyo', 'Ang Thong')","('Wiset Chai Chan', 'Ang Thong')"
1800,"('Chaiyo', 'Ang Thong')","('Mueang Lop Buri', 'Lopburi')"
1801,"('Chaiyo', 'Ang Thong')","('Tha Wung', 'Lopburi')"
1802,"('Chaiyo', 'Ang Thong')","('Phrom Buri', 'Sing Buri')"
1803,"('Chaiyo', 'Ang Thong')","('Maha Rat', 'Phra Nakhon Si Ayutthaya')"
1804,"('Chaiyo', 'Ang Thong')","('Ban Phraek', 'Phra Nakhon Si Ayutthaya')"
1805,"('Chaiyo', 'Ang Thong')","('Mueang Ang Thong', 'Ang Thong')"
1806,"('Chaiyo', 'Ang Thong')","('Tha Chang', 'Sing Buri')"
1807,"('Ko Yao', 'Phang Nga')","('Ao Luek', 'Krabi')"
1808,"('Ko Yao', 'Phang Nga')","('Takua Thung', 'Phang Nga')"
1809,"('Mueang Phang-nga', 'Phang Nga')","('Ao Luek', 'Krabi')"
1810,"('Mueang Phang-nga', 'Phang Nga')","('Kapong', 'Phang Nga')"
1811,"('Mueang Phang-nga', 'Phang Nga')","('Takua Thung', 'Phang Nga')"
1812,"('Mueang Phang-nga', 'Phang Nga')","('Thap Put', 'Phang Nga')"
1813,"('Mueang Phang-nga', 'Phang Nga')","('Thai Mueang', 'Phang Nga')"
1814,"('Mueang Phang-nga', 'Phang Nga')","('Phanom', 'Surat Thani')"
1815,"('Kapong', 'Phang Nga')","('Mueang Phang-nga', 'Phang Nga')"
1816,"('Kapong', 'Phang Nga')","('Takua Pa', 'Phang Nga')"
1817,"('Kapong', 'Phang Nga')","('Khura Buri', 'Phang Nga')"
1818,"('Kapong', 'Phang Nga')","('Thai Mueang', 'Phang Nga')"
1819,"('Kapong', 'Phang Nga')","('Phanom', 'Surat Thani')"
1820,"('Takua Thung', 'Phang Nga')","('Ko Yao', 'Phang Nga')"
1821,"('Takua Thung', 'Phang Nga')","('Mueang Phang-nga', 'Phang Nga')"
1822,"('Takua Thung', 'Phang Nga')","('Thai Mueang', 'Phang Nga')"
1823,"('Takua Thung', 'Phang Nga')","('Thalang', 'Phuket')"
1824,"('Takua Pa', 'Phang Nga')","('Kapong', 'Phang Nga')"
1825,"('Takua Pa', 'Phang Nga')","('Khura Buri', 'Phang Nga')"
1826,"('Takua Pa', 'Phang Nga')","('Thai Mueang', 'Phang Nga')"
1827,"('Takua Pa', 'Phang Nga')","('Phanom', 'Surat Thani')"
1828,"('Khura Buri', 'Phang Nga')","('Kapong', 'Phang Nga')"
1829,"('Khura Buri', 'Phang Nga')","('Takua Pa', 'Phang Nga')"
1830,"('Khura Buri', 'Phang Nga')","('Ban Ta Khun', 'Surat Thani')"
1831,"('Khura Buri', 'Phang Nga')","('Phanom', 'Surat Thani')"
1832,"('Khura Buri', 'Phang Nga')","('Suk Samran', 'Ranong')"
1833,"('Thap Put', 'Phang Nga')","('Ao Luek', 'Krabi')"
1834,"('Thap Put', 'Phang Nga')","('Plai Phraya', 'Krabi')"
1835,"('Thap Put', 'Phang Nga')","('Mueang Phang-nga', 'Phang Nga')"
1836,"('Thap Put', 'Phang Nga')","('Phanom', 'Surat Thani')"
1837,"('Thai Mueang', 'Phang Nga')","('Mueang Phang-nga', 'Phang Nga')"
1838,"('Thai Mueang', 'Phang Nga')","('Kapong', 'Phang Nga')"
1839,"('Thai Mueang', 'Phang Nga')","('Takua Thung', 'Phang Nga')"
1840,"('Thai Mueang', 'Phang Nga')","('Takua Pa', 'Phang Nga')"
1841,"('Mueang Khon Kaen', 'Khon Kaen')","('Ban Fang', 'Khon Kaen')"
1842,"('Mueang Khon Kaen', 'Khon Kaen')","('Phra Yuen', 'Khon Kaen')"
1843,"('Mueang Khon Kaen', 'Khon Kaen')","('Nam Phong', 'Khon Kaen')"
1844,"('Mueang Khon Kaen', 'Khon Kaen')","('Ubolratana', 'Khon Kaen')"
1845,"('Mueang Khon Kaen', 'Khon Kaen')","('Sam Sung', 'Khon Kaen')"
1846,"('Mueang Khon Kaen', 'Khon Kaen')","('Ban Haet', 'Khon Kaen')"
1847,"('Mueang Khon Kaen', 'Khon Kaen')","('Kosum Phisai', 'Maha Sarakham')"
1848,"('Mueang Khon Kaen', 'Khon Kaen')","('Chiang Yuen', 'Maha Sarakham')"
1849,"('Ban Fang', 'Khon Kaen')","('Mueang Khon Kaen', 'Khon Kaen')"
1850,"('Ban Fang', 'Khon Kaen')","('Phra Yuen', 'Khon Kaen')"
1851,"('Ban Fang', 'Khon Kaen')","('Nong Ruea', 'Khon Kaen')"
1852,"('Ban Fang', 'Khon Kaen')","('Ubolratana', 'Khon Kaen')"
1853,"('Ban Fang', 'Khon Kaen')","('Phu Wiang', 'Khon Kaen')"
1854,"('Ban Fang', 'Khon Kaen')","('Mancha Khiri', 'Khon Kaen')"
1855,"('Phra Yuen', 'Khon Kaen')","('Mueang Khon Kaen', 'Khon Kaen')"
1856,"('Phra Yuen', 'Khon Kaen')","('Ban Fang', 'Khon Kaen')"
1857,"('Phra Yuen', 'Khon Kaen')","('Nong Ruea', 'Khon Kaen')"
1858,"('Phra Yuen', 'Khon Kaen')","('Mancha Khiri', 'Khon Kaen')"
1859,"('Phra Yuen', 'Khon Kaen')","('Ban Haet', 'Khon Kaen')"
1860,"('Nong Ruea', 'Khon Kaen')","('Ban Thaen', 'Chaiyaphum')"
1861,"('Nong Ruea', 'Khon Kaen')","('Ban Fang', 'Khon Kaen')"
1862,"('Nong Ruea', 'Khon Kaen')","('Phra Yuen', 'Khon Kaen')"
1863,"('Nong Ruea', 'Khon Kaen')","('Chum Phae', 'Khon Kaen')"
1864,"('Nong Ruea', 'Khon Kaen')","('Ubolratana', 'Khon Kaen')"
1865,"('Nong Ruea', 'Khon Kaen')","('Phu Wiang', 'Khon Kaen')"
1866,"('Nong Ruea', 'Khon Kaen')","('Mancha Khiri', 'Khon Kaen')"
1867,"('Chum Phae', 'Khon Kaen')","('Phu Khiao', 'Chaiyaphum')"
1868,"('Chum Phae', 'Khon Kaen')","('Ban Thaen', 'Chaiyaphum')"
1869,"('Chum Phae', 'Khon Kaen')","('Si Bun Rueang', 'Nong Bua Lamphu')"
1870,"('Chum Phae', 'Khon Kaen')","('Nong Ruea', 'Khon Kaen')"
1871,"('Chum Phae', 'Khon Kaen')","('Si Chomphu', 'Khon Kaen')"
1872,"('Chum Phae', 'Khon Kaen')","('Phu Wiang', 'Khon Kaen')"
1873,"('Chum Phae', 'Khon Kaen')","('Phu Phaman', 'Khon Kaen')"
1874,"('Chum Phae', 'Khon Kaen')","('Phu Kradueng', 'Loei')"
1875,"('Chum Phae', 'Khon Kaen')","('Khon San', 'Chaiyaphum')"
1876,"('Chum Phae', 'Khon Kaen')","('Wiang Kao', 'Khon Kaen')"
1877,"('Si Chomphu', 'Khon Kaen')","('Si Bun Rueang', 'Nong Bua Lamphu')"
1878,"('Si Chomphu', 'Khon Kaen')","('Chum Phae', 'Khon Kaen')"
1879,"('Si Chomphu', 'Khon Kaen')","('Nong Na Kham', 'Khon Kaen')"
1880,"('Si Chomphu', 'Khon Kaen')","('Phu Kradueng', 'Loei')"
1881,"('Si Chomphu', 'Khon Kaen')","('Wiang Kao', 'Khon Kaen')"
1882,"('Nam Phong', 'Khon Kaen')","('Mueang Khon Kaen', 'Khon Kaen')"
1883,"('Nam Phong', 'Khon Kaen')","('Ubolratana', 'Khon Kaen')"
1884,"('Nam Phong', 'Khon Kaen')","('Kranuan', 'Khon Kaen')"
1885,"('Nam Phong', 'Khon Kaen')","('Khao Suan Kwang', 'Khon Kaen')"
1886,"('Nam Phong', 'Khon Kaen')","('Sam Sung', 'Khon Kaen')"
1887,"('Nam Phong', 'Khon Kaen')","('Non Sa-at', 'Udon Thani')"
1888,"('Ubolratana', 'Khon Kaen')","('Non Sang', 'Nong Bua Lamphu')"
1889,"('Ubolratana', 'Khon Kaen')","('Mueang Khon Kaen', 'Khon Kaen')"
1890,"('Ubolratana', 'Khon Kaen')","('Ban Fang', 'Khon Kaen')"
1891,"('Ubolratana', 'Khon Kaen')","('Nong Ruea', 'Khon Kaen')"
1892,"('Ubolratana', 'Khon Kaen')","('Nam Phong', 'Khon Kaen')"
1893,"('Ubolratana', 'Khon Kaen')","('Phu Wiang', 'Khon Kaen')"
1894,"('Ubolratana', 'Khon Kaen')","('Khao Suan Kwang', 'Khon Kaen')"
1895,"('Kranuan', 'Khon Kaen')","('Nam Phong', 'Khon Kaen')"
1896,"('Kranuan', 'Khon Kaen')","('Sam Sung', 'Khon Kaen')"
