,Origin,Destination
176,Sakon Nakhon,Nakhon Phanom
177,Sakon Nakhon,Mukdahan
178,Nakhon Phanom,Bueng Kan
179,Nakhon Phanom,Sakon Nakhon
180,Nakhon Phanom,Mukdahan
181,Mukdahan,Yasothon
182,Mukdahan,Amnat Charoen
183,Mukdahan,Roi Et
184,Mukdahan,Kalasin
185,Mukdahan,Sakon Nakhon
186,Mukdahan,Nakhon Phanom
187,Chiang Mai,Lamphun
188,Chiang Mai,Lampang
189,Chiang Mai,Chiang Rai
190,Chiang Mai,Mae Hong Son
191,Chiang Mai,Tak
192,Lamphun,Chiang Mai
193,Lamphun,Lampang
194,Lamphun,Tak
195,Lampang,Chiang Mai
196,Lampang,Lamphun
197,Lampang,Phrae
198,Lampang,Phayao
199,Lampang,Chiang Rai
200,Lampang,Tak
201,Lampang,Sukhothai
202,Uttaradit,Phrae
203,Uttaradit,Nan
204,Uttaradit,Sukhothai
205,Uttaradit,Phitsanulok
206,Phrae,Lampang
207,Phrae,Uttaradit
208,Phrae,Nan
209,Phrae,Phayao
210,Phrae,Sukhothai
211,Nan,Uttaradit
212,Nan,Phrae
213,Nan,Phayao
214,Phayao,Lampang
215,Phayao,Phrae
216,Phayao,Nan
217,Phayao,Chiang Rai
218,Chiang Rai,Chiang Mai
219,Chiang Rai,Lampang
220,Chiang Rai,Phayao
221,Mae Hong Son,Chiang Mai
222,Mae Hong Son,Tak
223,Nakhon Sawan,Lopburi
224,Nakhon Sawan,Sing Buri
225,Nakhon Sawan,Chai Nat
226,Nakhon Sawan,Uthai Thani
227,Nakhon Sawan,Kamphaeng Phet
228,Nakhon Sawan,Tak
229,Nakhon Sawan,Phichit
230,Nakhon Sawan,Phetchabun
231,Uthai Thani,Chai Nat
232,Uthai Thani,Nakhon Sawan
233,Uthai Thani,Tak
234,Uthai Thani,Kanchanaburi
235,Uthai Thani,Suphan Buri
236,Kamphaeng Phet,Nakhon Sawan
237,Kamphaeng Phet,Tak
238,Kamphaeng Phet,Sukhothai
239,Kamphaeng Phet,Phitsanulok
240,Kamphaeng Phet,Phichit
241,Tak,Chiang Mai
242,Tak,Lamphun
243,Tak,Lampang
244,Tak,Mae Hong Son
245,Tak,Nakhon Sawan
246,Tak,Uthai Thani
247,Tak,Kamphaeng Phet
248,Tak,Sukhothai
249,Tak,Kanchanaburi
250,Sukhothai,Lampang
251,Sukhothai,Uttaradit
252,Sukhothai,Phrae
253,Sukhothai,Kamphaeng Phet
254,Sukhothai,Tak
255,Sukhothai,Phitsanulok
256,Phitsanulok,Loei
257,Phitsanulok,Uttaradit
258,Phitsanulok,Kamphaeng Phet
259,Phitsanulok,Sukhothai
260,Phitsanulok,Phichit
261,Phitsanulok,Phetchabun
262,Phichit,Nakhon Sawan
263,Phichit,Kamphaeng Phet
264,Phichit,Phitsanulok
265,Phichit,Phetchabun
266,Phetchabun,Lopburi
267,Phetchabun,Chaiyaphum
268,Phetchabun,Khon Kaen
269,Phetchabun,Loei
270,Phetchabun,Nakhon Sawan
271,Phetchabun,Phitsanulok
272,Phetchabun,Phichit
273,Ratchaburi,Kanchanaburi
274,Ratchaburi,Nakhon Pathom
275,Ratchaburi,Samut Sakhon
276,Ratchaburi,Samut Songkhram
277,Ratchaburi,Phetchaburi
278,Kanchanaburi,Uthai Thani
279,Kanchanaburi,Tak
280,Kanchanaburi,Ratchaburi
281,Kanchanaburi,Suphan Buri
282,Kanchanaburi,Nakhon Pathom
283,Suphan Buri,Phra Nakhon Si Ayutthaya
284,Suphan Buri,Ang Thong
285,Suphan Buri,Sing Buri
286,Suphan Buri,Chai Nat
287,Suphan Buri,Uthai Thani
288,Suphan Buri,Kanchanaburi
289,Suphan Buri,Nakhon Pathom
290,Nakhon Pathom,Bangkok
291,Nakhon Pathom,Nonthaburi
292,Nakhon Pathom,Phra Nakhon Si Ayutthaya
293,Nakhon Pathom,Ratchaburi
294,Nakhon Pathom,Kanchanaburi
295,Nakhon Pathom,Suphan Buri
296,Nakhon Pathom,Samut Sakhon
297,Samut Sakhon,Bangkok
298,Samut Sakhon,Ratchaburi
299,Samut Sakhon,Nakhon Pathom
300,Samut Sakhon,Samut Songkhram
301,Samut Songkhram,Ratchaburi
302,Samut Songkhram,Samut Sakhon
303,Samut Songkhram,Phetchaburi
304,Phetchaburi,Ratchaburi
305,Phetchaburi,Samut Songkhram
306,Phetchaburi,Prachuap Khiri Khan
307,Prachuap Khiri Khan,Phetchaburi
308,Prachuap Khiri Khan,Chumphon
309,Nakhon Si Thammarat,Krabi
310,Nakhon Si Thammarat,Surat Thani
311,Nakhon Si Thammarat,Songkhla
312,Nakhon Si Thammarat,Trang
313,Nakhon Si Thammarat,Phatthalung
314,Krabi,Nakhon Si Thammarat
315,Krabi,Phang Nga
316,Krabi,Surat Thani
317,Krabi,Trang
318,Phang Nga,Krabi
319,Phang Nga,Phuket
320,Phang Nga,Surat Thani
321,Phang Nga,Ranong
322,Phuket,Phang Nga
323,Surat Thani,Nakhon Si Thammarat
324,Surat Thani,Krabi
325,Surat Thani,Phang Nga
326,Surat Thani,Ranong
327,Surat Thani,Chumphon
328,Ranong,Phang Nga
329,Ranong,Surat Thani
330,Ranong,Chumphon
331,Chumphon,Prachuap Khiri Khan
332,Chumphon,Surat Thani
333,Chumphon,Ranong
334,Songkhla,Nakhon Si Thammarat
335,Songkhla,Satun
336,Songkhla,Phatthalung
337,Songkhla,Pattani
338,Songkhla,Yala
339,Satun,Songkhla
340,Satun,Trang
341,Satun,Phatthalung
342,Trang,Nakhon Si Thammarat
343,Trang,Krabi
344,Trang,Satun
345,Trang,Phatthalung
346,Phatthalung,Nakhon Si Thammarat
347,Phatthalung,Songkhla
348,Phatthalung,Satun
349,Phatthalung,Trang
350,Pattani,Songkhla
351,Pattani,Yala
352,Pattani,Narathiwat
353,Yala,Songkhla
354,Yala,Pattani
355,Yala,Narathiwat
356,Narathiwat,Pattani
357,Narathiwat,Yala
