,Origin,Destination,Distance
0,"('Mae Sariang', 'Mae Hong Son')","('Hot', 'Chiang Mai')",177 km
1,"('Mae Sariang', 'Mae Hong Son')","('Omkoi', 'Chiang Mai')",116 km
2,"('Mae Sariang', 'Mae Hong Son')","('Mae La Noi', 'Mae Hong Son')",32.2 km
3,"('Mae Sariang', 'Mae Hong Son')","('Sop Moei', 'Mae Hong Son')",26.2 km
4,"('Mae Sariang', 'Mae Hong Son')","('Mae Chaem', 'Chiang Mai')",128 km
5,"('Mae Sariang', 'Mae Hong Son')","('Khun Yuam', 'Mae Hong Son')",100 km
6,"('Mae La Noi', 'Mae Hong Son')","('Mae Sariang', 'Mae Hong Son')",31.3 km
7,"('Mae La Noi', 'Mae Hong Son')","('Mae Chaem', 'Chiang Mai')",158 km
8,"('Mae La Noi', 'Mae Hong Son')","('Khun Yuam', 'Mae Hong Son')",68.3 km
9,"('Sop Moei', 'Mae Hong Son')","('Hot', 'Chiang Mai')",201 km
10,"('Sop Moei', 'Mae Hong Son')","('Omkoi', 'Chiang Mai')",140 km
11,"('Sop Moei', 'Mae Hong Son')","('Mae Sariang', 'Mae Hong Son')",26.8 km
12,"('Sop Moei', 'Mae Hong Son')","('Tha Song Yang', 'Tak')",122 km
13,"('Mueang Mae Hong Son', 'Mae Hong Son')","('Kanlayaniwatthana', 'Chiang Mai')",164 km
14,"('Mueang Mae Hong Son', 'Mae Hong Son')","('Mae Chaem', 'Chiang Mai')",165 km
15,"('Mueang Mae Hong Son', 'Mae Hong Son')","('Khun Yuam', 'Mae Hong Son')",68.9 km
16,"('Mueang Mae Hong Son', 'Mae Hong Son')","('Pai', 'Mae Hong Son')",108 km
17,"('Mueang Mae Hong Son', 'Mae Hong Son')","('Pang Mapha', 'Mae Hong Son')",65.3 km
18,"('Khun Yuam', 'Mae Hong Son')","('Kanlayaniwatthana', 'Chiang Mai')",75.9 km
19,"('Khun Yuam', 'Mae Hong Son')","('Mae Sariang', 'Mae Hong Son')",99.2 km
20,"('Khun Yuam', 'Mae Hong Son')","('Mae La Noi', 'Mae Hong Son')",68.3 km
21,"('Khun Yuam', 'Mae Hong Son')","('Mae Chaem', 'Chiang Mai')",96.7 km
22,"('Khun Yuam', 'Mae Hong Son')","('Mueang Mae Hong Son', 'Mae Hong Son')",68.4 km
23,"('Pai', 'Mae Hong Son')","('Wiang Haeng', 'Chiang Mai')",55.5 km
24,"('Pai', 'Mae Hong Son')","('Kanlayaniwatthana', 'Chiang Mai')",56.9 km
25,"('Pai', 'Mae Hong Son')","('Chiang Dao', 'Chiang Mai')",130 km
26,"('Pai', 'Mae Hong Son')","('Mae Taeng', 'Chiang Mai')",98.5 km
27,"('Pai', 'Mae Hong Son')","('Samoeng', 'Chiang Mai')",115 km
28,"('Pai', 'Mae Hong Son')","('Mueang Mae Hong Son', 'Mae Hong Son')",107 km
29,"('Pai', 'Mae Hong Son')","('Pang Mapha', 'Mae Hong Son')",42.8 km
30,"('Pang Mapha', 'Mae Hong Son')","('Mueang Mae Hong Son', 'Mae Hong Son')",65.2 km
31,"('Pang Mapha', 'Mae Hong Son')","('Pai', 'Mae Hong Son')",42.8 km
32,"('La-ngu', 'Satun')","('Thung  Wa', 'Satun')",34.4 km
33,"('La-ngu', 'Satun')","('Manang', 'Satun')",26.7 km
34,"('La-ngu', 'Satun')","('Mueang Satun', 'Satun')",45.8 km
35,"('La-ngu', 'Satun')","('Khuan Kalong', 'Satun')",33.3 km
36,"('La-ngu', 'Satun')","('Tha Phae', 'Satun')",23.3 km
37,"('Thung  Wa', 'Satun')","('La-ngu', 'Satun')",34.4 km
38,"('Thung  Wa', 'Satun')","('Manang', 'Satun')",26.0 km
39,"('Thung  Wa', 'Satun')","('Palian', 'Trang')",32.3 km
40,"('Thung  Wa', 'Satun')","('Tamot', 'Phatthalung')",146 km
41,"('Thung  Wa', 'Satun')","('Khuan Kalong', 'Satun')",61.7 km
42,"('Thung  Wa', 'Satun')","('Pa Bon', 'Phatthalung')",133 km
43,"('Manang', 'Satun')","('La-ngu', 'Satun')",26.7 km
44,"('Manang', 'Satun')","('Thung  Wa', 'Satun')",27.4 km
45,"('Manang', 'Satun')","('Khuan Kalong', 'Satun')",33.4 km
46,"('Manang', 'Satun')","('Pa Bon', 'Phatthalung')",104 km
47,"('Mueang Satun', 'Satun')","('La-ngu', 'Satun')",46.1 km
48,"('Mueang Satun', 'Satun')","('Sadao', 'Songkhla')",133 km
49,"('Mueang Satun', 'Satun')","('Khuan Don', 'Satun')",17.7 km
50,"('Mueang Satun', 'Satun')","('Khuan Kalong', 'Satun')",29.1 km
51,"('Mueang Satun', 'Satun')","('Tha Phae', 'Satun')",23.7 km
52,"('Khuan Don', 'Satun')","('Sadao', 'Songkhla')",116 km
53,"('Khuan Don', 'Satun')","('Hat Yai', 'Songkhla')",78.5 km
54,"('Khuan Don', 'Satun')","('Khlong Hoi Khong', 'Songkhla')",79.6 km
55,"('Khuan Don', 'Satun')","('Mueang Satun', 'Satun')",17.7 km
56,"('Khuan Don', 'Satun')","('Khuan Kalong', 'Satun')",12.1 km
57,"('Khuan Don', 'Satun')","('Tha Phae', 'Satun')",21.3 km
58,"('Khuan Kalong', 'Satun')","('La-ngu', 'Satun')",33.3 km
59,"('Khuan Kalong', 'Satun')","('Thung  Wa', 'Satun')",61.8 km
60,"('Khuan Kalong', 'Satun')","('Manang', 'Satun')",33.4 km
61,"('Khuan Kalong', 'Satun')","('Rattaphum', 'Songkhla')",46.0 km
62,"('Khuan Kalong', 'Satun')","('Sadao', 'Songkhla')",115 km
63,"('Khuan Kalong', 'Satun')","('Hat Yai', 'Songkhla')",77.8 km
64,"('Khuan Kalong', 'Satun')","('Khlong Hoi Khong', 'Songkhla')",78.9 km
65,"('Khuan Kalong', 'Satun')","('Mueang Satun', 'Satun')",28.8 km
66,"('Khuan Kalong', 'Satun')","('Khuan Don', 'Satun')",12.1 km
67,"('Khuan Kalong', 'Satun')","('Tha Phae', 'Satun')",18.2 km
68,"('Khuan Kalong', 'Satun')","('Pa Bon', 'Phatthalung')",73.3 km
69,"('Tha Phae', 'Satun')","('La-ngu', 'Satun')",23.3 km
70,"('Tha Phae', 'Satun')","('Mueang Satun', 'Satun')",23.4 km
71,"('Tha Phae', 'Satun')","('Khuan Don', 'Satun')",20.9 km
72,"('Tha Phae', 'Satun')","('Khuan Kalong', 'Satun')",18.2 km
73,"('Mueang Nakhon Ratchasima', 'Nakhon Ratchasima')","('Pak Thong Chai', 'Nakhon Ratchasima')",34.3 km
74,"('Mueang Nakhon Ratchasima', 'Nakhon Ratchasima')","('Sung Noen', 'Nakhon Ratchasima')",36.5 km
75,"('Mueang Nakhon Ratchasima', 'Nakhon Ratchasima')","('Chok Chai', 'Nakhon Ratchasima')",31.4 km
76,"('Mueang Nakhon Ratchasima', 'Nakhon Ratchasima')","('Non Thai', 'Nakhon Ratchasima')",31.1 km
77,"('Mueang Nakhon Ratchasima', 'Nakhon Ratchasima')","('Non Sung', 'Nakhon Ratchasima')",39.3 km
78,"('Mueang Nakhon Ratchasima', 'Nakhon Ratchasima')","('Kham Thale So', 'Nakhon Ratchasima')",25.4 km
79,"('Mueang Nakhon Ratchasima', 'Nakhon Ratchasima')","('Chaloem Phra Kiet', 'Nakhon Ratchasima')",21.9 km
80,"('Khon Buri', 'Nakhon Ratchasima')","('Mueang Sa Kaeo', 'Sa Kaeo')",155 km
81,"('Khon Buri', 'Nakhon Ratchasima')","('Watthana Nakhon', 'Sa Kaeo')",172 km
82,"('Khon Buri', 'Nakhon Ratchasima')","('Na Di', 'Prachin Buri')",115 km
83,"('Khon Buri', 'Nakhon Ratchasima')","('Pak Thong Chai', 'Nakhon Ratchasima')",47.4 km
84,"('Khon Buri', 'Nakhon Ratchasima')","('Soeng Sang', 'Nakhon Ratchasima')",29.3 km
85,"('Khon Buri', 'Nakhon Ratchasima')","('Chok Chai', 'Nakhon Ratchasima')",29.1 km
86,"('Khon Buri', 'Nakhon Ratchasima')","('Nong Bunmak', 'Nakhon Ratchasima')",46.7 km
87,"('Khon Buri', 'Nakhon Ratchasima')","('Wang Nam Khiao', 'Nakhon Ratchasima')",63.8 km
88,"('Khon Buri', 'Nakhon Ratchasima')","('Nong Ki', 'Buri Ram')",43.7 km
89,"('Pak Thong Chai', 'Nakhon Ratchasima')","('Mueang Nakhon Ratchasima', 'Nakhon Ratchasima')",36.2 km
90,"('Pak Thong Chai', 'Nakhon Ratchasima')","('Khon Buri', 'Nakhon Ratchasima')",48.1 km
91,"('Pak Thong Chai', 'Nakhon Ratchasima')","('Sung Noen', 'Nakhon Ratchasima')",40.0 km
92,"('Pak Thong Chai', 'Nakhon Ratchasima')","('Chok Chai', 'Nakhon Ratchasima')",20.4 km
93,"('Pak Thong Chai', 'Nakhon Ratchasima')","('Si Khio', 'Nakhon Ratchasima')",49.5 km
94,"('Pak Thong Chai', 'Nakhon Ratchasima')","('Pak Chong', 'Nakhon Ratchasima')",86.1 km
95,"('Pak Thong Chai', 'Nakhon Ratchasima')","('Wang Nam Khiao', 'Nakhon Ratchasima')",44.1 km
96,"('Phimai', 'Nakhon Ratchasima')","('Huai Thalaeng', 'Nakhon Ratchasima')",37.6 km
97,"('Phimai', 'Nakhon Ratchasima')","('Chum Phuang', 'Nakhon Ratchasima')",39.2 km
98,"('Phimai', 'Nakhon Ratchasima')","('Khong', 'Nakhon Ratchasima')",40.9 km
99,"('Phimai', 'Nakhon Ratchasima')","('Chakkarat', 'Nakhon Ratchasima')",33.7 km
100,"('Phimai', 'Nakhon Ratchasima')","('Non Sung', 'Nakhon Ratchasima')",31.0 km
101,"('Phimai', 'Nakhon Ratchasima')","('Prathai', 'Nakhon Ratchasima')",52.4 km
102,"('Phimai', 'Nakhon Ratchasima')","('Non Daeng', 'Nakhon Ratchasima')",35.4 km
103,"('Huai Thalaeng', 'Nakhon Ratchasima')","('Phimai', 'Nakhon Ratchasima')",37.4 km
104,"('Huai Thalaeng', 'Nakhon Ratchasima')","('Chum Phuang', 'Nakhon Ratchasima')",67.0 km
105,"('Huai Thalaeng', 'Nakhon Ratchasima')","('Lam Plai Mat', 'Buri Ram')",29.4 km
106,"('Huai Thalaeng', 'Nakhon Ratchasima')","('Chakkarat', 'Nakhon Ratchasima')",27.9 km
107,"('Huai Thalaeng', 'Nakhon Ratchasima')","('Nong Hong', 'Buri Ram')",23.2 km
108,"('Chum Phuang', 'Nakhon Ratchasima')","('Phimai', 'Nakhon Ratchasima')",38.6 km
109,"('Chum Phuang', 'Nakhon Ratchasima')","('Huai Thalaeng', 'Nakhon Ratchasima')",66.6 km
110,"('Chum Phuang', 'Nakhon Ratchasima')","('Lam Plai Mat', 'Buri Ram')",42.2 km
111,"('Chum Phuang', 'Nakhon Ratchasima')","('Prathai', 'Nakhon Ratchasima')",24.0 km
112,"('Chum Phuang', 'Nakhon Ratchasima')","('Mueang Yang', 'Nakhon Ratchasima')",24.3 km
113,"('Chum Phuang', 'Nakhon Ratchasima')","('Lamtaman Chai', 'Nakhon Ratchasima')",19.6 km
114,"('Sung Noen', 'Nakhon Ratchasima')","('Mueang Nakhon Ratchasima', 'Nakhon Ratchasima')",36.9 km
115,"('Sung Noen', 'Nakhon Ratchasima')","('Pak Thong Chai', 'Nakhon Ratchasima')",40.3 km
116,"('Sung Noen', 'Nakhon Ratchasima')","('Dan Khun Thot', 'Nakhon Ratchasima')",42.8 km
117,"('Sung Noen', 'Nakhon Ratchasima')","('Kham Thale So', 'Nakhon Ratchasima')",22.6 km
118,"('Sung Noen', 'Nakhon Ratchasima')","('Si Khio', 'Nakhon Ratchasima')",15.9 km
119,"('Sung Noen', 'Nakhon Ratchasima')","('Pak Chong', 'Nakhon Ratchasima')",63.1 km
120,"('Soeng Sang', 'Nakhon Ratchasima')","('Ta Phraya', 'Sa Kaeo')",97.0 km
121,"('Soeng Sang', 'Nakhon Ratchasima')","('Watthana Nakhon', 'Sa Kaeo')",144 km
122,"('Soeng Sang', 'Nakhon Ratchasima')","('Khon Buri', 'Nakhon Ratchasima')",29.3 km
123,"('Soeng Sang', 'Nakhon Ratchasima')","('Nang Rong', 'Buri Ram')",55.8 km
124,"('Soeng Sang', 'Nakhon Ratchasima')","('Nong Bunmak', 'Nakhon Ratchasima')",51.9 km
125,"('Soeng Sang', 'Nakhon Ratchasima')","('Nong Ki', 'Buri Ram')",33.7 km
126,"('Soeng Sang', 'Nakhon Ratchasima')","('Pakham', 'Buri Ram')",33.4 km
127,"('Soeng Sang', 'Nakhon Ratchasima')","('Non Din Daeng', 'Buri Ram')",37.1 km
128,"('Soeng Sang', 'Nakhon Ratchasima')","('Non Din Daeng', 'Buri Ram')",46.5 km
129,"('Khong', 'Nakhon Ratchasima')","('Phimai', 'Nakhon Ratchasima')",39.6 km
130,"('Khong', 'Nakhon Ratchasima')","('Ban Lueam', 'Nakhon Ratchasima')",36.3 km
131,"('Khong', 'Nakhon Ratchasima')","('Non Sung', 'Nakhon Ratchasima')",49.8 km
132,"('Khong', 'Nakhon Ratchasima')","('Kham Sakaesaeng', 'Nakhon Ratchasima')",28.8 km
133,"('Khong', 'Nakhon Ratchasima')","('Bua Yai', 'Nakhon Ratchasima')",31.2 km
134,"('Khong', 'Nakhon Ratchasima')","('Non Daeng', 'Nakhon Ratchasima')",32.5 km
135,"('Khong', 'Nakhon Ratchasima')","('Phra Thong Kham', 'Nakhon Ratchasima')",53.4 km
136,"('Khong', 'Nakhon Ratchasima')","('Sida', 'Nakhon Ratchasima')",48.4 km
137,"('Khong', 'Nakhon Ratchasima')","('Noen Sa-nga', 'Chaiyaphum')",45.6 km
138,"('Ban Lueam', 'Nakhon Ratchasima')","('Mueang Chaiyaphum', 'Chaiyaphum')",43.7 km
139,"('Ban Lueam', 'Nakhon Ratchasima')","('Khong', 'Nakhon Ratchasima')",33.6 km
140,"('Ban Lueam', 'Nakhon Ratchasima')","('Bua Yai', 'Nakhon Ratchasima')",41.8 km
141,"('Ban Lueam', 'Nakhon Ratchasima')","('Kaeng Sanam Nang', 'Nakhon Ratchasima')",25.2 km
142,"('Ban Lueam', 'Nakhon Ratchasima')","('Noen Sa-nga', 'Chaiyaphum')",22.7 km
143,"('Chakkarat', 'Nakhon Ratchasima')","('Phimai', 'Nakhon Ratchasima')",33.6 km
144,"('Chakkarat', 'Nakhon Ratchasima')","('Huai Thalaeng', 'Nakhon Ratchasima')",28.0 km
145,"('Chakkarat', 'Nakhon Ratchasima')","('Chok Chai', 'Nakhon Ratchasima')",56.1 km
146,"('Chakkarat', 'Nakhon Ratchasima')","('Non Sung', 'Nakhon Ratchasima')",35.4 km
147,"('Chakkarat', 'Nakhon Ratchasima')","('Nong Hong', 'Buri Ram')",41.9 km
148,"('Chakkarat', 'Nakhon Ratchasima')","('Nong Bunmak', 'Nakhon Ratchasima')",37.7 km
149,"('Chakkarat', 'Nakhon Ratchasima')","('Chaloem Phra Kiet', 'Nakhon Ratchasima')",22.0 km
150,"('Chakkarat', 'Nakhon Ratchasima')","('Nong Ki', 'Buri Ram')",54.1 km
151,"('Chok Chai', 'Nakhon Ratchasima')","('Mueang Nakhon Ratchasima', 'Nakhon Ratchasima')",31.2 km
152,"('Chok Chai', 'Nakhon Ratchasima')","('Khon Buri', 'Nakhon Ratchasima')",29.6 km
153,"('Chok Chai', 'Nakhon Ratchasima')","('Pak Thong Chai', 'Nakhon Ratchasima')",20.5 km
154,"('Chok Chai', 'Nakhon Ratchasima')","('Chakkarat', 'Nakhon Ratchasima')",56.2 km
155,"('Chok Chai', 'Nakhon Ratchasima')","('Nong Bunmak', 'Nakhon Ratchasima')",26.5 km
156,"('Chok Chai', 'Nakhon Ratchasima')","('Chaloem Phra Kiet', 'Nakhon Ratchasima')",36.6 km
157,"('Dan Khun Thot', 'Nakhon Ratchasima')","('Lam Sonthi', 'Lopburi')",69.3 km
158,"('Dan Khun Thot', 'Nakhon Ratchasima')","('Muak Lek', 'Saraburi')",109 km
159,"('Dan Khun Thot', 'Nakhon Ratchasima')","('Sung Noen', 'Nakhon Ratchasima')",42.0 km
160,"('Dan Khun Thot', 'Nakhon Ratchasima')","('Chatturat', 'Chaiyaphum')",43.3 km
161,"('Dan Khun Thot', 'Nakhon Ratchasima')","('Bamnet Narong', 'Chaiyaphum')",36.7 km
162,"('Dan Khun Thot', 'Nakhon Ratchasima')","('Thep Sathit', 'Chaiyaphum')",53.5 km
163,"('Dan Khun Thot', 'Nakhon Ratchasima')","('Non Thai', 'Nakhon Ratchasima')",45.3 km
164,"('Dan Khun Thot', 'Nakhon Ratchasima')","('Kham Thale So', 'Nakhon Ratchasima')",37.8 km
165,"('Dan Khun Thot', 'Nakhon Ratchasima')","('Si Khio', 'Nakhon Ratchasima')",39.9 km
166,"('Dan Khun Thot', 'Nakhon Ratchasima')","('Thepharak', 'Nakhon Ratchasima')",29.9 km
167,"('Dan Khun Thot', 'Nakhon Ratchasima')","('Phra Thong Kham', 'Nakhon Ratchasima')",30.1 km
168,"('Non Thai', 'Nakhon Ratchasima')","('Mueang Nakhon Ratchasima', 'Nakhon Ratchasima')",30.2 km
169,"('Non Thai', 'Nakhon Ratchasima')","('Dan Khun Thot', 'Nakhon Ratchasima')",45.3 km
170,"('Non Thai', 'Nakhon Ratchasima')","('Non Sung', 'Nakhon Ratchasima')",23.1 km
171,"('Non Thai', 'Nakhon Ratchasima')","('Kham Sakaesaeng', 'Nakhon Ratchasima')",21.3 km
172,"('Non Thai', 'Nakhon Ratchasima')","('Kham Thale So', 'Nakhon Ratchasima')",38.2 km
173,"('Non Thai', 'Nakhon Ratchasima')","('Phra Thong Kham', 'Nakhon Ratchasima')",16.6 km
174,"('Non Sung', 'Nakhon Ratchasima')","('Mueang Nakhon Ratchasima', 'Nakhon Ratchasima')",39.0 km
175,"('Non Sung', 'Nakhon Ratchasima')","('Phimai', 'Nakhon Ratchasima')",29.8 km
176,"('Non Sung', 'Nakhon Ratchasima')","('Khong', 'Nakhon Ratchasima')",49.7 km
177,"('Non Sung', 'Nakhon Ratchasima')","('Chakkarat', 'Nakhon Ratchasima')",36.2 km
178,"('Non Sung', 'Nakhon Ratchasima')","('Non Thai', 'Nakhon Ratchasima')",23.1 km
179,"('Non Sung', 'Nakhon Ratchasima')","('Kham Sakaesaeng', 'Nakhon Ratchasima')",21.0 km
180,"('Non Sung', 'Nakhon Ratchasima')","('Chaloem Phra Kiet', 'Nakhon Ratchasima')",27.0 km
181,"('Kham Sakaesaeng', 'Nakhon Ratchasima')","('Khong', 'Nakhon Ratchasima')",28.8 km
182,"('Kham Sakaesaeng', 'Nakhon Ratchasima')","('Non Thai', 'Nakhon Ratchasima')",21.3 km
183,"('Kham Sakaesaeng', 'Nakhon Ratchasima')","('Non Sung', 'Nakhon Ratchasima')",21.0 km
184,"('Kham Sakaesaeng', 'Nakhon Ratchasima')","('Phra Thong Kham', 'Nakhon Ratchasima')",36.7 km
185,"('Bua Yai', 'Nakhon Ratchasima')","('Phon', 'Khon Kaen')",47.6 km
186,"('Bua Yai', 'Nakhon Ratchasima')","('Waeng Noi', 'Khon Kaen')",33.8 km
187,"('Bua Yai', 'Nakhon Ratchasima')","('Khong', 'Nakhon Ratchasima')",28.9 km
188,"('Bua Yai', 'Nakhon Ratchasima')","('Ban Lueam', 'Nakhon Ratchasima')",42.1 km
189,"('Bua Yai', 'Nakhon Ratchasima')","('Kaeng Sanam Nang', 'Nakhon Ratchasima')",27.0 km
190,"('Bua Yai', 'Nakhon Ratchasima')","('Non Daeng', 'Nakhon Ratchasima')",29.8 km
191,"('Bua Yai', 'Nakhon Ratchasima')","('Bua Lai', 'Nakhon Ratchasima')",18.3 km
192,"('Bua Yai', 'Nakhon Ratchasima')","('Sida', 'Nakhon Ratchasima')",19.9 km
193,"('Prathai', 'Nakhon Ratchasima')","('Phimai', 'Nakhon Ratchasima')",51.5 km
194,"('Prathai', 'Nakhon Ratchasima')","('Chum Phuang', 'Nakhon Ratchasima')",24.2 km
195,"('Prathai', 'Nakhon Ratchasima')","('Phon', 'Khon Kaen')",44.2 km
196,"('Prathai', 'Nakhon Ratchasima')","('Nong Song Hong', 'Khon Kaen')",37.5 km
197,"('Prathai', 'Nakhon Ratchasima')","('Non Daeng', 'Nakhon Ratchasima')",25.2 km
198,"('Prathai', 'Nakhon Ratchasima')","('Mueang Yang', 'Nakhon Ratchasima')",29.7 km
199,"('Prathai', 'Nakhon Ratchasima')","('Bua Lai', 'Nakhon Ratchasima')",36.0 km
200,"('Prathai', 'Nakhon Ratchasima')","('Sida', 'Nakhon Ratchasima')",18.6 km
201,"('Prathai', 'Nakhon Ratchasima')","('Ban Mai Chaiyaphot', 'Buri Ram')",13.7 km
202,"('Kham Thale So', 'Nakhon Ratchasima')","('Mueang Nakhon Ratchasima', 'Nakhon Ratchasima')",23.3 km
203,"('Kham Thale So', 'Nakhon Ratchasima')","('Sung Noen', 'Nakhon Ratchasima')",21.3 km
204,"('Kham Thale So', 'Nakhon Ratchasima')","('Dan Khun Thot', 'Nakhon Ratchasima')",37.6 km
205,"('Kham Thale So', 'Nakhon Ratchasima')","('Non Thai', 'Nakhon Ratchasima')",40.0 km
206,"('Si Khio', 'Nakhon Ratchasima')","('Lam Sonthi', 'Lopburi')",80.8 km
207,"('Si Khio', 'Nakhon Ratchasima')","('Muak Lek', 'Saraburi')",81.4 km
208,"('Si Khio', 'Nakhon Ratchasima')","('Pak Thong Chai', 'Nakhon Ratchasima')",53.2 km
209,"('Si Khio', 'Nakhon Ratchasima')","('Sung Noen', 'Nakhon Ratchasima')",17.8 km
210,"('Si Khio', 'Nakhon Ratchasima')","('Dan Khun Thot', 'Nakhon Ratchasima')",39.8 km
211,"('Si Khio', 'Nakhon Ratchasima')","('Pak Chong', 'Nakhon Ratchasima')",49.3 km
212,"('Pak Chong', 'Nakhon Ratchasima')","('Kaeng Khoi', 'Saraburi')",57.4 km
213,"('Pak Chong', 'Nakhon Ratchasima')","('Muak Lek', 'Saraburi')",34.4 km
214,"('Pak Chong', 'Nakhon Ratchasima')","('Wang Muang', 'Saraburi')",44.1 km
215,"('Pak Chong', 'Nakhon Ratchasima')","('Mueang Nakhon Nayok', 'Nakhon Nayok')",114 km
216,"('Pak Chong', 'Nakhon Ratchasima')","('Pak Phli', 'Nakhon Nayok')",121 km
217,"('Pak Chong', 'Nakhon Ratchasima')","('Prachantakham', 'Prachin Buri')",103 km
218,"('Pak Chong', 'Nakhon Ratchasima')","('Na Di', 'Prachin Buri')",127 km
219,"('Pak Chong', 'Nakhon Ratchasima')","('Pak Thong Chai', 'Nakhon Ratchasima')",84.5 km
220,"('Pak Chong', 'Nakhon Ratchasima')","('Sung Noen', 'Nakhon Ratchasima')",56.7 km
221,"('Pak Chong', 'Nakhon Ratchasima')","('Si Khio', 'Nakhon Ratchasima')",44.8 km
222,"('Pak Chong', 'Nakhon Ratchasima')","('Wang Nam Khiao', 'Nakhon Ratchasima')",72.3 km
223,"('Nong Bunmak', 'Nakhon Ratchasima')","('Khon Buri', 'Nakhon Ratchasima')",53.4 km
224,"('Nong Bunmak', 'Nakhon Ratchasima')","('Soeng Sang', 'Nakhon Ratchasima')",52.6 km
225,"('Nong Bunmak', 'Nakhon Ratchasima')","('Chakkarat', 'Nakhon Ratchasima')",40.6 km
226,"('Nong Bunmak', 'Nakhon Ratchasima')","('Chok Chai', 'Nakhon Ratchasima')",24.9 km
227,"('Nong Bunmak', 'Nakhon Ratchasima')","('Chaloem Phra Kiet', 'Nakhon Ratchasima')",43.1 km
228,"('Nong Bunmak', 'Nakhon Ratchasima')","('Nong Ki', 'Buri Ram')",20.1 km
229,"('Nong Bunmak', 'Nakhon Ratchasima')","('Non Din Daeng', 'Buri Ram')",46.3 km
230,"('Kaeng Sanam Nang', 'Nakhon Ratchasima')","('Mueang Chaiyaphum', 'Chaiyaphum')",29.0 km
231,"('Kaeng Sanam Nang', 'Nakhon Ratchasima')","('Khon Sawan', 'Chaiyaphum')",27.0 km
232,"('Kaeng Sanam Nang', 'Nakhon Ratchasima')","('Waeng Noi', 'Khon Kaen')",28.6 km
233,"('Kaeng Sanam Nang', 'Nakhon Ratchasima')","('Ban Lueam', 'Nakhon Ratchasima')",23.1 km
234,"('Kaeng Sanam Nang', 'Nakhon Ratchasima')","('Bua Yai', 'Nakhon Ratchasima')",26.8 km
235,"('Non Daeng', 'Nakhon Ratchasima')","('Phimai', 'Nakhon Ratchasima')",34.1 km
236,"('Non Daeng', 'Nakhon Ratchasima')","('Khong', 'Nakhon Ratchasima')",32.6 km
237,"('Non Daeng', 'Nakhon Ratchasima')","('Bua Yai', 'Nakhon Ratchasima')",29.8 km
238,"('Non Daeng', 'Nakhon Ratchasima')","('Prathai', 'Nakhon Ratchasima')",25.1 km
239,"('Non Daeng', 'Nakhon Ratchasima')","('Sida', 'Nakhon Ratchasima')",20.2 km
240,"('Wang Nam Khiao', 'Nakhon Ratchasima')","('Prachantakham', 'Prachin Buri')",95.8 km
241,"('Wang Nam Khiao', 'Nakhon Ratchasima')","('Na Di', 'Prachin Buri')",55.3 km
242,"('Wang Nam Khiao', 'Nakhon Ratchasima')","('Khon Buri', 'Nakhon Ratchasima')",63.3 km
243,"('Wang Nam Khiao', 'Nakhon Ratchasima')","('Pak Thong Chai', 'Nakhon Ratchasima')",42.9 km
244,"('Wang Nam Khiao', 'Nakhon Ratchasima')","('Pak Chong', 'Nakhon Ratchasima')",75.2 km
245,"('Thepharak', 'Nakhon Ratchasima')","('Lam Sonthi', 'Lopburi')",37.6 km
246,"('Thepharak', 'Nakhon Ratchasima')","('Bamnet Narong', 'Chaiyaphum')",39.4 km
247,"('Thepharak', 'Nakhon Ratchasima')","('Thep Sathit', 'Chaiyaphum')",25.4 km
248,"('Thepharak', 'Nakhon Ratchasima')","('Dan Khun Thot', 'Nakhon Ratchasima')",29.8 km
249,"('Mueang Yang', 'Nakhon Ratchasima')","('Chum Phuang', 'Nakhon Ratchasima')",24.5 km
250,"('Mueang Yang', 'Nakhon Ratchasima')","('Phutthaisong', 'Buri Ram')",30.6 km
251,"('Mueang Yang', 'Nakhon Ratchasima')","('Prathai', 'Nakhon Ratchasima')",29.7 km
252,"('Mueang Yang', 'Nakhon Ratchasima')","('Lamtaman Chai', 'Nakhon Ratchasima')",10.7 km
253,"('Mueang Yang', 'Nakhon Ratchasima')","('Khu Mueang', 'Buri Ram')",30.9 km
254,"('Mueang Yang', 'Nakhon Ratchasima')","('Ban Mai Chaiyaphot', 'Buri Ram')",39.8 km
255,"('Phra Thong Kham', 'Nakhon Ratchasima')","('Chatturat', 'Chaiyaphum')",38.8 km
256,"('Phra Thong Kham', 'Nakhon Ratchasima')","('Khong', 'Nakhon Ratchasima')",53.4 km
257,"('Phra Thong Kham', 'Nakhon Ratchasima')","('Dan Khun Thot', 'Nakhon Ratchasima')",30.1 km
258,"('Phra Thong Kham', 'Nakhon Ratchasima')","('Non Thai', 'Nakhon Ratchasima')",16.5 km
259,"('Phra Thong Kham', 'Nakhon Ratchasima')","('Kham Sakaesaeng', 'Nakhon Ratchasima')",36.5 km
260,"('Phra Thong Kham', 'Nakhon Ratchasima')","('Noen Sa-nga', 'Chaiyaphum')",38.3 km
261,"('Lamtaman Chai', 'Nakhon Ratchasima')","('Chum Phuang', 'Nakhon Ratchasima')",19.6 km
262,"('Lamtaman Chai', 'Nakhon Ratchasima')","('Lam Plai Mat', 'Buri Ram')",44.8 km
263,"('Lamtaman Chai', 'Nakhon Ratchasima')","('Mueang Yang', 'Nakhon Ratchasima')",10.5 km
264,"('Lamtaman Chai', 'Nakhon Ratchasima')","('Khu Mueang', 'Buri Ram')",20.9 km
