,Origin,Destination,Distance
130,Si Sa Ket,Surin,105 km
131,Si Sa Ket,Ubon Ratchathani,64.1 km
132,Si Sa Ket,Yasothon,104 km
133,Si Sa Ket,Roi Et,147 km
134,Ubon Ratchathani,Si Sa Ket,65.8 km
135,Ubon Ratchathani,Yasothon,104 km
136,Ubon Ratchathani,Amnat Charoen,77.9 km
137,Yasothon,Si Sa Ket,99.3 km
138,Yasothon,Ubon Ratchathani,104 km
139,Yasothon,Amnat Charoen,57.5 km
140,Yasothon,Roi Et,67.3 km
141,Yasothon,Mukdahan,114 km
142,Chaiyaphum,Lopburi,229 km
143,Chaiyaphum,Nakhon Ratchasima,110 km
144,Chaiyaphum,Khon Kaen,126 km
145,Chaiyaphum,Phetchabun,202 km
146,Amnat Charoen,Ubon Ratchathani,76.4 km
147,Amnat Charoen,Yasothon,62.0 km
148,Amnat Charoen,Mukdahan,89.7 km
149,Bueng Kan,Nong Khai,138 km
150,Bueng Kan,Sakon Nakhon,179 km
151,Bueng Kan,Nakhon Phanom,184 km
152,Nong Bua Lamphu,Khon Kaen,113 km
153,Nong Bua Lamphu,Udon Thani,47.6 km
154,Nong Bua Lamphu,Loei,102 km
155,Khon Kaen,Nakhon Ratchasima,194 km
156,Khon Kaen,Buri Ram,196 km
157,Khon Kaen,Chaiyaphum,126 km
158,Khon Kaen,Nong Bua Lamphu,113 km
159,Khon Kaen,Udon Thani,121 km
160,Khon Kaen,Loei,208 km
161,Khon Kaen,Maha Sarakham,77.7 km
162,Khon Kaen,Kalasin,82.4 km
163,Khon Kaen,Phetchabun,235 km
164,Udon Thani,Nong Bua Lamphu,47.4 km
165,Udon Thani,Khon Kaen,120 km
166,Udon Thani,Loei,148 km
167,Udon Thani,Nong Khai,53.5 km
168,Udon Thani,Kalasin,165 km
169,Udon Thani,Sakon Nakhon,163 km
170,Loei,Nong Bua Lamphu,102 km
171,Loei,Khon Kaen,207 km
172,Loei,Udon Thani,149 km
173,Loei,Nong Khai,182 km
174,Loei,Phitsanulok,228 km
175,Loei,Phetchabun,190 km
176,Nong Khai,Bueng Kan,137 km
177,Nong Khai,Udon Thani,54.0 km
178,Nong Khai,Loei,181 km
179,Nong Khai,Sakon Nakhon,216 km
180,Maha Sarakham,Buri Ram,154 km
181,Maha Sarakham,Surin,173 km
182,Maha Sarakham,Khon Kaen,68.9 km
183,Maha Sarakham,Roi Et,41.6 km
184,Maha Sarakham,Kalasin,49.8 km
185,Roi Et,Surin,145 km
186,Roi Et,Si Sa Ket,146 km
187,Roi Et,Yasothon,67.5 km
188,Roi Et,Maha Sarakham,41.3 km
189,Roi Et,Kalasin,50.9 km
190,Roi Et,Mukdahan,153 km
191,Kalasin,Khon Kaen,83.6 km
192,Kalasin,Udon Thani,166 km
193,Kalasin,Maha Sarakham,51.0 km
194,Kalasin,Roi Et,52.0 km
195,Kalasin,Sakon Nakhon,125 km
196,Kalasin,Mukdahan,143 km
197,Sakon Nakhon,Bueng Kan,184 km
198,Sakon Nakhon,Udon Thani,164 km
199,Sakon Nakhon,Nong Khai,216 km
200,Sakon Nakhon,Kalasin,126 km
201,Sakon Nakhon,Nakhon Phanom,91.8 km
202,Sakon Nakhon,Mukdahan,117 km
203,Nakhon Phanom,Bueng Kan,185 km
204,Nakhon Phanom,Sakon Nakhon,91.4 km
205,Nakhon Phanom,Mukdahan,107 km
206,Mukdahan,Yasothon,115 km
207,Mukdahan,Amnat Charoen,89.6 km
208,Mukdahan,Roi Et,153 km
209,Mukdahan,Kalasin,145 km
210,Mukdahan,Sakon Nakhon,117 km
211,Mukdahan,Nakhon Phanom,108 km
212,Chiang Mai,Lamphun,36.4 km
213,Chiang Mai,Lampang,107 km
214,Chiang Mai,Chiang Rai,194 km
215,Chiang Mai,Mae Hong Son,230 km
216,Chiang Mai,Tak,281 km
217,Lamphun,Chiang Mai,37.7 km
218,Lamphun,Lampang,74.8 km
219,Lamphun,Tak,248 km
220,Lampang,Chiang Mai,107 km
221,Lampang,Lamphun,75.3 km
222,Lampang,Phrae,102 km
223,Lampang,Phayao,137 km
224,Lampang,Chiang Rai,231 km
225,Lampang,Tak,183 km
226,Lampang,Sukhothai,210 km
227,Uttaradit,Phrae,75.3 km
228,Uttaradit,Nan,195 km
229,Uttaradit,Sukhothai,88.5 km
230,Uttaradit,Phitsanulok,110 km
231,Phrae,Lampang,103 km
232,Phrae,Uttaradit,75.5 km
233,Phrae,Nan,121 km
234,Phrae,Phayao,149 km
235,Phrae,Sukhothai,164 km
236,Nan,Uttaradit,195 km
237,Nan,Phrae,121 km
238,Nan,Phayao,147 km
239,Phayao,Lampang,137 km
240,Phayao,Phrae,149 km
241,Phayao,Nan,147 km
242,Phayao,Chiang Rai,94.8 km
243,Chiang Rai,Chiang Mai,194 km
244,Chiang Rai,Lampang,231 km
245,Chiang Rai,Phayao,94.4 km
246,Mae Hong Son,Chiang Mai,231 km
247,Mae Hong Son,Tak,476 km
248,Nakhon Sawan,Lopburi,131 km
249,Nakhon Sawan,Sing Buri,104 km
250,Nakhon Sawan,Chai Nat,63.4 km
251,Nakhon Sawan,Uthai Thani,44.4 km
252,Nakhon Sawan,Kamphaeng Phet,122 km
253,Nakhon Sawan,Tak,186 km
254,Nakhon Sawan,Phichit,109 km
255,Nakhon Sawan,Phetchabun,194 km
256,Uthai Thani,Chai Nat,29.1 km
