,original_tuple,destination_tuple,distance
62,"('ควนกาหลง', 'สตูล')","('สะเดา', 'สงขลา')",115 km
63,"('ควนกาหลง', 'สตูล')","('หาดใหญ่', 'สงขลา')",77.8 km
64,"('ควนกาหลง', 'สตูล')","('คลองหอยโข่ง', 'สงขลา')",78.9 km
65,"('ควนกาหลง', 'สตูล')","('เมืองสตูล', 'สตูล')",28.8 km
66,"('ควนกาหลง', 'สตูล')","('ควนโดน', 'สตูล')",12.1 km
67,"('ควนกาหลง', 'สตูล')","('ท่าแพ', 'สตูล')",18.2 km
68,"('ควนกาหลง', 'สตูล')","('ป่าบอน', 'พัทลุง')",73.3 km
69,"('ท่าแพ', 'สตูล')","('ละงู', 'สตูล')",23.3 km
70,"('ท่าแพ', 'สตูล')","('เมืองสตูล', 'สตูล')",23.4 km
71,"('ท่าแพ', 'สตูล')","('ควนโดน', 'สตูล')",20.9 km
72,"('ท่าแพ', 'สตูล')","('ควนกาหลง', 'สตูล')",18.2 km
73,"('เมืองนครราชสีมา', 'นครราชสีมา')","('ปักธงชัย', 'นครราชสีมา')",34.3 km
74,"('เมืองนครราชสีมา', 'นครราชสีมา')","('สูงเนิน', 'นครราชสีมา')",36.5 km
75,"('เมืองนครราชสีมา', 'นครราชสีมา')","('โชคชัย', 'นครราชสีมา')",31.4 km
76,"('เมืองนครราชสีมา', 'นครราชสีมา')","('โนนไทย', 'นครราชสีมา')",31.1 km
77,"('เมืองนครราชสีมา', 'นครราชสีมา')","('โนนสูง', 'นครราชสีมา')",39.3 km
78,"('เมืองนครราชสีมา', 'นครราชสีมา')","('ขามทะเลสอ', 'นครราชสีมา')",25.4 km
79,"('เมืองนครราชสีมา', 'นครราชสีมา')","('เฉลิมพระเกียรติ', 'นครราชสีมา')",21.9 km
80,"('ครบุรี', 'นครราชสีมา')","('เมืองสระแก้ว', 'สระแก้ว')",155 km
81,"('ครบุรี', 'นครราชสีมา')","('วัฒนานคร', 'สระแก้ว')",172 km
82,"('ครบุรี', 'นครราชสีมา')","('นาดี', 'ปราจีนบุรี')",115 km
83,"('ครบุรี', 'นครราชสีมา')","('ปักธงชัย', 'นครราชสีมา')",47.4 km
84,"('ครบุรี', 'นครราชสีมา')","('เสิงสาง', 'นครราชสีมา')",29.3 km
85,"('ครบุรี', 'นครราชสีมา')","('โชคชัย', 'นครราชสีมา')",29.1 km
86,"('ครบุรี', 'นครราชสีมา')","('หนองบุญมาก', 'นครราชสีมา')",46.7 km
87,"('ครบุรี', 'นครราชสีมา')","('วังน้ำเขียว', 'นครราชสีมา')",63.8 km
88,"('ครบุรี', 'นครราชสีมา')","('หนองกี่', 'บุรีรัมย์')",43.7 km
89,"('ปักธงชัย', 'นครราชสีมา')","('เมืองนครราชสีมา', 'นครราชสีมา')",36.2 km
90,"('ปักธงชัย', 'นครราชสีมา')","('ครบุรี', 'นครราชสีมา')",48.1 km
91,"('ปักธงชัย', 'นครราชสีมา')","('สูงเนิน', 'นครราชสีมา')",40.0 km
92,"('ปักธงชัย', 'นครราชสีมา')","('โชคชัย', 'นครราชสีมา')",20.4 km
93,"('ปักธงชัย', 'นครราชสีมา')","('สีคิ้ว', 'นครราชสีมา')",49.5 km
94,"('ปักธงชัย', 'นครราชสีมา')","('ปากช่อง', 'นครราชสีมา')",86.1 km
95,"('ปักธงชัย', 'นครราชสีมา')","('วังน้ำเขียว', 'นครราชสีมา')",44.1 km
96,"('พิมาย', 'นครราชสีมา')","('ห้วยแถลง', 'นครราชสีมา')",37.6 km
97,"('พิมาย', 'นครราชสีมา')","('ชุมพวง', 'นครราชสีมา')",39.2 km
98,"('พิมาย', 'นครราชสีมา')","('คง', 'นครราชสีมา')",40.9 km
99,"('พิมาย', 'นครราชสีมา')","('จักราช', 'นครราชสีมา')",33.7 km
100,"('พิมาย', 'นครราชสีมา')","('โนนสูง', 'นครราชสีมา')",31.0 km
101,"('พิมาย', 'นครราชสีมา')","('ประทาย', 'นครราชสีมา')",52.4 km
102,"('พิมาย', 'นครราชสีมา')","('โนนแดง', 'นครราชสีมา')",35.4 km
103,"('ห้วยแถลง', 'นครราชสีมา')","('พิมาย', 'นครราชสีมา')",37.4 km
104,"('ห้วยแถลง', 'นครราชสีมา')","('ชุมพวง', 'นครราชสีมา')",67.0 km
105,"('ห้วยแถลง', 'นครราชสีมา')","('ลำปลายมาศ', 'บุรีรัมย์')",29.4 km
106,"('ห้วยแถลง', 'นครราชสีมา')","('จักราช', 'นครราชสีมา')",27.9 km
107,"('ห้วยแถลง', 'นครราชสีมา')","('หนองหงส์', 'บุรีรัมย์')",23.2 km
108,"('ชุมพวง', 'นครราชสีมา')","('พิมาย', 'นครราชสีมา')",38.6 km
109,"('ชุมพวง', 'นครราชสีมา')","('ห้วยแถลง', 'นครราชสีมา')",66.6 km
110,"('ชุมพวง', 'นครราชสีมา')","('ลำปลายมาศ', 'บุรีรัมย์')",42.2 km
111,"('ชุมพวง', 'นครราชสีมา')","('ประทาย', 'นครราชสีมา')",24.0 km
112,"('ชุมพวง', 'นครราชสีมา')","('เมืองยาง', 'นครราชสีมา')",24.3 km
113,"('ชุมพวง', 'นครราชสีมา')","('ลำทะเมนชัย', 'นครราชสีมา')",19.6 km
114,"('สูงเนิน', 'นครราชสีมา')","('เมืองนครราชสีมา', 'นครราชสีมา')",36.9 km
115,"('สูงเนิน', 'นครราชสีมา')","('ปักธงชัย', 'นครราชสีมา')",40.3 km
116,"('สูงเนิน', 'นครราชสีมา')","('ด่านขุนทด', 'นครราชสีมา')",42.8 km
117,"('สูงเนิน', 'นครราชสีมา')","('ขามทะเลสอ', 'นครราชสีมา')",22.6 km
118,"('สูงเนิน', 'นครราชสีมา')","('สีคิ้ว', 'นครราชสีมา')",15.9 km
119,"('สูงเนิน', 'นครราชสีมา')","('ปากช่อง', 'นครราชสีมา')",63.1 km
120,"('เสิงสาง', 'นครราชสีมา')","('ตาพระยา', 'สระแก้ว')",97.0 km
121,"('เสิงสาง', 'นครราชสีมา')","('วัฒนานคร', 'สระแก้ว')",144 km
122,"('เสิงสาง', 'นครราชสีมา')","('ครบุรี', 'นครราชสีมา')",29.3 km
123,"('เสิงสาง', 'นครราชสีมา')","('นางรอง', 'บุรีรัมย์')",55.8 km
124,"('เสิงสาง', 'นครราชสีมา')","('หนองบุญมาก', 'นครราชสีมา')",51.9 km
125,"('เสิงสาง', 'นครราชสีมา')","('หนองกี่', 'บุรีรัมย์')",33.7 km
126,"('เสิงสาง', 'นครราชสีมา')","('ปะคำ', 'บุรีรัมย์')",33.4 km
127,"('เสิงสาง', 'นครราชสีมา')","('โนนสุวรรณ', 'บุรีรัมย์')",37.1 km
128,"('เสิงสาง', 'นครราชสีมา')","('โนนดินแดง', 'บุรีรัมย์')",46.5 km
129,"('คง', 'นครราชสีมา')","('พิมาย', 'นครราชสีมา')",39.6 km
130,"('คง', 'นครราชสีมา')","('บ้านเหลื่อม', 'นครราชสีมา')",36.3 km
131,"('คง', 'นครราชสีมา')","('โนนสูง', 'นครราชสีมา')",49.8 km
132,"('คง', 'นครราชสีมา')","('ขามสะแกแสง', 'นครราชสีมา')",28.8 km
133,"('คง', 'นครราชสีมา')","('บัวใหญ่', 'นครราชสีมา')",31.2 km
134,"('คง', 'นครราชสีมา')","('โนนแดง', 'นครราชสีมา')",32.5 km
135,"('คง', 'นครราชสีมา')","('พระทองคำ', 'นครราชสีมา')",53.4 km
136,"('คง', 'นครราชสีมา')","('สีดา', 'นครราชสีมา')",48.4 km
137,"('คง', 'นครราชสีมา')","('เนินสง่า', 'ชัยภูมิ')",45.6 km
138,"('บ้านเหลื่อม', 'นครราชสีมา')","('เมืองชัยภูมิ', 'ชัยภูมิ')",43.7 km
139,"('บ้านเหลื่อม', 'นครราชสีมา')","('คง', 'นครราชสีมา')",33.6 km
140,"('บ้านเหลื่อม', 'นครราชสีมา')","('บัวใหญ่', 'นครราชสีมา')",41.8 km
141,"('บ้านเหลื่อม', 'นครราชสีมา')","('แก้งสนามนาง', 'นครราชสีมา')",25.2 km
142,"('บ้านเหลื่อม', 'นครราชสีมา')","('เนินสง่า', 'ชัยภูมิ')",22.7 km
143,"('จักราช', 'นครราชสีมา')","('พิมาย', 'นครราชสีมา')",33.6 km
144,"('จักราช', 'นครราชสีมา')","('ห้วยแถลง', 'นครราชสีมา')",28.0 km
145,"('จักราช', 'นครราชสีมา')","('โชคชัย', 'นครราชสีมา')",56.1 km
146,"('จักราช', 'นครราชสีมา')","('โนนสูง', 'นครราชสีมา')",35.4 km
147,"('จักราช', 'นครราชสีมา')","('หนองหงส์', 'บุรีรัมย์')",41.9 km
148,"('จักราช', 'นครราชสีมา')","('หนองบุญมาก', 'นครราชสีมา')",37.7 km
149,"('จักราช', 'นครราชสีมา')","('เฉลิมพระเกียรติ', 'นครราชสีมา')",22.0 km
150,"('จักราช', 'นครราชสีมา')","('หนองกี่', 'บุรีรัมย์')",54.1 km
151,"('โชคชัย', 'นครราชสีมา')","('เมืองนครราชสีมา', 'นครราชสีมา')",31.2 km
152,"('โชคชัย', 'นครราชสีมา')","('ครบุรี', 'นครราชสีมา')",29.6 km
153,"('โชคชัย', 'นครราชสีมา')","('ปักธงชัย', 'นครราชสีมา')",20.5 km
154,"('โชคชัย', 'นครราชสีมา')","('จักราช', 'นครราชสีมา')",56.2 km
155,"('โชคชัย', 'นครราชสีมา')","('หนองบุญมาก', 'นครราชสีมา')",26.5 km
156,"('โชคชัย', 'นครราชสีมา')","('เฉลิมพระเกียรติ', 'นครราชสีมา')",36.6 km
157,"('ด่านขุนทด', 'นครราชสีมา')","('ลำสนธิ', 'ลพบุรี')",69.3 km
158,"('ด่านขุนทด', 'นครราชสีมา')","('มวกเหล็ก', 'สระบุรี')",109 km
159,"('ด่านขุนทด', 'นครราชสีมา')","('สูงเนิน', 'นครราชสีมา')",42.0 km
160,"('ด่านขุนทด', 'นครราชสีมา')","('จัตุรัส', 'ชัยภูมิ')",43.3 km
161,"('ด่านขุนทด', 'นครราชสีมา')","('บำเหน็จณรงค์', 'ชัยภูมิ')",36.7 km
162,"('ด่านขุนทด', 'นครราชสีมา')","('เทพสถิต', 'ชัยภูมิ')",53.5 km
163,"('ด่านขุนทด', 'นครราชสีมา')","('โนนไทย', 'นครราชสีมา')",45.3 km
164,"('ด่านขุนทด', 'นครราชสีมา')","('ขามทะเลสอ', 'นครราชสีมา')",37.8 km
165,"('ด่านขุนทด', 'นครราชสีมา')","('สีคิ้ว', 'นครราชสีมา')",39.9 km
166,"('ด่านขุนทด', 'นครราชสีมา')","('เทพารักษ์', 'นครราชสีมา')",29.9 km
167,"('ด่านขุนทด', 'นครราชสีมา')","('พระทองคำ', 'นครราชสีมา')",30.1 km
168,"('โนนไทย', 'นครราชสีมา')","('เมืองนครราชสีมา', 'นครราชสีมา')",30.2 km
169,"('โนนไทย', 'นครราชสีมา')","('ด่านขุนทด', 'นครราชสีมา')",45.3 km
170,"('โนนไทย', 'นครราชสีมา')","('โนนสูง', 'นครราชสีมา')",23.1 km
171,"('โนนไทย', 'นครราชสีมา')","('ขามสะแกแสง', 'นครราชสีมา')",21.3 km
172,"('โนนไทย', 'นครราชสีมา')","('ขามทะเลสอ', 'นครราชสีมา')",38.2 km
173,"('โนนไทย', 'นครราชสีมา')","('พระทองคำ', 'นครราชสีมา')",16.6 km
174,"('โนนสูง', 'นครราชสีมา')","('เมืองนครราชสีมา', 'นครราชสีมา')",39.0 km
175,"('โนนสูง', 'นครราชสีมา')","('พิมาย', 'นครราชสีมา')",29.8 km
176,"('โนนสูง', 'นครราชสีมา')","('คง', 'นครราชสีมา')",49.7 km
177,"('โนนสูง', 'นครราชสีมา')","('จักราช', 'นครราชสีมา')",36.2 km
178,"('โนนสูง', 'นครราชสีมา')","('โนนไทย', 'นครราชสีมา')",23.1 km
179,"('โนนสูง', 'นครราชสีมา')","('ขามสะแกแสง', 'นครราชสีมา')",21.0 km
180,"('โนนสูง', 'นครราชสีมา')","('เฉลิมพระเกียรติ', 'นครราชสีมา')",27.0 km
181,"('ขามสะแกแสง', 'นครราชสีมา')","('คง', 'นครราชสีมา')",28.8 km
182,"('ขามสะแกแสง', 'นครราชสีมา')","('โนนไทย', 'นครราชสีมา')",21.3 km
183,"('ขามสะแกแสง', 'นครราชสีมา')","('โนนสูง', 'นครราชสีมา')",21.0 km
184,"('ขามสะแกแสง', 'นครราชสีมา')","('พระทองคำ', 'นครราชสีมา')",36.7 km
185,"('บัวใหญ่', 'นครราชสีมา')","('พล', 'ขอนแก่น')",47.6 km
186,"('บัวใหญ่', 'นครราชสีมา')","('แวงน้อย', 'ขอนแก่น')",33.8 km
187,"('บัวใหญ่', 'นครราชสีมา')","('คง', 'นครราชสีมา')",28.9 km
188,"('บัวใหญ่', 'นครราชสีมา')","('บ้านเหลื่อม', 'นครราชสีมา')",42.1 km
189,"('บัวใหญ่', 'นครราชสีมา')","('แก้งสนามนาง', 'นครราชสีมา')",27.0 km
190,"('บัวใหญ่', 'นครราชสีมา')","('โนนแดง', 'นครราชสีมา')",29.8 km
191,"('บัวใหญ่', 'นครราชสีมา')","('บัวลาย', 'นครราชสีมา')",18.3 km
192,"('บัวใหญ่', 'นครราชสีมา')","('สีดา', 'นครราชสีมา')",19.9 km
193,"('ประทาย', 'นครราชสีมา')","('พิมาย', 'นครราชสีมา')",51.5 km
194,"('ประทาย', 'นครราชสีมา')","('ชุมพวง', 'นครราชสีมา')",24.2 km
195,"('ประทาย', 'นครราชสีมา')","('พล', 'ขอนแก่น')",44.2 km
196,"('ประทาย', 'นครราชสีมา')","('หนองสองห้อง', 'ขอนแก่น')",37.5 km
197,"('ประทาย', 'นครราชสีมา')","('โนนแดง', 'นครราชสีมา')",25.2 km
198,"('ประทาย', 'นครราชสีมา')","('เมืองยาง', 'นครราชสีมา')",29.7 km
199,"('ประทาย', 'นครราชสีมา')","('บัวลาย', 'นครราชสีมา')",36.0 km
200,"('ประทาย', 'นครราชสีมา')","('สีดา', 'นครราชสีมา')",18.6 km
201,"('ประทาย', 'นครราชสีมา')","('บ้านใหม่ไชยพจน์', 'บุรีรัมย์')",13.7 km
202,"('ขามทะเลสอ', 'นครราชสีมา')","('เมืองนครราชสีมา', 'นครราชสีมา')",23.3 km
203,"('ขามทะเลสอ', 'นครราชสีมา')","('สูงเนิน', 'นครราชสีมา')",21.3 km
204,"('ขามทะเลสอ', 'นครราชสีมา')","('ด่านขุนทด', 'นครราชสีมา')",37.6 km
205,"('ขามทะเลสอ', 'นครราชสีมา')","('โนนไทย', 'นครราชสีมา')",40.0 km
206,"('สีคิ้ว', 'นครราชสีมา')","('ลำสนธิ', 'ลพบุรี')",80.8 km
207,"('สีคิ้ว', 'นครราชสีมา')","('มวกเหล็ก', 'สระบุรี')",81.4 km
208,"('สีคิ้ว', 'นครราชสีมา')","('ปักธงชัย', 'นครราชสีมา')",53.2 km
209,"('สีคิ้ว', 'นครราชสีมา')","('สูงเนิน', 'นครราชสีมา')",17.8 km
210,"('สีคิ้ว', 'นครราชสีมา')","('ด่านขุนทด', 'นครราชสีมา')",39.8 km
211,"('สีคิ้ว', 'นครราชสีมา')","('ปากช่อง', 'นครราชสีมา')",49.3 km
212,"('ปากช่อง', 'นครราชสีมา')","('แก่งคอย', 'สระบุรี')",57.4 km
213,"('ปากช่อง', 'นครราชสีมา')","('มวกเหล็ก', 'สระบุรี')",34.4 km
214,"('ปากช่อง', 'นครราชสีมา')","('วังม่วง', 'สระบุรี')",44.1 km
215,"('ปากช่อง', 'นครราชสีมา')","('เมืองนครนายก', 'นครนายก')",114 km
216,"('ปากช่อง', 'นครราชสีมา')","('ปากพลี', 'นครนายก')",121 km
217,"('ปากช่อง', 'นครราชสีมา')","('ประจันตคาม', 'ปราจีนบุรี')",103 km
218,"('ปากช่อง', 'นครราชสีมา')","('นาดี', 'ปราจีนบุรี')",127 km
219,"('ปากช่อง', 'นครราชสีมา')","('ปักธงชัย', 'นครราชสีมา')",84.5 km
220,"('ปากช่อง', 'นครราชสีมา')","('สูงเนิน', 'นครราชสีมา')",56.7 km
221,"('ปากช่อง', 'นครราชสีมา')","('สีคิ้ว', 'นครราชสีมา')",44.8 km
