,original_tuple,destination_tuple,distance
737,"('ไทรงาม', 'กำแพงเพชร')","('พรานกระต่าย', 'กำแพงเพชร')",50.9 km
738,"('ไทรงาม', 'กำแพงเพชร')","('ลานกระบือ', 'กำแพงเพชร')",22.8 km
739,"('ไทรงาม', 'กำแพงเพชร')","('ทรายทองวัฒนา', 'กำแพงเพชร')",23.5 km
740,"('ไทรงาม', 'กำแพงเพชร')","('โพธิ์ประทับช้าง', 'พิจิตร')",69.2 km
741,"('ไทรงาม', 'กำแพงเพชร')","('บึงสามัคคี', 'กำแพงเพชร')",40.4 km
742,"('ไทรงาม', 'กำแพงเพชร')","('สามง่าม', 'พิจิตร')",35.6 km
743,"('ไทรงาม', 'กำแพงเพชร')","('วชิรบารมี', 'พิจิตร')",30.4 km
744,"('คลองลาน', 'กำแพงเพชร')","('เมืองกำแพงเพชร', 'กำแพงเพชร')",43.4 km
745,"('คลองลาน', 'กำแพงเพชร')","('ปางศิลาทอง', 'กำแพงเพชร')",39.2 km
746,"('คลองลาน', 'กำแพงเพชร')","('โกสัมพีนคร', 'กำแพงเพชร')",68.6 km
747,"('คลองลาน', 'กำแพงเพชร')","('พบพระ', 'ตาก')",223 km
748,"('คลองลาน', 'กำแพงเพชร')","('อุ้มผาง', 'ตาก')",339 km
749,"('คลองลาน', 'กำแพงเพชร')","('วังเจ้า', 'ตาก')",80.0 km
750,"('ขาณุวรลักษบุรี', 'กำแพงเพชร')","('บรรพตพิสัย', 'นครสวรรค์')",26.2 km
751,"('ขาณุวรลักษบุรี', 'กำแพงเพชร')","('ลาดยาว', 'นครสวรรค์')",50.0 km
752,"('ขาณุวรลักษบุรี', 'กำแพงเพชร')","('แม่วงก์', 'นครสวรรค์')",64.9 km
753,"('ขาณุวรลักษบุรี', 'กำแพงเพชร')","('คลองขลุง', 'กำแพงเพชร')",27.8 km
754,"('ขาณุวรลักษบุรี', 'กำแพงเพชร')","('ปางศิลาทอง', 'กำแพงเพชร')",56.5 km
755,"('ขาณุวรลักษบุรี', 'กำแพงเพชร')","('บึงสามัคคี', 'กำแพงเพชร')",22.2 km
756,"('คลองขลุง', 'กำแพงเพชร')","('เมืองกำแพงเพชร', 'กำแพงเพชร')",46.7 km
757,"('คลองขลุง', 'กำแพงเพชร')","('ไทรงาม', 'กำแพงเพชร')",40.9 km
758,"('คลองขลุง', 'กำแพงเพชร')","('ขาณุวรลักษบุรี', 'กำแพงเพชร')",26.5 km
759,"('คลองขลุง', 'กำแพงเพชร')","('ทรายทองวัฒนา', 'กำแพงเพชร')",17.8 km
760,"('คลองขลุง', 'กำแพงเพชร')","('ปางศิลาทอง', 'กำแพงเพชร')",36.0 km
761,"('คลองขลุง', 'กำแพงเพชร')","('บึงสามัคคี', 'กำแพงเพชร')",42.9 km
762,"('พรานกระต่าย', 'กำแพงเพชร')","('เมืองกำแพงเพชร', 'กำแพงเพชร')",25.2 km
763,"('พรานกระต่าย', 'กำแพงเพชร')","('ไทรงาม', 'กำแพงเพชร')",50.4 km
764,"('พรานกระต่าย', 'กำแพงเพชร')","('ลานกระบือ', 'กำแพงเพชร')",33.4 km
765,"('พรานกระต่าย', 'กำแพงเพชร')","('โกสัมพีนคร', 'กำแพงเพชร')",41.0 km
766,"('พรานกระต่าย', 'กำแพงเพชร')","('บ้านด่านลานหอย', 'สุโขทัย')",43.2 km
767,"('พรานกระต่าย', 'กำแพงเพชร')","('คีรีมาศ', 'สุโขทัย')",32.5 km
768,"('พรานกระต่าย', 'กำแพงเพชร')","('เมืองตาก', 'ตาก')",68.2 km
769,"('ลานกระบือ', 'กำแพงเพชร')","('เมืองกำแพงเพชร', 'กำแพงเพชร')",46.2 km
770,"('ลานกระบือ', 'กำแพงเพชร')","('ไทรงาม', 'กำแพงเพชร')",22.6 km
771,"('ลานกระบือ', 'กำแพงเพชร')","('พรานกระต่าย', 'กำแพงเพชร')",33.1 km
772,"('ลานกระบือ', 'กำแพงเพชร')","('บางระกำ', 'พิษณุโลก')",36.3 km
773,"('ลานกระบือ', 'กำแพงเพชร')","('วชิรบารมี', 'พิจิตร')",47.8 km
774,"('ลานกระบือ', 'กำแพงเพชร')","('คีรีมาศ', 'สุโขทัย')",31.6 km
775,"('ทรายทองวัฒนา', 'กำแพงเพชร')","('เมืองกำแพงเพชร', 'กำแพงเพชร')",54.6 km
776,"('ทรายทองวัฒนา', 'กำแพงเพชร')","('ไทรงาม', 'กำแพงเพชร')",23.6 km
777,"('ทรายทองวัฒนา', 'กำแพงเพชร')","('คลองขลุง', 'กำแพงเพชร')",17.8 km
778,"('ทรายทองวัฒนา', 'กำแพงเพชร')","('บึงสามัคคี', 'กำแพงเพชร')",31.2 km
779,"('ทรายทองวัฒนา', 'กำแพงเพชร')","('สามง่าม', 'พิจิตร')",63.6 km
780,"('ปางศิลาทอง', 'กำแพงเพชร')","('แม่วงก์', 'นครสวรรค์')",45.1 km
781,"('ปางศิลาทอง', 'กำแพงเพชร')","('เมืองกำแพงเพชร', 'กำแพงเพชร')",53.2 km
782,"('ปางศิลาทอง', 'กำแพงเพชร')","('คลองลาน', 'กำแพงเพชร')",33.3 km
783,"('ปางศิลาทอง', 'กำแพงเพชร')","('ขาณุวรลักษบุรี', 'กำแพงเพชร')",60.1 km
784,"('ปางศิลาทอง', 'กำแพงเพชร')","('คลองขลุง', 'กำแพงเพชร')",39.0 km
785,"('ปางศิลาทอง', 'กำแพงเพชร')","('อุ้มผาง', 'ตาก')",349 km
786,"('บึงสามัคคี', 'กำแพงเพชร')","('บรรพตพิสัย', 'นครสวรรค์')",44.7 km
787,"('บึงสามัคคี', 'กำแพงเพชร')","('ไทรงาม', 'กำแพงเพชร')",40.6 km
788,"('บึงสามัคคี', 'กำแพงเพชร')","('ขาณุวรลักษบุรี', 'กำแพงเพชร')",20.9 km
789,"('บึงสามัคคี', 'กำแพงเพชร')","('คลองขลุง', 'กำแพงเพชร')",40.2 km
790,"('บึงสามัคคี', 'กำแพงเพชร')","('ทรายทองวัฒนา', 'กำแพงเพชร')",31.3 km
791,"('บึงสามัคคี', 'กำแพงเพชร')","('โพธิ์ประทับช้าง', 'พิจิตร')",49.0 km
792,"('บึงสามัคคี', 'กำแพงเพชร')","('สามง่าม', 'พิจิตร')",56.2 km
793,"('บึงสามัคคี', 'กำแพงเพชร')","('บึงนาราง', 'พิจิตร')",26.2 km
794,"('โกสัมพีนคร', 'กำแพงเพชร')","('เมืองกำแพงเพชร', 'กำแพงเพชร')",29.3 km
795,"('โกสัมพีนคร', 'กำแพงเพชร')","('คลองลาน', 'กำแพงเพชร')",65.8 km
796,"('โกสัมพีนคร', 'กำแพงเพชร')","('พรานกระต่าย', 'กำแพงเพชร')",36.3 km
797,"('โกสัมพีนคร', 'กำแพงเพชร')","('เมืองตาก', 'ตาก')",43.9 km
798,"('โกสัมพีนคร', 'กำแพงเพชร')","('พบพระ', 'ตาก')",159 km
799,"('โกสัมพีนคร', 'กำแพงเพชร')","('อุ้มผาง', 'ตาก')",276 km
800,"('โกสัมพีนคร', 'กำแพงเพชร')","('วังเจ้า', 'ตาก')",16.5 km
801,"('เมืองกาญจนบุรี', 'กาญจนบุรี')","('สวนผึ้ง', 'ราชบุรี')",73.3 km
802,"('เมืองกาญจนบุรี', 'กาญจนบุรี')","('ไทรโยค', 'กาญจนบุรี')",55.7 km
803,"('เมืองกาญจนบุรี', 'กาญจนบุรี')","('บ่อพลอย', 'กาญจนบุรี')",45.6 km
804,"('เมืองกาญจนบุรี', 'กาญจนบุรี')","('ศรีสวัสดิ์', 'กาญจนบุรี')",130 km
805,"('เมืองกาญจนบุรี', 'กาญจนบุรี')","('ท่าม่วง', 'กาญจนบุรี')",11.9 km
806,"('เมืองกาญจนบุรี', 'กาญจนบุรี')","('พนมทวน', 'กาญจนบุรี')",25.7 km
807,"('เมืองกาญจนบุรี', 'กาญจนบุรี')","('ด่านมะขามเตี้ย', 'กาญจนบุรี')",28.9 km
808,"('ไทรโยค', 'กาญจนบุรี')","('เมืองกาญจนบุรี', 'กาญจนบุรี')",53.0 km
809,"('ไทรโยค', 'กาญจนบุรี')","('ศรีสวัสดิ์', 'กาญจนบุรี')",111 km
810,"('ไทรโยค', 'กาญจนบุรี')","('ทองผาภูมิ', 'กาญจนบุรี')",103 km
811,"('ไทรโยค', 'กาญจนบุรี')","('ด่านมะขามเตี้ย', 'กาญจนบุรี')",51.4 km
812,"('บ่อพลอย', 'กาญจนบุรี')","('เมืองกาญจนบุรี', 'กาญจนบุรี')",43.0 km
813,"('บ่อพลอย', 'กาญจนบุรี')","('ศรีสวัสดิ์', 'กาญจนบุรี')",137 km
814,"('บ่อพลอย', 'กาญจนบุรี')","('ท่าม่วง', 'กาญจนบุรี')",49.2 km
815,"('บ่อพลอย', 'กาญจนบุรี')","('พนมทวน', 'กาญจนบุรี')",37.4 km
816,"('บ่อพลอย', 'กาญจนบุรี')","('เลาขวัญ', 'กาญจนบุรี')",60.7 km
817,"('บ่อพลอย', 'กาญจนบุรี')","('หนองปรือ', 'กาญจนบุรี')",36.4 km
818,"('บ่อพลอย', 'กาญจนบุรี')","('ห้วยกระเจา', 'กาญจนบุรี')",17.9 km
819,"('ศรีสวัสดิ์', 'กาญจนบุรี')","('บ้านไร่', 'อุทัยธานี')",131 km
820,"('ศรีสวัสดิ์', 'กาญจนบุรี')","('ด่านช้าง', 'สุพรรณบุรี')",127 km
821,"('ศรีสวัสดิ์', 'กาญจนบุรี')","('เมืองกาญจนบุรี', 'กาญจนบุรี')",128 km
822,"('ศรีสวัสดิ์', 'กาญจนบุรี')","('ไทรโยค', 'กาญจนบุรี')",112 km
823,"('ศรีสวัสดิ์', 'กาญจนบุรี')","('บ่อพลอย', 'กาญจนบุรี')",137 km
824,"('ศรีสวัสดิ์', 'กาญจนบุรี')","('ทองผาภูมิ', 'กาญจนบุรี')",188 km
825,"('ศรีสวัสดิ์', 'กาญจนบุรี')","('หนองปรือ', 'กาญจนบุรี')",94.7 km
826,"('ท่ามะกา', 'กาญจนบุรี')","('สองพี่น้อง', 'สุพรรณบุรี')",51.7 km
827,"('ท่ามะกา', 'กาญจนบุรี')","('เมืองนครปฐม', 'นครปฐม')",40.6 km
828,"('ท่ามะกา', 'กาญจนบุรี')","('กำแพงแสน', 'นครปฐม')",34.3 km
829,"('ท่ามะกา', 'กาญจนบุรี')","('บ้านโป่ง', 'ราชบุรี')",18.3 km
830,"('ท่ามะกา', 'กาญจนบุรี')","('โพธาราม', 'ราชบุรี')",34.3 km
831,"('ท่ามะกา', 'กาญจนบุรี')","('ท่าม่วง', 'กาญจนบุรี')",19.2 km
832,"('ท่ามะกา', 'กาญจนบุรี')","('พนมทวน', 'กาญจนบุรี')",31.5 km
833,"('ท่าม่วง', 'กาญจนบุรี')","('จอมบึง', 'ราชบุรี')",49.0 km
834,"('ท่าม่วง', 'กาญจนบุรี')","('บ้านโป่ง', 'ราชบุรี')",37.7 km
835,"('ท่าม่วง', 'กาญจนบุรี')","('โพธาราม', 'ราชบุรี')",51.7 km
836,"('ท่าม่วง', 'กาญจนบุรี')","('เมืองกาญจนบุรี', 'กาญจนบุรี')",13.0 km
837,"('ท่าม่วง', 'กาญจนบุรี')","('บ่อพลอย', 'กาญจนบุรี')",49.9 km
838,"('ท่าม่วง', 'กาญจนบุรี')","('ท่ามะกา', 'กาญจนบุรี')",19.5 km
839,"('ท่าม่วง', 'กาญจนบุรี')","('พนมทวน', 'กาญจนบุรี')",23.7 km
840,"('ท่าม่วง', 'กาญจนบุรี')","('ด่านมะขามเตี้ย', 'กาญจนบุรี')",39.1 km
841,"('ทองผาภูมิ', 'กาญจนบุรี')","('บ้านไร่', 'อุทัยธานี')",267 km
842,"('ทองผาภูมิ', 'กาญจนบุรี')","('อุ้มผาง', 'ตาก')",792 km
843,"('ทองผาภูมิ', 'กาญจนบุรี')","('ไทรโยค', 'กาญจนบุรี')",103 km
844,"('ทองผาภูมิ', 'กาญจนบุรี')","('ศรีสวัสดิ์', 'กาญจนบุรี')",188 km
845,"('ทองผาภูมิ', 'กาญจนบุรี')","('สังขละบุรี', 'กาญจนบุรี')",75.5 km
846,"('สังขละบุรี', 'กาญจนบุรี')","('อุ้มผาง', 'ตาก')",418 km
847,"('สังขละบุรี', 'กาญจนบุรี')","('ทองผาภูมิ', 'กาญจนบุรี')",75.6 km
848,"('พนมทวน', 'กาญจนบุรี')","('สองพี่น้อง', 'สุพรรณบุรี')",42.6 km
849,"('พนมทวน', 'กาญจนบุรี')","('อู่ทอง', 'สุพรรณบุรี')",36.1 km
850,"('พนมทวน', 'กาญจนบุรี')","('กำแพงแสน', 'นครปฐม')",39.9 km
851,"('พนมทวน', 'กาญจนบุรี')","('เมืองกาญจนบุรี', 'กาญจนบุรี')",26.2 km
852,"('พนมทวน', 'กาญจนบุรี')","('บ่อพลอย', 'กาญจนบุรี')",37.1 km
853,"('พนมทวน', 'กาญจนบุรี')","('ท่ามะกา', 'กาญจนบุรี')",28.7 km
854,"('พนมทวน', 'กาญจนบุรี')","('ท่าม่วง', 'กาญจนบุรี')",22.7 km
855,"('พนมทวน', 'กาญจนบุรี')","('ห้วยกระเจา', 'กาญจนบุรี')",33.6 km
856,"('เลาขวัญ', 'กาญจนบุรี')","('ด่านช้าง', 'สุพรรณบุรี')",35.0 km
857,"('เลาขวัญ', 'กาญจนบุรี')","('ดอนเจดีย์', 'สุพรรณบุรี')",34.6 km
858,"('เลาขวัญ', 'กาญจนบุรี')","('อู่ทอง', 'สุพรรณบุรี')",33.3 km
859,"('เลาขวัญ', 'กาญจนบุรี')","('หนองหญ้าไซ', 'สุพรรณบุรี')",33.2 km
860,"('เลาขวัญ', 'กาญจนบุรี')","('บ่อพลอย', 'กาญจนบุรี')",60.7 km
861,"('เลาขวัญ', 'กาญจนบุรี')","('หนองปรือ', 'กาญจนบุรี')",40.8 km
862,"('เลาขวัญ', 'กาญจนบุรี')","('ห้วยกระเจา', 'กาญจนบุรี')",43.1 km
863,"('ด่านมะขามเตี้ย', 'กาญจนบุรี')","('จอมบึง', 'ราชบุรี')",41.6 km
864,"('ด่านมะขามเตี้ย', 'กาญจนบุรี')","('สวนผึ้ง', 'ราชบุรี')",45.7 km
865,"('ด่านมะขามเตี้ย', 'กาญจนบุรี')","('เมืองกาญจนบุรี', 'กาญจนบุรี')",29.6 km
866,"('ด่านมะขามเตี้ย', 'กาญจนบุรี')","('ไทรโยค', 'กาญจนบุรี')",51.2 km
867,"('ด่านมะขามเตี้ย', 'กาญจนบุรี')","('ท่าม่วง', 'กาญจนบุรี')",37.8 km
868,"('หนองปรือ', 'กาญจนบุรี')","('ด่านช้าง', 'สุพรรณบุรี')",48.6 km
869,"('หนองปรือ', 'กาญจนบุรี')","('บ่อพลอย', 'กาญจนบุรี')",38.1 km
870,"('หนองปรือ', 'กาญจนบุรี')","('ศรีสวัสดิ์', 'กาญจนบุรี')",94.7 km
871,"('หนองปรือ', 'กาญจนบุรี')","('เลาขวัญ', 'กาญจนบุรี')",40.8 km
872,"('ห้วยกระเจา', 'กาญจนบุรี')","('สองพี่น้อง', 'สุพรรณบุรี')",55.6 km
873,"('ห้วยกระเจา', 'กาญจนบุรี')","('อู่ทอง', 'สุพรรณบุรี')",27.0 km
874,"('ห้วยกระเจา', 'กาญจนบุรี')","('บ่อพลอย', 'กาญจนบุรี')",17.9 km
875,"('ห้วยกระเจา', 'กาญจนบุรี')","('พนมทวน', 'กาญจนบุรี')",34.1 km
876,"('ห้วยกระเจา', 'กาญจนบุรี')","('เลาขวัญ', 'กาญจนบุรี')",43.3 km
877,"('เมืองสุพรรณบุรี', 'สุพรรณบุรี')","('ผักไห่', 'พระนครศรีอยุธยา')",30.1 km
878,"('เมืองสุพรรณบุรี', 'สุพรรณบุรี')","('วิเศษชัยชาญ', 'อ่างทอง')",32.5 km
879,"('เมืองสุพรรณบุรี', 'สุพรรณบุรี')","('สามโก้', 'อ่างทอง')",23.7 km
880,"('เมืองสุพรรณบุรี', 'สุพรรณบุรี')","('บางปลาม้า', 'สุพรรณบุรี')",13.3 km
881,"('เมืองสุพรรณบุรี', 'สุพรรณบุรี')","('ศรีประจันต์', 'สุพรรณบุรี')",18.6 km
882,"('เมืองสุพรรณบุรี', 'สุพรรณบุรี')","('ดอนเจดีย์', 'สุพรรณบุรี')",32.3 km
883,"('เมืองสุพรรณบุรี', 'สุพรรณบุรี')","('สองพี่น้อง', 'สุพรรณบุรี')",36.3 km
884,"('เมืองสุพรรณบุรี', 'สุพรรณบุรี')","('อู่ทอง', 'สุพรรณบุรี')",33.2 km
885,"('เดิมบางนางบวช', 'สุพรรณบุรี')","('โพธิ์ทอง', 'อ่างทอง')",45.4 km
886,"('เดิมบางนางบวช', 'สุพรรณบุรี')","('แสวงหา', 'อ่างทอง')",31.7 km
887,"('เดิมบางนางบวช', 'สุพรรณบุรี')","('ค่ายบางระจัน', 'สิงห์บุรี')",37.1 km
888,"('เดิมบางนางบวช', 'สุพรรณบุรี')","('สรรคบุรี', 'ชัยนาท')",27.1 km
889,"('เดิมบางนางบวช', 'สุพรรณบุรี')","('หันคา', 'ชัยนาท')",20.6 km
890,"('เดิมบางนางบวช', 'สุพรรณบุรี')","('เนินขาม', 'ชัยนาท')",31.9 km
891,"('เดิมบางนางบวช', 'สุพรรณบุรี')","('บางระจัน', 'สิงห์บุรี')",32.9 km
892,"('เดิมบางนางบวช', 'สุพรรณบุรี')","('บ้านไร่', 'อุทัยธานี')",84.8 km
893,"('เดิมบางนางบวช', 'สุพรรณบุรี')","('ด่านช้าง', 'สุพรรณบุรี')",48.5 km
894,"('เดิมบางนางบวช', 'สุพรรณบุรี')","('ศรีประจันต์', 'สุพรรณบุรี')",32.1 km
895,"('เดิมบางนางบวช', 'สุพรรณบุรี')","('สามชุก', 'สุพรรณบุรี')",14.8 km
896,"('เดิมบางนางบวช', 'สุพรรณบุรี')","('หนองหญ้าไซ', 'สุพรรณบุรี')",32.1 km
897,"('ด่านช้าง', 'สุพรรณบุรี')","('เนินขาม', 'ชัยนาท')",39.7 km
898,"('ด่านช้าง', 'สุพรรณบุรี')","('บ้านไร่', 'อุทัยธานี')",40.7 km
899,"('ด่านช้าง', 'สุพรรณบุรี')","('เดิมบางนางบวช', 'สุพรรณบุรี')",49.1 km
900,"('ด่านช้าง', 'สุพรรณบุรี')","('หนองหญ้าไซ', 'สุพรรณบุรี')",29.9 km
901,"('ด่านช้าง', 'สุพรรณบุรี')","('ศรีสวัสดิ์', 'กาญจนบุรี')",127 km
902,"('ด่านช้าง', 'สุพรรณบุรี')","('เลาขวัญ', 'กาญจนบุรี')",35.0 km
903,"('ด่านช้าง', 'สุพรรณบุรี')","('หนองปรือ', 'กาญจนบุรี')",48.6 km
904,"('บางปลาม้า', 'สุพรรณบุรี')","('ผักไห่', 'พระนครศรีอยุธยา')",33.4 km
905,"('บางปลาม้า', 'สุพรรณบุรี')","('ลาดบัวหลวง', 'พระนครศรีอยุธยา')",34.5 km
906,"('บางปลาม้า', 'สุพรรณบุรี')","('เสนา', 'พระนครศรีอยุธยา')",35.0 km
907,"('บางปลาม้า', 'สุพรรณบุรี')","('บางซ้าย', 'พระนครศรีอยุธยา')",23.8 km
908,"('บางปลาม้า', 'สุพรรณบุรี')","('เมืองสุพรรณบุรี', 'สุพรรณบุรี')",10.3 km
909,"('บางปลาม้า', 'สุพรรณบุรี')","('สองพี่น้อง', 'สุพรรณบุรี')",31.4 km
910,"('บางปลาม้า', 'สุพรรณบุรี')","('อู่ทอง', 'สุพรรณบุรี')",37.3 km
911,"('ศรีประจันต์', 'สุพรรณบุรี')","('โพธิ์ทอง', 'อ่างทอง')",34.7 km
912,"('ศรีประจันต์', 'สุพรรณบุรี')","('แสวงหา', 'อ่างทอง')",28.1 km
913,"('ศรีประจันต์', 'สุพรรณบุรี')","('วิเศษชัยชาญ', 'อ่างทอง')",27.6 km
914,"('ศรีประจันต์', 'สุพรรณบุรี')","('สามโก้', 'อ่างทอง')",13.9 km
915,"('ศรีประจันต์', 'สุพรรณบุรี')","('ค่ายบางระจัน', 'สิงห์บุรี')",47.4 km
916,"('ศรีประจันต์', 'สุพรรณบุรี')","('เมืองสุพรรณบุรี', 'สุพรรณบุรี')",21.2 km
917,"('ศรีประจันต์', 'สุพรรณบุรี')","('เดิมบางนางบวช', 'สุพรรณบุรี')",33.1 km
918,"('ศรีประจันต์', 'สุพรรณบุรี')","('ดอนเจดีย์', 'สุพรรณบุรี')",15.8 km
919,"('ศรีประจันต์', 'สุพรรณบุรี')","('สามชุก', 'สุพรรณบุรี')",18.5 km
920,"('ดอนเจดีย์', 'สุพรรณบุรี')","('เมืองสุพรรณบุรี', 'สุพรรณบุรี')",32.0 km
921,"('ดอนเจดีย์', 'สุพรรณบุรี')","('ศรีประจันต์', 'สุพรรณบุรี')",15.6 km
922,"('ดอนเจดีย์', 'สุพรรณบุรี')","('สามชุก', 'สุพรรณบุรี')",19.9 km
923,"('ดอนเจดีย์', 'สุพรรณบุรี')","('อู่ทอง', 'สุพรรณบุรี')",38.9 km
924,"('ดอนเจดีย์', 'สุพรรณบุรี')","('หนองหญ้าไซ', 'สุพรรณบุรี')",24.2 km
925,"('ดอนเจดีย์', 'สุพรรณบุรี')","('เลาขวัญ', 'กาญจนบุรี')",35.5 km
926,"('สองพี่น้อง', 'สุพรรณบุรี')","('ลาดบัวหลวง', 'พระนครศรีอยุธยา')",35.4 km
927,"('สองพี่น้อง', 'สุพรรณบุรี')","('บางซ้าย', 'พระนครศรีอยุธยา')",54.1 km
928,"('สองพี่น้อง', 'สุพรรณบุรี')","('เมืองสุพรรณบุรี', 'สุพรรณบุรี')",36.7 km
929,"('สองพี่น้อง', 'สุพรรณบุรี')","('บางปลาม้า', 'สุพรรณบุรี')",31.2 km
930,"('สองพี่น้อง', 'สุพรรณบุรี')","('อู่ทอง', 'สุพรรณบุรี')",39.8 km
931,"('สองพี่น้อง', 'สุพรรณบุรี')","('กำแพงแสน', 'นครปฐม')",32.2 km
932,"('สองพี่น้อง', 'สุพรรณบุรี')","('บางเลน', 'นครปฐม')",32.4 km
933,"('สองพี่น้อง', 'สุพรรณบุรี')","('ท่ามะกา', 'กาญจนบุรี')",51.8 km
934,"('สองพี่น้อง', 'สุพรรณบุรี')","('พนมทวน', 'กาญจนบุรี')",44.4 km
935,"('สองพี่น้อง', 'สุพรรณบุรี')","('ห้วยกระเจา', 'กาญจนบุรี')",56.8 km
936,"('สามชุก', 'สุพรรณบุรี')","('โพธิ์ทอง', 'อ่างทอง')",47.6 km
937,"('สามชุก', 'สุพรรณบุรี')","('แสวงหา', 'อ่างทอง')",33.9 km
938,"('สามชุก', 'สุพรรณบุรี')","('ค่ายบางระจัน', 'สิงห์บุรี')",39.3 km
939,"('สามชุก', 'สุพรรณบุรี')","('เดิมบางนางบวช', 'สุพรรณบุรี')",15.0 km
940,"('สามชุก', 'สุพรรณบุรี')","('ศรีประจันต์', 'สุพรรณบุรี')",18.8 km
941,"('สามชุก', 'สุพรรณบุรี')","('ดอนเจดีย์', 'สุพรรณบุรี')",19.7 km
942,"('สามชุก', 'สุพรรณบุรี')","('หนองหญ้าไซ', 'สุพรรณบุรี')",20.9 km
943,"('อู่ทอง', 'สุพรรณบุรี')","('เมืองสุพรรณบุรี', 'สุพรรณบุรี')",32.2 km
944,"('อู่ทอง', 'สุพรรณบุรี')","('บางปลาม้า', 'สุพรรณบุรี')",36.8 km
945,"('อู่ทอง', 'สุพรรณบุรี')","('ดอนเจดีย์', 'สุพรรณบุรี')",37.6 km
946,"('อู่ทอง', 'สุพรรณบุรี')","('สองพี่น้อง', 'สุพรรณบุรี')",38.8 km
947,"('อู่ทอง', 'สุพรรณบุรี')","('พนมทวน', 'กาญจนบุรี')",37.0 km
948,"('อู่ทอง', 'สุพรรณบุรี')","('เลาขวัญ', 'กาญจนบุรี')",32.5 km
949,"('อู่ทอง', 'สุพรรณบุรี')","('ห้วยกระเจา', 'กาญจนบุรี')",27.4 km
950,"('หนองหญ้าไซ', 'สุพรรณบุรี')","('เดิมบางนางบวช', 'สุพรรณบุรี')",34.7 km
951,"('หนองหญ้าไซ', 'สุพรรณบุรี')","('ด่านช้าง', 'สุพรรณบุรี')",29.5 km
952,"('หนองหญ้าไซ', 'สุพรรณบุรี')","('ดอนเจดีย์', 'สุพรรณบุรี')",24.0 km
953,"('หนองหญ้าไซ', 'สุพรรณบุรี')","('สามชุก', 'สุพรรณบุรี')",21.0 km
954,"('หนองหญ้าไซ', 'สุพรรณบุรี')","('เลาขวัญ', 'กาญจนบุรี')",32.8 km
955,"('บ้านสร้าง', 'ปราจีนบุรี')","('องครักษ์', 'นครนายก')",38.9 km
956,"('บ้านสร้าง', 'ปราจีนบุรี')","('เมืองนครนายก', 'นครนายก')",28.7 km
957,"('บ้านสร้าง', 'ปราจีนบุรี')","('ปากพลี', 'นครนายก')",26.3 km
958,"('บ้านสร้าง', 'ปราจีนบุรี')","('บางคล้า', 'ฉะเชิงเทรา')",34.7 km
959,"('บ้านสร้าง', 'ปราจีนบุรี')","('บางน้ำเปรี้ยว', 'ฉะเชิงเทรา')",29.4 km
960,"('บ้านสร้าง', 'ปราจีนบุรี')","('พนมสารคาม', 'ฉะเชิงเทรา')",33.1 km
961,"('บ้านสร้าง', 'ปราจีนบุรี')","('ราชสาส์น', 'ฉะเชิงเทรา')",29.0 km
962,"('บ้านสร้าง', 'ปราจีนบุรี')","('ศรีมหาโพธิ', 'ปราจีนบุรี')",45.0 km
963,"('บ้านสร้าง', 'ปราจีนบุรี')","('คลองเขื่อน', 'ฉะเชิงเทรา')",29.5 km
964,"('บ้านสร้าง', 'ปราจีนบุรี')","('เมืองปราจีนบุรี', 'ปราจีนบุรี')",23.0 km
965,"('บ้านสร้าง', 'ปราจีนบุรี')","('ศรีมโหสถ', 'ปราจีนบุรี')",28.9 km
966,"('ประจันตคาม', 'ปราจีนบุรี')","('เมืองนครนายก', 'นครนายก')",39.7 km
967,"('ประจันตคาม', 'ปราจีนบุรี')","('ปากพลี', 'นครนายก')",34.3 km
968,"('ประจันตคาม', 'ปราจีนบุรี')","('ศรีมหาโพธิ', 'ปราจีนบุรี')",17.5 km
969,"('ประจันตคาม', 'ปราจีนบุรี')","('เมืองปราจีนบุรี', 'ปราจีนบุรี')",19.6 km
970,"('ประจันตคาม', 'ปราจีนบุรี')","('กบินทร์บุรี', 'ปราจีนบุรี')",37.2 km
971,"('ประจันตคาม', 'ปราจีนบุรี')","('นาดี', 'ปราจีนบุรี')",36.9 km
972,"('ประจันตคาม', 'ปราจีนบุรี')","('ปากช่อง', 'นครราชสีมา')",103 km
973,"('ประจันตคาม', 'ปราจีนบุรี')","('วังน้ำเขียว', 'นครราชสีมา')",94.8 km
974,"('ศรีมหาโพธิ', 'ปราจีนบุรี')","('พนมสารคาม', 'ฉะเชิงเทรา')",38.0 km
975,"('ศรีมหาโพธิ', 'ปราจีนบุรี')","('สนามชัยเขต', 'ฉะเชิงเทรา')",46.3 km
976,"('ศรีมหาโพธิ', 'ปราจีนบุรี')","('บ้านสร้าง', 'ปราจีนบุรี')",41.9 km
977,"('ศรีมหาโพธิ', 'ปราจีนบุรี')","('ประจันตคาม', 'ปราจีนบุรี')",12.3 km
978,"('ศรีมหาโพธิ', 'ปราจีนบุรี')","('เมืองปราจีนบุรี', 'ปราจีนบุรี')",21.6 km
979,"('ศรีมหาโพธิ', 'ปราจีนบุรี')","('กบินทร์บุรี', 'ปราจีนบุรี')",30.7 km
980,"('ศรีมหาโพธิ', 'ปราจีนบุรี')","('ศรีมโหสถ', 'ปราจีนบุรี')",17.6 km
