,original,destination,distance
119,นครราชสีมา,ชัยภูมิ,124 km
120,นครราชสีมา,ขอนแก่น,193 km
121,บุรีรัมย์,สระแก้ว,222 km
122,บุรีรัมย์,นครราชสีมา,127 km
123,บุรีรัมย์,สุรินทร์,52.4 km
124,บุรีรัมย์,ขอนแก่น,195 km
125,บุรีรัมย์,มหาสารคาม,153 km
126,สุรินทร์,บุรีรัมย์,53.2 km
127,สุรินทร์,ศรีสะเกษ,106 km
128,สุรินทร์,มหาสารคาม,176 km
129,สุรินทร์,ร้อยเอ็ด,146 km
130,ศรีสะเกษ,สุรินทร์,105 km
131,ศรีสะเกษ,อุบลราชธานี,64.1 km
132,ศรีสะเกษ,ยโสธร,104 km
133,ศรีสะเกษ,ร้อยเอ็ด,147 km
134,อุบลราชธานี,ศรีสะเกษ,65.8 km
135,อุบลราชธานี,ยโสธร,104 km
136,อุบลราชธานี,อำนาจเจริญ,77.9 km
137,ยโสธร,ศรีสะเกษ,99.3 km
138,ยโสธร,อุบลราชธานี,104 km
139,ยโสธร,อำนาจเจริญ,57.5 km
140,ยโสธร,ร้อยเอ็ด,67.3 km
141,ยโสธร,มุกดาหาร,114 km
142,ชัยภูมิ,ลพบุรี,229 km
143,ชัยภูมิ,นครราชสีมา,110 km
144,ชัยภูมิ,ขอนแก่น,126 km
145,ชัยภูมิ,เพชรบูรณ์,202 km
146,อำนาจเจริญ,อุบลราชธานี,76.4 km
147,อำนาจเจริญ,ยโสธร,62.0 km
148,อำนาจเจริญ,มุกดาหาร,89.7 km
149,บึงกาฬ,หนองคาย,138 km
150,บึงกาฬ,สกลนคร,179 km
151,บึงกาฬ,นครพนม,184 km
152,หนองบัวลำภู,ขอนแก่น,113 km
153,หนองบัวลำภู,อุดรธานี,47.6 km
154,หนองบัวลำภู,เลย,102 km
155,ขอนแก่น,นครราชสีมา,194 km
156,ขอนแก่น,บุรีรัมย์,196 km
157,ขอนแก่น,ชัยภูมิ,126 km
158,ขอนแก่น,หนองบัวลำภู,113 km
159,ขอนแก่น,อุดรธานี,121 km
160,ขอนแก่น,เลย,208 km
161,ขอนแก่น,มหาสารคาม,77.7 km
162,ขอนแก่น,กาฬสินธุ์,82.4 km
163,ขอนแก่น,เพชรบูรณ์,235 km
164,อุดรธานี,หนองบัวลำภู,47.4 km
165,อุดรธานี,ขอนแก่น,120 km
166,อุดรธานี,เลย,148 km
167,อุดรธานี,หนองคาย,53.5 km
168,อุดรธานี,กาฬสินธุ์,165 km
169,อุดรธานี,สกลนคร,163 km
170,เลย,หนองบัวลำภู,102 km
171,เลย,ขอนแก่น,207 km
172,เลย,อุดรธานี,149 km
173,เลย,หนองคาย,182 km
174,เลย,พิษณุโลก,228 km
175,เลย,เพชรบูรณ์,190 km
176,หนองคาย,บึงกาฬ,137 km
177,หนองคาย,อุดรธานี,54.0 km
178,หนองคาย,เลย,181 km
179,หนองคาย,สกลนคร,216 km
180,มหาสารคาม,บุรีรัมย์,154 km
181,มหาสารคาม,สุรินทร์,173 km
182,มหาสารคาม,ขอนแก่น,68.9 km
183,มหาสารคาม,ร้อยเอ็ด,41.6 km
184,มหาสารคาม,กาฬสินธุ์,49.8 km
185,ร้อยเอ็ด,สุรินทร์,145 km
186,ร้อยเอ็ด,ศรีสะเกษ,146 km
187,ร้อยเอ็ด,ยโสธร,67.5 km
188,ร้อยเอ็ด,มหาสารคาม,41.3 km
189,ร้อยเอ็ด,กาฬสินธุ์,50.9 km
190,ร้อยเอ็ด,มุกดาหาร,153 km
191,กาฬสินธุ์,ขอนแก่น,83.6 km
192,กาฬสินธุ์,อุดรธานี,166 km
193,กาฬสินธุ์,มหาสารคาม,51.0 km
194,กาฬสินธุ์,ร้อยเอ็ด,52.0 km
195,กาฬสินธุ์,สกลนคร,125 km
196,กาฬสินธุ์,มุกดาหาร,143 km
197,สกลนคร,บึงกาฬ,184 km
198,สกลนคร,อุดรธานี,164 km
199,สกลนคร,หนองคาย,216 km
200,สกลนคร,กาฬสินธุ์,126 km
201,สกลนคร,นครพนม,91.8 km
202,สกลนคร,มุกดาหาร,117 km
203,นครพนม,บึงกาฬ,185 km
204,นครพนม,สกลนคร,91.4 km
205,นครพนม,มุกดาหาร,107 km
206,มุกดาหาร,ยโสธร,115 km
207,มุกดาหาร,อำนาจเจริญ,89.6 km
208,มุกดาหาร,ร้อยเอ็ด,153 km
209,มุกดาหาร,กาฬสินธุ์,145 km
210,มุกดาหาร,สกลนคร,117 km
211,มุกดาหาร,นครพนม,108 km
212,เชียงใหม่,ลำพูน,36.4 km
213,เชียงใหม่,ลำปาง,107 km
214,เชียงใหม่,เชียงราย,194 km
215,เชียงใหม่,แม่ฮ่องสอน,230 km
216,เชียงใหม่,ตาก,281 km
217,ลำพูน,เชียงใหม่,37.7 km
218,ลำพูน,ลำปาง,74.8 km
219,ลำพูน,ตาก,248 km
220,ลำปาง,เชียงใหม่,107 km
221,ลำปาง,ลำพูน,75.3 km
222,ลำปาง,แพร่,102 km
223,ลำปาง,พะเยา,137 km
224,ลำปาง,เชียงราย,231 km
225,ลำปาง,ตาก,183 km
226,ลำปาง,สุโขทัย,210 km
227,อุตรดิตถ์,แพร่,75.3 km
228,อุตรดิตถ์,น่าน,195 km
229,อุตรดิตถ์,สุโขทัย,88.5 km
230,อุตรดิตถ์,พิษณุโลก,110 km
231,แพร่,ลำปาง,103 km
232,แพร่,อุตรดิตถ์,75.5 km
233,แพร่,น่าน,121 km
234,แพร่,พะเยา,149 km
235,แพร่,สุโขทัย,164 km
236,น่าน,อุตรดิตถ์,195 km
237,น่าน,แพร่,121 km
238,น่าน,พะเยา,147 km
239,พะเยา,ลำปาง,137 km
240,พะเยา,แพร่,149 km
241,พะเยา,น่าน,147 km
242,พะเยา,เชียงราย,94.8 km
243,เชียงราย,เชียงใหม่,194 km
244,เชียงราย,ลำปาง,231 km
245,เชียงราย,พะเยา,94.4 km
246,แม่ฮ่องสอน,เชียงใหม่,231 km
247,แม่ฮ่องสอน,ตาก,476 km
248,นครสวรรค์,ลพบุรี,131 km
249,นครสวรรค์,สิงห์บุรี,104 km
250,นครสวรรค์,ชัยนาท,63.4 km
251,นครสวรรค์,อุทัยธานี,44.4 km
252,นครสวรรค์,กำแพงเพชร,122 km
253,นครสวรรค์,ตาก,186 km
254,นครสวรรค์,พิจิตร,109 km
255,นครสวรรค์,เพชรบูรณ์,194 km
256,อุทัยธานี,ชัยนาท,29.1 km
257,อุทัยธานี,นครสวรรค์,44.5 km
258,อุทัยธานี,ตาก,221 km
259,อุทัยธานี,กาญจนบุรี,187 km
260,อุทัยธานี,สุพรรณบุรี,123 km
261,กำแพงเพชร,นครสวรรค์,123 km
262,กำแพงเพชร,ตาก,71.5 km
263,กำแพงเพชร,สุโขทัย,79.3 km
264,กำแพงเพชร,พิษณุโลก,108 km
265,กำแพงเพชร,พิจิตร,94.1 km
266,ตาก,เชียงใหม่,272 km
267,ตาก,ลำพูน,240 km
268,ตาก,ลำปาง,183 km
269,ตาก,แม่ฮ่องสอน,459 km
270,ตาก,นครสวรรค์,187 km
271,ตาก,อุทัยธานี,221 km
272,ตาก,กำแพงเพชร,71.4 km
273,ตาก,สุโขทัย,84.7 km
274,ตาก,กาญจนบุรี,411 km
275,สุโขทัย,ลำปาง,210 km
276,สุโขทัย,อุตรดิตถ์,89.4 km
277,สุโขทัย,แพร่,164 km
278,สุโขทัย,กำแพงเพชร,79.1 km
279,สุโขทัย,ตาก,84.5 km
280,สุโขทัย,พิษณุโลก,58.1 km
281,พิษณุโลก,เลย,227 km
282,พิษณุโลก,อุตรดิตถ์,110 km
283,พิษณุโลก,กำแพงเพชร,108 km
284,พิษณุโลก,สุโขทัย,58.1 km
285,พิษณุโลก,พิจิตร,66.4 km
286,พิษณุโลก,เพชรบูรณ์,161 km
287,พิจิตร,นครสวรรค์,105 km
288,พิจิตร,กำแพงเพชร,94.4 km
289,พิจิตร,พิษณุโลก,66.5 km
290,พิจิตร,เพชรบูรณ์,132 km
291,เพชรบูรณ์,ลพบุรี,239 km
292,เพชรบูรณ์,ชัยภูมิ,202 km
293,เพชรบูรณ์,ขอนแก่น,234 km
294,เพชรบูรณ์,เลย,186 km
295,เพชรบูรณ์,นครสวรรค์,195 km
296,เพชรบูรณ์,พิษณุโลก,160 km
297,เพชรบูรณ์,พิจิตร,133 km
298,ราชบุรี,กาญจนบุรี,75.3 km
299,ราชบุรี,นครปฐม,49.6 km
300,ราชบุรี,สมุทรสาคร,81.9 km
301,ราชบุรี,สมุทรสงคราม,46.3 km
302,ราชบุรี,เพชรบุรี,57.0 km
303,กาญจนบุรี,อุทัยธานี,185 km
304,กาญจนบุรี,ตาก,421 km
305,กาญจนบุรี,ราชบุรี,74.0 km
306,กาญจนบุรี,สุพรรณบุรี,93.2 km
307,กาญจนบุรี,นครปฐม,72.2 km
308,สุพรรณบุรี,พระนครศรีอยุธยา,62.4 km
309,สุพรรณบุรี,อ่างทอง,44.8 km
310,สุพรรณบุรี,สิงห์บุรี,71.2 km
311,สุพรรณบุรี,ชัยนาท,96.8 km
312,สุพรรณบุรี,อุทัยธานี,124 km
313,สุพรรณบุรี,กาญจนบุรี,94.1 km
314,สุพรรณบุรี,นครปฐม,92.2 km
315,นครปฐม,กรุงเทพมหานคร,55.8 km
316,นครปฐม,นนทบุรี,64.8 km
317,นครปฐม,พระนครศรีอยุธยา,118 km
318,นครปฐม,ราชบุรี,49.4 km
319,นครปฐม,กาญจนบุรี,70.3 km
320,นครปฐม,สุพรรณบุรี,89.2 km
321,นครปฐม,สมุทรสาคร,54.2 km
322,สมุทรสาคร,กรุงเทพมหานคร,46.8 km
323,สมุทรสาคร,ราชบุรี,80.5 km
324,สมุทรสาคร,นครปฐม,53.8 km
325,สมุทรสาคร,สมุทรสงคราม,37.8 km
326,สมุทรสงคราม,ราชบุรี,48.2 km
327,สมุทรสงคราม,สมุทรสาคร,38.7 km
328,สมุทรสงคราม,เพชรบุรี,57.6 km
329,เพชรบุรี,ราชบุรี,57.2 km
330,เพชรบุรี,สมุทรสงคราม,56.9 km
331,เพชรบุรี,ประจวบคีรีขันธ์,158 km
332,ประจวบคีรีขันธ์,เพชรบุรี,159 km
333,ประจวบคีรีขันธ์,ชุมพร,180 km
334,นครศรีธรรมราช,กระบี่,161 km
335,นครศรีธรรมราช,สุราษฎร์ธานี,138 km
336,นครศรีธรรมราช,สงขลา,176 km
337,นครศรีธรรมราช,ตรัง,138 km
338,นครศรีธรรมราช,พัทลุง,116 km
339,กระบี่,นครศรีธรรมราช,163 km
340,กระบี่,พังงา,81.1 km
341,กระบี่,สุราษฎร์ธานี,160 km
342,กระบี่,ตรัง,129 km
343,พังงา,กระบี่,80.6 km
344,พังงา,ภูเก็ต,84.7 km
345,พังงา,สุราษฎร์ธานี,154 km
346,พังงา,ระนอง,229 km
347,ภูเก็ต,พังงา,86.1 km
348,สุราษฎร์ธานี,นครศรีธรรมราช,135 km
349,สุราษฎร์ธานี,กระบี่,160 km
350,สุราษฎร์ธานี,พังงา,159 km
351,สุราษฎร์ธานี,ระนอง,206 km
352,สุราษฎร์ธานี,ชุมพร,178 km
353,ระนอง,พังงา,229 km
354,ระนอง,สุราษฎร์ธานี,208 km
355,ระนอง,ชุมพร,122 km
356,ชุมพร,ประจวบคีรีขันธ์,179 km
357,ชุมพร,สุราษฎร์ธานี,181 km
358,ชุมพร,ระนอง,122 km
