province1,province2,Adjacent
สุพรรณบุรี,พระนครศรีอยุธยา,1
สุพรรณบุรี,อ่างทอง,1
สุพรรณบุรี,สิงห์บุรี,1
สุพรรณบุรี,ชัยนาท,1
สุพรรณบุรี,อุทัยธานี,1
สุพรรณบุรี,กาญจนบุรี,1
สุพรรณบุรี,นครปฐม,1
