province1,province2,Adjacent
พระนครศรีอยุธยา,นนทบุรี,1
พระนครศรีอยุธยา,ปทุมธานี,1
พระนครศรีอยุธยา,อ่างทอง,1
พระนครศรีอยุธยา,ลพบุรี,1
พระนครศรีอยุธยา,สระบุรี,1
พระนครศรีอยุธยา,สุพรรณบุรี,1
พระนครศรีอยุธยา,นครปฐม,1
