province1,province2,Adjacent
เลย,หนองบัวลำภู,1
เลย,ขอนแก่น,1
เลย,อุดรธานี,1
เลย,หนองคาย,1
เลย,พิษณุโลก,1
เลย,เพชรบูรณ์,1
