province1,province2,Adjacent
มุกดาหาร,ยโสธร,1
มุกดาหาร,อำนาจเจริญ,1
มุกดาหาร,ร้อยเอ็ด,1
มุกดาหาร,กาฬสินธุ์,1
มุกดาหาร,สกลนคร,1
มุกดาหาร,นครพนม,1
