province1,province2,Adjacent
พิษณุโลก,เลย,1
พิษณุโลก,อุตรดิตถ์,1
พิษณุโลก,กำแพงเพชร,1
พิษณุโลก,สุโขทัย,1
พิษณุโลก,พิจิตร,1
พิษณุโลก,เพชรบูรณ์,1
